,CLA FP Equity_DX_SI_QTY,CLA FP Equity_DX_SHORT_INTEREST_VALUE,CLA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,CLA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CLA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CLA FP Equity_DX_SI_MV,CLA FP Equity_DX_DSS,CLA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CLA FP Equity_DX_SUPPLY_SI_QTY,CLA FP Equity_DX_BROKER_SI_QTY,CLA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CLA FP Equity_DX_BROKER_SI_MV_NEW_x,CLA FP Equity_DX_SUPPLY_SI_QTY_NEW_x,CLA FP Equity_DX_SUPPLY_SI_QTY_INC_x,CLA FP Equity_DX_BROKER_SI_MV_INC_x,CLA FP Equity_DX_SUPPLY_SI_MV_NEW,CLA FP Equity_DX_BROKER_SI_QTY_ADD,CLA FP Equity_DX_BROKER_SI_QTY_NEW,CLA FP Equity_DX_SUPPLY_SI_MV_DEC,CLA FP Equity_DX_BROKER_SI_QTY_INC,CLA FP Equity_DX_SUPPLY_SI_QTY_DEC,CLA FP Equity_DX_BROKER_SI_MV_NEW_y,CLA FP Equity_DX_SUPPLY_SI_QTY_NEW_y,CLA FP Equity_DX_BROKER_SI_MV_INC_y,CLA FP Equity_DX_SUPPLY_SI_QTY_INC_y,CLA FP Equity_DX_BROKER_SI_MV_ADD,CLA FP Equity_DX_SUPPLY_SI_QTY_ADD,CLA FP Equity_DX_BROKER_SI_QTY_DEC,CLA FP Equity_DX_SUPPLY_SI_MV,CLA FP Equity_DX_BROKER_SI_MV_DEC,CLA FP Equity_DX_SUPPLY_SI_MV_RMV,CLA FP Equity_DX_BROKER_SI_MV_RMV,CLA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CLA FP Equity_DX_UTILIZATION_QUANTITY,CLA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CLA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CLA FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,CLA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CLA FP Equity_DX_ACTIVE_UTILIZATION_MV,CLA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CLA FP Equity_DX_BROKER_SI_CON_RATIO,CLA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CLA FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,127057.0,2575445.39,2.31,14.23,1.94,2.67,1.0,2564155.0,557.0,126500.0,11290.39,,,,,,,,0.0,,15.0,,,,,,,,0.01,,,,0.55,0.55,100026.0,2027527.02,,2.05,0.57,,1.0,100.0,1.2632
2006-01-11,127097.0,2669037.0,2.31,11.1,1.94,2.67,1.0,2656500.0,597.0,126500.0,12537.0,,,40.0,,,,,,,,,,,40.0,,,,0.01,,,,0.59,0.59,100168.0,2103528.0,,2.1,0.59,,1.0,100.0,1.2613
2006-01-18,127088.0,2544301.76,2.31,11.11,1.94,2.71,1.0,2532530.0,588.0,126500.0,11771.76,,,,,,,,0.0,,9.0,,,,,,,,0.01,,,,0.6,0.6,96981.0,1941559.62,,1.98,0.63,,1.0,100.0,1.3025
2006-01-25,609.0,11838.96,0.01,0.06,0.01,0.01,0.0,0.0,609.0,0.0,11838.96,,,21.0,,,,,,,,,,,21.0,,,126500.0,0.01,2.7,,,0.62,0.62,98338.0,1911690.72,,1.91,0.62,,0.0,,0.0062
2006-02-01,574.0,11405.38,0.01,0.04,0.01,0.01,0.0,0.0,574.0,0.0,11405.38,,,,,,,,0.0,,35.0,,,,,,,,0.01,,,,0.71,0.71,80796.0,1605416.52,,1.61,0.71,,0.0,,0.0071
2006-02-08,126500.0,2562890.0,2.29,8.35,1.92,2.7,1.0,2562890.0,0.0,126500.0,0.0,,,,,,126500.0,,0.01,,574.0,,,,,2.7,,,0.0,,,,0.0,0.0,81446.0,1650095.96,,1.67,0.0,,1.0,100.0,1.5532
2006-02-15,126500.0,2428800.0,2.29,8.5,1.92,2.7,1.0,2428800.0,0.0,126500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,81034.0,1555852.8,,1.59,0.0,,1.0,100.0,1.5611
2006-02-22,126500.0,2446510.0,2.29,8.62,1.92,2.7,1.0,2446510.0,0.0,126500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,49087.0,949342.58,,0.97,0.0,,1.0,100.0,2.5771
2006-03-01,129450.0,2530747.5,2.34,7.82,1.96,2.75,1.0,2530747.5,0.0,129450.0,0.0,,,,0.06,,,,,2950.0,,,,0.06,,,,,0.0,,,,0.0,0.0,37425.0,731658.75,,0.75,0.0,,1.0,100.0,3.4589
2006-03-08,139750.0,3011612.5,2.53,6.62,2.12,2.95,1.0,3011612.5,0.0,139750.0,0.0,,,,0.2,,,,,10300.0,,,,0.2,,,,,0.0,,,,0.0,0.0,38614.0,832131.7,,0.83,0.0,,1.0,100.0,3.6192
