,ALMDG FP Equity_DX_SI_QTY,ALMDG FP Equity_DX_SHORT_INTEREST_VALUE,ALMDG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALMDG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALMDG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALMDG FP Equity_DX_SI_MV,ALMDG FP Equity_DX_DSS,ALMDG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALMDG FP Equity_DX_SUPPLY_SI_QTY,ALMDG FP Equity_DX_BROKER_SI_QTY,ALMDG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALMDG FP Equity_DX_BROKER_SI_MV_NEW_x,ALMDG FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALMDG FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALMDG FP Equity_DX_BROKER_SI_MV_INC_x,ALMDG FP Equity_DX_SUPPLY_SI_MV_NEW,ALMDG FP Equity_DX_BROKER_SI_QTY_ADD,ALMDG FP Equity_DX_BROKER_SI_QTY_NEW,ALMDG FP Equity_DX_SUPPLY_SI_MV_DEC,ALMDG FP Equity_DX_BROKER_SI_QTY_INC,ALMDG FP Equity_DX_SUPPLY_SI_QTY_DEC,ALMDG FP Equity_DX_BROKER_SI_MV_NEW_y,ALMDG FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALMDG FP Equity_DX_BROKER_SI_MV_INC_y,ALMDG FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALMDG FP Equity_DX_BROKER_SI_MV_ADD,ALMDG FP Equity_DX_SUPPLY_SI_QTY_ADD,ALMDG FP Equity_DX_BROKER_SI_QTY_DEC,ALMDG FP Equity_DX_SUPPLY_SI_MV,ALMDG FP Equity_DX_BROKER_SI_MV_DEC,ALMDG FP Equity_DX_BROKER_SI_MV_RMV,ALMDG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALMDG FP Equity_DX_UTILIZATION_QUANTITY,ALMDG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALMDG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALMDG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALMDG FP Equity_DX_ACTIVE_UTILIZATION_MV,ALMDG FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALMDG FP Equity_DX_BROKER_SI_CON_RATIO,ALMDG FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALMDG FP Equity_DX_DEMAND_SUPPLY_RATIO,ALMDG FP Equity_PX_LAST
2006-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.33
2006-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
2006-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.33
2006-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
2006-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.24
2006-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
2006-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
2006-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.14
2006-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9
2006-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.91
2006-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
2006-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.84
2006-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9
2006-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9
2006-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2006-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.05
2006-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.03
2006-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
2006-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
2006-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.27
2006-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.27
2006-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
2006-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
2006-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29
2006-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29
2006-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28
2006-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28
2006-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29
