,ALPOU FP Equity_DX_SI_QTY,ALPOU FP Equity_DX_SHORT_INTEREST_VALUE,ALPOU FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALPOU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALPOU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALPOU FP Equity_DX_SI_MV,ALPOU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALPOU FP Equity_DX_SUPPLY_SI_QTY,ALPOU FP Equity_DX_BROKER_SI_QTY,ALPOU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALPOU FP Equity_DX_SUPPLY_SI_MV,ALPOU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALPOU FP Equity_DX_UTILIZATION_QUANTITY,ALPOU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALPOU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALPOU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALPOU FP Equity_DX_ACTIVE_UTILIZATION_MV,ALPOU FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALPOU FP Equity_DX_BROKER_SI_CON_RATIO,ALPOU FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALPOU FP Equity_DX_DEMAND_SUPPLY_RATIO,ALPOU FP Equity_PX_LAST
2015-12-01,,,,,,,,,,,,,,,,,,,,,,5.1
2015-12-02,,,,,,,,,,,,,,,,,,,,,,5.18
2015-12-03,,,,,,,,,,,,,,,,,,,,,,5.27
2015-12-04,,,,,,,,,,,,,,,,,,,,,,5.1
2015-12-07,,,,,,,,,,,,,,,,,,,,,,5.29
2015-12-08,,,,,,,,,,,,,,,,,,,,,,5.24
2015-12-09,,,,,,,,,,,,,,,,,,,,,,5.1
2015-12-10,,,,,,,,,,,,,,,,,,,,,,5.14
2015-12-11,,,,,,,,,,,,,,,,,,,,,,5.11
2015-12-14,,,,,,,,,,,,,,,,,,,,,,5.15
2015-12-15,,,,,,,,,,,,,,,,,,,,,,5.13
2015-12-16,,,,,,,,,,,,,,,,,,,,,,5.01
2015-12-17,,,,,,,,,,,,,,,,,,,,,,5.12
2015-12-18,,,,,,,,,,,,,,,,,,,,,,5.08
2015-12-21,,,,,,,,,,,,,,,,,,,,,,5.0
2015-12-22,,,,,,,,,,,,,,,,,,,,,,4.9
2015-12-23,,,,,,,,,,,,,,,,,,,,,,4.92
2015-12-24,,,,,,,,,,,,,,,,,,,,,,4.9
2015-12-28,,,,,,,,,,,,,,,,,,,,,,4.9
2015-12-29,,,,,,,,,,,,,,,,,,,,,,4.9
2015-12-30,,,,,,,,,,,,,,,,,,,,,,4.85
2015-12-31,,,,,,,,,,,,,,,,,,,,,,4.8
2016-01-04,,,,,,,,,,,,,,,,,,,,,,4.78
2016-01-05,,,,,,,,,,,,,,,,,,,,,,4.8
2016-01-06,,,,,,,,,,,,,,,,,,,,,,4.8
2016-01-07,,,,,,,,,,,,,,,,,,,,,,4.65
2016-01-08,,,,,,,,,,,,,,,,,,,,,,4.52
2016-01-11,,,,,,,,,,,,,,,,,,,,,,4.4
2016-01-12,,,,,,,,,,,,,,,,,,,,,,4.4
2016-01-13,,,,,,,,,,,,,,,,,,,,,,4.5
2016-01-14,,,,,,,,,,,,,,,,,,,,,,4.5
2016-01-15,,,,,,,,,,,,,,,,,,,,,,4.5
2016-01-18,,,,,,,,,,,,,,,,,,,,,,4.32
2016-01-19,,,,,,,,,,,,,,,,,,,,,,4.47
2016-01-20,,,,,,,,,,,,,,,,,,,,,,4.45
2016-01-21,,,,,,,,,,,,,,,,,,,,,,4.48
2016-01-22,,,,,,,,,,,,,,,,,,,,,,4.6
2016-01-25,,,,,,,,,,,,,,,,,,,,,,4.7
2016-01-26,,,,,,,,,,,,,,,,,,,,,,4.72
2016-01-27,,,,,,,,,,,,,,,,,,,,,,4.8
2016-01-28,,,,,,,,,,,,,,,,,,,,,,4.83
2016-01-29,,,,,,,,,,,,,,,,,,,,,,4.84
2016-02-01,,,,,,,,,,,,,,,,,,,,,,4.98
2016-02-02,,,,,,,,,,,,,,,,,,,,,,4.94
2016-02-03,,,,,,,,,,,,,,,,,,,,,,5.12
2016-02-04,,,,,,,,,,,,,,,,,,,,,,5.02
2016-02-05,,,,,,,,,,,,,,,,,,,,,,5.04
2016-02-08,,,,,,,,,,,,,,,,,,,,,,5.14
2016-02-09,,,,,,,,,,,,,,,,,,,,,,5.08
2016-02-10,,,,,,,,,,,,,,,,,,,,,,5.12
