,LEM FP Equity_DX_SI_QTY,LEM FP Equity_DX_SHORT_INTEREST_VALUE,LEM FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,LEM FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,LEM FP Equity_DX_SI_MV,LEM FP Equity_DX_DSS,LEM FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,LEM FP Equity_DX_SUPPLY_SI_QTY,LEM FP Equity_DX_BROKER_SI_QTY,LEM FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,LEM FP Equity_DX_BROKER_SI_MV_NEW_x,LEM FP Equity_DX_SUPPLY_SI_QTY_NEW_x,LEM FP Equity_DX_SUPPLY_SI_QTY_INC_x,LEM FP Equity_DX_BROKER_SI_MV_INC_x,LEM FP Equity_DX_SUPPLY_SI_MV_NEW,LEM FP Equity_DX_BROKER_SI_QTY_ADD,LEM FP Equity_DX_BROKER_SI_QTY_NEW,LEM FP Equity_DX_SUPPLY_SI_MV_DEC,LEM FP Equity_DX_BROKER_SI_QTY_INC,LEM FP Equity_DX_SUPPLY_SI_QTY_DEC,LEM FP Equity_DX_BROKER_SI_MV_NEW_y,LEM FP Equity_DX_SUPPLY_SI_QTY_NEW_y,LEM FP Equity_DX_BROKER_SI_MV_INC_y,LEM FP Equity_DX_SUPPLY_SI_QTY_INC_y,LEM FP Equity_DX_BROKER_SI_MV_ADD,LEM FP Equity_DX_SUPPLY_SI_QTY_ADD,LEM FP Equity_DX_BROKER_SI_QTY_DEC,LEM FP Equity_DX_SUPPLY_SI_MV,LEM FP Equity_DX_BROKER_SI_MV_DEC,LEM FP Equity_DX_SUPPLY_SI_MV_RMV,LEM FP Equity_DX_BROKER_SI_MV_RMV,LEM FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,LEM FP Equity_DX_UTILIZATION_QUANTITY,LEM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,LEM FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,LEM FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,LEM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,LEM FP Equity_DX_ACTIVE_UTILIZATION_MV,LEM FP Equity_DX_BROKER_SI_MARKET_SHARE_2,LEM FP Equity_DX_BROKER_SI_CON_RATIO,LEM FP Equity_DX_BROKER_SI_MARKET_SHARE_1,LEM FP Equity_DX_DEMAND_SUPPLY_RATIO,LEM FP Equity_PX_LAST
2007-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.67
2007-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.66
2007-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88
2007-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.99
2007-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.18
2007-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.17
2007-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.21
2007-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.22
2007-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.18
2007-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.12
2007-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.07
2007-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.99
2007-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.12
2007-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.09
2007-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.11
2007-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.25
2007-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.29
2007-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.32
2007-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33
2007-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.49
2007-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.46
2007-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.37
2007-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
