,MLITN FP Equity_PX_LAST
2019-02-01,3.12
2019-02-04,3.17
2019-02-06,3.3
2019-02-08,3.4
2019-02-11,3.46
2019-02-12,3.59
2019-02-18,3.65
2019-02-19,3.65
2019-02-22,3.76
2019-03-01,3.81
2019-03-12,3.94
2019-03-26,3.88
2019-03-28,3.88
2019-03-29,4.05
2019-04-01,4.45
2019-04-03,4.88
2019-04-04,5.18
2019-04-05,5.29
2019-04-08,5.51
2019-04-09,5.3
2019-04-10,5.65
2019-04-12,5.65
2019-04-23,5.78
2019-04-24,5.5
2019-04-29,5.3
2019-04-30,5.45
2019-05-02,5.6
2019-05-03,5.79
2019-05-07,5.51
2019-05-08,5.65
2019-05-10,5.2
2019-05-15,5.2
2019-05-16,5.199
2019-05-17,5.4
2019-05-20,5.65
2019-05-21,6.18
2019-05-29,6.0
2019-05-31,5.999
2019-06-04,6.0
2019-06-05,6.58
2019-06-06,6.85
2019-06-07,7.0
2019-06-10,7.0
2019-06-11,7.25
2019-06-12,7.2
2019-06-13,7.0
2019-06-14,7.25
2019-06-17,7.25
2019-06-18,7.25
2019-06-20,7.25
2019-06-25,7.35
2019-06-26,7.35
2019-06-27,7.35
2019-06-28,7.35
2019-07-02,7.4
2019-07-04,7.4
2019-07-30,7.45
2019-08-05,7.389
2019-08-08,7.4
2019-09-09,7.4
2019-09-10,7.4
2019-10-07,7.4
2019-11-04,7.35
2019-11-15,2.57
2019-11-19,3.08
2019-11-20,3.35
2019-11-21,4.0
2019-11-22,4.27
2019-11-25,4.5
2019-11-26,4.9
2019-11-27,5.2
2019-11-28,5.69
2019-11-29,6.6
2019-12-02,7.0
2019-12-04,6.9
2019-12-05,6.95
2019-12-06,6.9
2019-12-10,7.1
2019-12-16,6.5
2019-12-18,6.7
2019-12-19,6.5
2020-01-07,6.5
2020-01-24,6.5
2020-01-31,5.5
2020-02-03,6.0
2020-02-04,6.1
2020-02-06,6.5
2020-02-11,6.5
2020-02-13,6.5
2020-02-25,6.5
2020-03-06,7.0
2020-03-17,7.0
2020-03-19,7.7
2020-03-24,7.7
2020-03-25,8.0
2020-03-30,8.7
2020-04-15,8.7
2020-04-16,9.4
2020-04-22,8.2
2021-03-12,8.3
2021-03-15,8.35
2021-04-01,8.35
2021-05-05,8.8
2021-05-17,9.0
2021-05-19,9.0
2021-05-20,8.95
2021-05-21,9.05
2021-05-26,9.25
2021-06-25,9.6
2021-06-28,9.9
2021-07-30,10.0
2021-09-22,10.2
2021-10-28,10.2
2021-11-02,10.2
2021-11-17,10.2
2021-11-29,10.2
2021-12-14,10.2
2022-02-14,10.2
2022-02-17,10.2
2022-04-21,10.2
2022-06-06,10.2
2022-07-22,10.2
2022-11-28,10.2
2022-11-29,10.2
2022-11-30,10.2
2022-12-01,10.2
2022-12-02,10.2
2022-12-05,10.2
2022-12-06,10.2
2022-12-07,10.2
2022-12-08,10.2
2022-12-09,10.2
2022-12-12,10.2
2022-12-13,10.2
2022-12-14,10.2
2022-12-15,10.2
2022-12-16,10.2
2022-12-19,10.2
2022-12-20,10.2
2022-12-21,10.2
2022-12-22,10.2
2022-12-23,10.2
2022-12-27,10.2
2022-12-28,10.2
2022-12-29,10.2
2022-12-30,9.0
2023-01-02,9.0
2023-01-03,9.0
2023-01-04,9.0
2023-01-05,9.0
2023-01-06,9.0
2023-01-09,9.2
2023-01-10,9.2
2023-01-11,9.2
2023-01-12,9.2
2023-01-13,9.2
2023-01-16,9.2
2023-01-17,9.2
2023-01-18,9.2
2023-01-19,9.2
2023-01-20,8.95
2023-01-23,8.8
2023-01-24,8.8
2023-01-25,8.8
2023-01-26,8.8
2023-01-27,8.8
2023-01-30,8.8
2023-01-31,8.8
2023-02-01,8.8
2023-02-02,8.8
2023-02-03,8.8
2023-02-06,8.8
2023-02-07,8.8
2023-02-08,8.8
2023-02-09,8.8
2023-02-10,8.8
2023-02-13,8.8
2023-02-14,8.8
2023-02-15,8.8
2023-02-16,8.8
2023-02-17,8.8
2023-02-20,8.8
2023-02-21,8.8
2023-02-22,8.8
2023-02-23,8.8
2023-02-24,8.8
2023-02-27,8.8
2023-02-28,8.8
2023-03-01,8.8
2023-03-02,8.8
2023-03-03,8.8
2023-03-06,8.8
2023-03-07,8.8
2023-03-08,8.8
2023-03-09,8.8
2023-03-10,8.8
2023-03-13,8.8
2023-03-14,8.8
2023-03-15,8.8
2023-03-16,8.8
2023-03-17,8.8
2023-03-20,8.8
2023-03-21,8.8
2023-03-22,8.8
2023-03-23,8.8
2023-03-24,8.8
2023-03-27,8.8
2023-03-28,8.8
2023-03-29,8.8
2023-03-30,8.8
2023-03-31,8.8
2023-04-03,8.8
2023-04-04,8.8
2023-04-05,8.8
2023-04-06,9.2
2023-04-11,9.2
2023-04-12,9.2
2023-04-13,9.2
2023-04-14,9.2
2023-04-17,9.2
2023-04-18,9.2
2023-04-19,9.2
2023-04-20,9.2
2023-04-21,9.2
2023-04-24,9.2
2023-04-25,9.2
2023-04-26,9.2
2023-04-27,9.2
2023-04-28,9.2
2023-05-02,9.2
2023-05-03,9.2
2023-05-04,9.2
2023-05-05,9.2
2023-05-08,9.2
2023-05-09,9.2
2023-05-10,9.2
2023-05-11,9.2
2023-05-12,9.2
2023-05-15,9.2
2023-05-16,9.2
2023-05-17,9.2
2023-05-18,9.2
2023-05-19,9.2
2023-05-22,9.2
2023-05-23,9.2
2023-05-24,9.2
2023-05-25,9.2
2023-05-26,9.2
2023-05-29,9.2
2023-05-30,9.2
2023-05-31,9.2
2023-06-01,9.2
