,PABH FP Equity_PX_LAST
2022-05-17,20.742
2022-05-18,20.299
2022-05-19,19.952
2022-05-20,19.723
2022-05-23,20.242
2022-05-24,19.806
2022-05-25,20.105
2022-05-26,20.554
2022-05-27,20.964
2022-05-30,21.279
2022-05-31,20.938
2022-06-01,20.814
2022-06-02,20.949
2022-06-03,20.911
2022-06-06,21.048
2022-06-07,20.929
2022-06-08,21.077
2022-06-09,20.77
2022-06-10,19.746
2022-06-13,19.075
2022-06-14,18.908
2022-06-15,19.061
2022-06-16,18.617
2022-06-17,18.714
2022-06-20,18.901
2022-06-21,19.163
2022-06-22,19.295
2022-06-23,19.281
2022-06-24,19.842
2022-06-27,20.003
2022-06-28,19.725
2022-06-29,19.466
2022-06-30,19.26
2022-07-01,19.249
2022-07-04,19.36
2022-07-05,19.171
2022-07-06,19.502
2022-07-07,19.833
2022-07-08,20.025
2022-07-11,19.714
2022-07-12,19.717
2022-07-13,19.359
2022-07-14,19.103
2022-07-15,19.706
2022-07-18,19.876
2022-07-19,19.99
2022-07-20,20.326
2022-07-21,20.362
2022-07-22,20.358
2022-07-25,20.31
2022-07-26,20.066
2022-07-27,20.324
2022-07-28,20.681
2022-07-29,20.918
2022-08-01,21.168
2022-08-02,21.01
2022-08-03,21.207
2022-08-04,21.3
2022-08-05,21.138
2022-08-08,21.349
2022-08-09,21.106
2022-08-10,21.562
2022-08-11,21.704
2022-08-12,21.77
2022-08-15,21.947
2022-08-16,22.089
2022-08-17,21.869
2022-08-18,21.954
2022-08-19,21.604
2022-08-22,21.207
2022-08-23,21.027
2022-08-24,21.106
2022-08-25,21.155
2022-08-26,20.885
2022-08-29,20.394
2022-08-30,20.252
2022-08-31,20.157
2022-09-01,19.819
2022-09-02,20.316
2022-09-05,19.887
2022-09-06,19.887
2022-09-07,19.947
2022-09-08,20.318
2022-09-09,20.576
2022-09-12,20.836
2022-09-13,20.138
2022-09-14,19.908
2022-09-15,19.781
2022-09-16,19.423
2022-09-19,19.494
2022-09-20,19.463
2022-09-21,19.519
2022-09-22,18.887
2022-09-23,18.594
2022-09-26,18.498
2022-09-27,18.48
2022-09-28,18.541
2022-09-29,18.353
2022-09-30,18.456
2022-10-03,18.4
2022-10-04,19.006
2022-10-05,18.767
2022-10-06,18.963
2022-10-07,18.36
2022-10-10,18.092
2022-10-11,18.053
2022-10-12,18.005
2022-10-13,18.1
2022-10-14,18.13
2022-10-17,18.419
2022-10-18,18.53
2022-10-19,18.529
2022-10-20,18.616
2022-10-21,18.494
2022-10-24,18.916
2022-10-25,19.299
2022-10-26,19.451
2022-10-27,19.237
2022-10-28,19.322
2022-10-31,19.372
2022-11-01,19.215
2022-11-02,19.062
2022-11-03,18.584
2022-11-04,18.614
2022-11-07,18.869
2022-11-08,19.275
2022-11-09,18.922
2022-11-10,19.624
2022-11-11,19.813
2022-11-14,19.976
2022-11-15,20.143
2022-11-16,19.872
2022-11-17,19.632
2022-11-18,19.791
2022-11-21,19.741
2022-11-22,19.863
2022-11-23,20.13
2022-11-24,20.204
2022-11-25,20.13
2022-11-28,19.941
2022-11-29,19.918
2022-11-30,19.698
2022-12-01,20.346
2022-12-02,20.273
2022-12-05,20.251
2022-12-06,20.015
2022-12-07,19.663
2022-12-08,19.701
2022-12-09,19.956
2022-12-12,19.759
2022-12-13,20.217
2022-12-14,20.252
2022-12-15,19.585
2022-12-16,19.316
2022-12-19,19.24
2022-12-20,19.032
2022-12-21,19.18
2022-12-22,19.35
2022-12-23,19.095
2022-12-27,19.086
2022-12-28,19.131
2022-12-29,18.911
2022-12-30,19.075
2023-01-02,19.297
2023-01-03,19.24
2023-01-04,19.245
2023-01-05,19.201
2023-01-06,18.986
2023-01-09,19.488
2023-01-10,19.329
2023-01-11,19.667
2023-01-12,19.84
2023-01-13,20.001
2023-01-16,20.08
2023-01-17,19.987
2023-01-18,20.077
2023-01-19,19.556
2023-01-20,19.572
2023-01-23,19.902
2023-01-24,20.18
2023-01-25,20.034
2023-01-26,20.225
2023-01-27,20.26
2023-01-30,20.257
2023-01-31,20.373
2023-02-01,20.433
2023-02-02,20.922
2023-02-03,20.939
2023-02-06,20.616
2023-02-07,20.762
2023-02-08,20.798
2023-02-09,20.808
2023-02-10,20.384
2023-02-13,20.435
2023-02-14,20.723
2023-02-15,20.578
2023-02-16,20.772
2023-02-17,20.372
2023-02-20,20.394
2023-02-21,20.136
2023-02-22,20.083
2023-02-23,20.093
2023-02-24,19.821
2023-02-27,20.013
2023-02-28,19.922
2023-03-01,19.92
2023-03-02,19.671
2023-03-03,20.085
2023-03-06,20.392
2023-03-07,20.341
2023-03-08,19.924
2023-03-09,19.933
2023-03-10,19.528
2023-03-13,19.443
2023-03-14,19.294
2023-03-15,19.349
2023-03-16,19.753
2023-03-17,19.9
2023-03-20,19.688
2023-03-21,20.039
2023-03-22,20.121
2023-03-23,20.153
2023-03-24,19.861
2023-03-27,20.042
2023-03-28,19.951
2023-03-29,20.156
2023-03-30,20.213
2023-03-31,20.506
2023-04-03,20.581
2023-04-04,20.726
2023-04-05,20.51
2023-04-06,20.395
2023-04-11,20.619
2023-04-12,20.54
2023-04-13,20.468
2023-04-14,20.663
2023-04-17,20.764
2023-04-18,20.746
2023-04-19,20.652
2023-04-20,20.676
2023-04-21,20.688
2023-04-24,20.635
2023-04-25,20.655
2023-04-26,20.488
2023-04-27,20.387
2023-04-28,20.565
2023-05-02,20.85
2023-05-03,20.642
2023-05-04,20.284
2023-05-05,20.52
2023-05-08,20.716
2023-05-09,20.651
2023-05-10,20.664
2023-05-11,20.682
2023-05-12,20.874
2023-05-15,20.742
2023-05-16,20.77
2023-05-17,20.78
2023-05-18,21.104
2023-05-19,21.135
2023-05-22,21.139
2023-05-23,21.054
2023-05-24,20.692
2023-05-25,20.966
2023-05-26,21.231
2023-05-29,21.365
2023-05-30,21.323
2023-05-31,21.069
2023-06-01,21.254
2023-06-02,21.661
2023-06-05,21.708
2023-06-06,21.654
2023-06-07,21.589
2023-06-08,21.605
2023-06-09,21.696
2023-06-12,21.738
2023-06-13,22.06
2023-06-14,22.173
2023-06-15,22.233
2023-06-16,22.338
2023-06-19,22.222
2023-06-20,22.115
2023-06-21,22.056
2023-06-22,22.052
2023-06-23,21.956
2023-06-26,21.921
2023-06-27,21.95
2023-06-28,22.046
2023-06-29,22.124
2023-06-30,22.365
2023-07-03,22.385
2023-07-04,22.399
2023-07-05,22.393
2023-07-06,22.087
2023-07-07,22.198
2023-07-10,22.118
2023-07-11,22.199
2023-07-12,22.515
2023-07-13,22.626
2023-07-14,22.755
2023-07-17,22.753
2023-07-18,22.842
2023-07-19,23.057
2023-07-20,22.923
2023-07-21,22.888
2023-07-24,22.899
2023-07-25,22.95
2023-07-26,22.922
2023-07-27,23.105
2023-07-28,23.078
2023-07-31,23.069
2023-08-01,23.001
2023-08-02,22.715
2023-08-03,22.631
2023-08-04,22.779
2023-08-07,22.623
2023-08-08,22.462
2023-08-09,22.432
2023-08-10,22.591
2023-08-11,22.357
2023-08-14,22.505
2023-08-15,22.41
2023-08-16,22.315
2023-08-17,22.096
2023-08-18,21.876
2023-08-21,21.92
2023-08-22,22.113
2023-08-23,22.285
2023-08-24,22.19
2023-08-25,22.023
2023-08-28,22.217
2023-08-29,22.528
2023-08-30,22.698
2023-08-31,22.775
2023-09-01,22.713
2023-09-04,22.699
2023-09-05,22.685
2023-09-06,22.414
2023-09-07,22.319
2023-09-08,22.432
2023-09-11,22.487
2023-09-12,22.411
2023-09-13,22.463
2023-09-14,22.571
2023-09-15,22.377
2023-09-18,22.322
2023-09-19,22.14
2023-09-20,22.295
2023-09-21,21.787
2023-09-22,21.784
2023-09-25,21.629
2023-09-26,21.388
2023-09-27,21.316
2023-09-28,21.447
2023-09-29,21.604
2023-10-02,21.566
2023-10-03,21.214
2023-10-04,21.298
2023-10-05,21.265
2023-10-06,21.473
2023-10-09,21.541
2023-10-10,21.947
2023-10-11,21.878
2023-10-12,21.979
2023-10-13,21.729
2023-10-16,21.953
2023-10-17,21.907
2023-10-18,21.737
2023-10-19,21.558
2023-10-20,21.199
2023-10-23,21.211
2023-10-24,21.238
2023-10-25,21.096
2023-10-26,20.751
2023-10-27,20.754
2023-10-30,20.744
2023-10-31,20.858
2023-11-01,21.064
2023-11-02,21.531
2023-11-03,21.873
2023-11-06,21.892
2023-11-07,22.023
2023-11-08,22.018
2023-11-09,22.046
2023-11-10,21.985
2023-11-13,22.181
2023-11-14,22.627
2023-11-15,22.686
2023-11-16,22.588
2023-11-17,22.642
2023-11-20,22.771
2023-11-21,22.788
2023-11-22,22.924
2023-11-23,22.94
2023-11-24,22.893
2023-11-27,22.883
2023-11-28,22.9
2023-11-29,22.914
2023-11-30,22.886
2023-12-01,22.981
2023-12-04,22.863
2023-12-05,23.07
2023-12-06,23.038
2023-12-07,23.037
2023-12-08,23.095
2023-12-11,23.172
2023-12-12,23.285
2023-12-13,23.443
2023-12-14,23.734
2023-12-15,23.741
2023-12-18,23.852
2023-12-19,23.96
2023-12-20,23.988
2023-12-21,23.797
2023-12-22,23.955
2023-12-27,24.008
2023-12-28,24.08
2023-12-29,23.923
2024-01-02,23.787
2024-01-03,23.678
2024-01-04,23.713
2024-01-05,23.637
2024-01-08,23.734
2024-01-09,23.928
2024-01-10,24.025
2024-01-11,23.957
2024-01-12,24.142
2024-01-15,24.149
2024-01-16,24.16
2024-01-17,23.971
2024-01-18,24.137
2024-01-19,24.352
2024-01-22,24.639
2024-01-23,24.574
2024-01-24,24.859
2024-01-25,24.843
2024-01-26,24.848
2024-01-29,24.798
2024-01-30,24.993
2024-01-31,24.733
2024-02-01,24.627
2024-02-02,25.071
2024-02-05,25.044
2024-02-06,25.146
2024-02-07,25.349
2024-02-08,25.384
2024-02-09,25.541
2024-02-12,25.662
2024-02-13,25.307
2024-02-14,25.309
2024-02-15,25.443
2024-02-16,25.557
2024-02-19,25.433
2024-02-20,25.206
2024-02-21,25.149
2024-02-22,25.744
2024-02-23,25.877
2024-02-26,25.87
2024-02-27,25.79
2024-02-28,25.773
2024-02-29,25.839
2024-03-01,26.013
2024-03-04,26.134
2024-03-05,25.87
2024-03-06,26.015
2024-03-07,26.236
2024-03-08,26.272
2024-03-11,25.978
2024-03-12,26.297
2024-03-13,26.298
2024-03-14,26.173
2024-03-15,25.971
2024-03-18,26.246
2024-03-19,26.221
2024-03-20,26.33
2024-03-21,26.751
2024-03-22,26.619
2024-03-25,26.544
2024-03-26,26.581
2024-03-27,26.508
2024-03-28,26.668
2024-04-02,26.322
2024-04-03,26.495
2024-04-04,26.555
2024-04-05,26.286
2024-04-08,26.385
2024-04-09,26.233
2024-04-10,26.103
2024-04-11,26.105
2024-04-12,26.055
2024-04-15,25.966
2024-04-16,25.615
2024-04-17,25.5
2024-04-18,25.523
2024-04-19,25.194
2024-04-22,25.108
2024-04-23,25.587
2024-04-24,25.556
2024-04-25,25.292
2024-04-26,25.831
2024-04-29,25.858
2024-04-30,25.71
2024-05-02,25.497
2024-05-03,25.913
2024-05-06,26.1
2024-05-07,26.318
2024-05-08,26.225
2024-05-09,26.321
2024-05-10,26.366
2024-05-13,26.422
2024-05-14,26.474
2024-05-15,26.785
2024-05-16,26.899
2024-05-17,26.807
2024-05-20,26.946
2024-05-21,26.876
2024-05-22,26.93
2024-05-23,26.869
2024-05-24,26.849
2024-05-27,26.846
2024-05-28,26.807
2024-05-29,26.68
2024-05-30,26.48
2024-05-31,26.253
2024-06-03,26.588
2024-06-04,26.611
2024-06-05,26.872
2024-06-06,27.089
2024-06-07,27.084
2024-06-10,27.061
2024-06-11,27.084
2024-06-12,27.565
2024-06-13,27.432
2024-06-14,27.497
2024-06-17,27.608
2024-06-18,27.781
2024-06-19,27.861
2024-06-20,27.859
2024-06-21,27.731
2024-06-24,27.8
2024-06-25,27.72
2024-06-26,27.658
2024-06-27,27.77
2024-06-28,27.895
2024-07-01,27.712
2024-07-02,27.818
2024-07-03,28.022
2024-07-04,28.07
2024-07-05,28.189
2024-07-08,28.278
2024-07-09,28.267
2024-07-10,28.327
2024-07-11,28.346
2024-07-12,28.558
2024-07-15,28.671
2024-07-16,28.697
2024-07-17,28.44
2024-07-18,28.275
2024-07-19,28.025
2024-07-22,28.125
2024-07-23,28.348
2024-07-24,27.711
2024-07-25,27.718
2024-07-26,27.686
2024-07-29,27.762
2024-07-30,27.693
2024-07-31,28.11
2024-08-01,27.913
2024-08-02,27.103
2024-08-05,26.656
2024-08-06,26.76
2024-08-07,27.066
2024-08-08,27.007
2024-08-09,27.108
2024-08-12,27.155
2024-08-13,27.481
2024-08-14,27.656
2024-08-15,28.074
2024-08-16,28.099
2024-08-19,28.309
2024-08-20,28.405
2024-08-21,28.487
2024-08-22,28.431
2024-08-23,28.531
2024-08-26,28.501
2024-08-27,28.485
2024-08-28,28.355
2024-08-29,28.555
2024-08-30,28.414
2024-09-02,28.639
2024-09-03,28.377
2024-09-04,28.204
2024-09-05,27.971
2024-09-06,27.686
2024-09-09,27.838
2024-09-10,28.035
2024-09-11,27.741
2024-09-12,28.322
2024-09-13,28.656
2024-09-16,28.643
2024-09-17,28.829
2024-09-18,28.637
2024-09-19,29.035
2024-09-20,28.849
2024-09-23,29.04
2024-09-24,28.998
2024-09-25,29.061
2024-09-26,29.119
2024-09-27,29.221
2024-09-30,29.142
2024-10-01,28.904
2024-10-02,28.978
2024-10-03,28.866
2024-10-04,28.895
2024-10-07,29.02
2024-10-08,29.084
2024-10-09,29.269
2024-10-10,29.297
2024-10-11,29.431
2024-10-14,29.646
2024-10-15,29.642
2024-10-16,29.508
2024-10-17,29.656
2024-10-18,29.64
2024-10-21,29.457
2024-10-22,29.508
2024-10-23,29.33
2024-10-24,29.334
2024-10-25,29.596
2024-10-28,29.574
2024-10-29,29.608
2024-10-30,29.646
2024-10-31,29.066
2024-11-01,29.179
2024-11-04,29.069
2024-11-05,29.239
2024-11-06,29.892
2024-11-07,30.272
2024-11-08,30.457
2024-11-11,30.531
2024-11-12,30.464
2024-11-13,30.439
2024-11-14,30.345
2024-11-15,29.805
2024-11-18,29.875
2024-11-19,29.865
2024-11-20,29.699
2024-11-21,30.017
2024-11-22,30.135
2024-11-25,30.39
2024-11-26,30.44
2024-11-27,30.359
2024-11-28,30.456
2024-11-29,30.553
2024-12-02,30.646
2024-12-03,30.656
2024-12-04,30.867
2024-12-05,30.898
2024-12-06,30.952
2024-12-09,30.824
2024-12-10,30.829
2024-12-11,31.012
2024-12-12,31.005
2024-12-13,30.7
2024-12-16,30.839
2024-12-17,30.783
2024-12-18,30.858
2024-12-19,30.082
2024-12-20,30.224
2024-12-23,30.15
2024-12-24,30.364
2024-12-27,30.275
2024-12-30,29.954
2024-12-31,30.053
2025-01-02,29.881
2025-01-03,29.981
2025-01-06,30.488
2025-01-07,30.163
2025-01-08,29.936
2025-01-09,29.919
2025-01-10,29.461
2025-01-13,29.273
2025-01-14,29.482
2025-01-15,29.99
2025-01-16,30.104
2025-01-17,30.355
2025-01-20,30.373
2025-01-21,30.383
2025-01-22,30.72
2025-01-23,30.745
2025-01-24,30.874
2025-01-27,30.4
2025-01-28,30.671
2025-01-29,30.688
2025-01-30,30.634
2025-01-31,30.971
2025-02-03,30.387
2025-02-04,30.523
2025-02-05,30.41
2025-02-06,30.632
2025-02-07,30.495
2025-02-10,30.62
2025-02-11,30.628
2025-02-12,30.414
2025-02-13,30.81
2025-02-14,30.962
2025-02-17,31.016
2025-02-18,30.995
2025-02-19,30.992
2025-02-20,30.923
2025-02-21,30.824
2025-02-24,30.529
2025-02-25,30.1
2025-02-26,30.413
2025-02-27,30.187
2025-02-28,29.788
2025-03-03,30.194
2025-03-04,29.272
2025-03-05,29.354
2025-03-06,29.583
2025-03-07,29.112
2025-03-10,28.894
2025-03-11,28.385
2025-03-12,28.548
2025-03-13,28.202
2025-03-14,28.479
2025-03-17,28.65
2025-03-18,28.528
2025-03-19,28.7
2025-03-20,28.713
2025-03-21,28.6
2025-03-24,29.108
2025-03-25,29.217
2025-03-26,29.033
2025-03-27,29.014
2025-03-28,28.387
2025-03-31,28.14
2025-04-01,28.623
2025-04-02,28.702
2025-04-03,27.643
2025-04-04,26.443
2025-04-07,25.205
2025-04-08,26.343
2025-04-09,25.363
2025-04-10,26.714
2025-04-11,26.658
2025-04-14,27.436
2025-04-15,27.506
2025-04-16,27.233
2025-04-17,26.771
2025-04-22,26.688
2025-04-23,27.298
2025-04-24,27.552
2025-04-25,27.75
2025-04-28,27.756
2025-04-29,27.988
2025-04-30,27.901
2025-05-02,28.648
2025-05-05,28.684
2025-05-06,28.521
2025-05-07,28.361
2025-05-08,28.73
2025-05-09,28.647
2025-05-12,29.41
2025-05-13,29.842
2025-05-14,29.902
2025-05-15,29.951
2025-05-16,30.112
2025-05-19,30.186
2025-05-20,30.218
2025-05-21,30.129
2025-05-22,29.724
2025-05-23,29.402
2025-05-26,29.721
2025-05-27,29.935
2025-05-28,29.992
2025-05-29,29.964
2025-05-30,29.899
2025-06-02,29.779
2025-06-03,30.084
2025-06-04,30.202
2025-06-05,30.284
2025-06-06,30.279
2025-06-09,30.351
2025-06-10,30.437
2025-06-11,30.618
2025-06-12,30.51
2025-06-13,30.261
2025-06-16,30.439
2025-06-17,30.288
2025-06-18,30.243
2025-06-19,29.748
2025-06-20,29.993
2025-06-23,30.096
2025-06-24,30.543
2025-06-25,30.584
2025-06-26,30.728
2025-06-27,30.954
2025-06-30,30.946
2025-07-01,31.036
2025-07-02,31.139
2025-07-03,31.431
2025-07-04,31.306
2025-07-07,31.23
2025-07-08,31.162
2025-07-09,31.157
2025-07-10,31.342
2025-07-11,31.2
2025-07-14,31.171
2025-07-15,31.227
2025-07-16,30.937
2025-07-17,31.307
2025-07-18,31.342
2025-07-21,31.515
2025-07-22,31.383
2025-07-23,31.503
2025-07-24,31.734
2025-07-25,31.781
2025-07-28,31.804
2025-07-29,31.744
2025-07-30,31.75
2025-07-31,31.789
2025-08-01,31.03
2025-08-04,31.379
2025-08-05,31.324
2025-08-06,31.49
2025-08-07,31.544
2025-08-08,31.768
2025-08-11,31.817
2025-08-12,31.958
2025-08-13,32.142
2025-08-14,32.081
2025-08-15,32.105
2025-08-18,32.072
2025-08-19,32.076
2025-08-20,31.842
2025-08-21,31.832
2025-08-22,32.277
2025-08-25,32.171
2025-08-26,32.031
2025-08-27,32.223
2025-08-28,32.213
2025-08-29,32.105
