,ADAVE FP Equity_PX_LAST
2023-03-09,2.917
2023-03-10,2.816
2023-03-13,3.079
2023-03-14,3.099
2023-03-15,3.125
2023-03-16,2.988
2023-03-17,3.06
2023-03-20,3.148
2023-03-21,3.021
2023-03-22,3.385
2023-03-23,3.321
2023-03-24,3.31
2023-03-27,3.149
2023-03-28,3.164
2023-03-29,3.408
2023-03-30,3.386
2023-03-31,3.387
2023-04-03,3.49
2023-04-04,3.491
2023-04-05,3.517
2023-04-06,3.474
2023-04-11,3.626
2023-04-12,3.509
2023-04-13,3.587
2023-04-14,3.89
2023-04-17,3.902
2023-04-18,3.93
2023-04-19,3.853
2023-04-20,3.72
2023-04-21,3.569
2023-04-24,3.42
2023-04-25,3.361
2023-04-26,3.508
2023-04-27,3.57
2023-04-28,3.609
2023-05-02,3.42
2023-05-03,3.414
2023-05-04,3.461
2023-05-05,3.445
2023-05-08,3.24
2023-05-09,3.208
2023-05-10,3.207
2023-05-11,3.244
2023-05-12,3.219
2023-05-15,3.317
2023-05-16,3.286
2023-05-17,3.291
2023-05-18,3.372
2023-05-19,3.329
2023-05-22,3.304
2023-05-23,3.343
2023-05-24,3.277
2023-05-25,3.244
2023-05-26,3.279
2023-05-29,3.423
2023-05-30,3.404
2023-05-31,3.405
2023-06-01,3.301
2023-06-02,3.384
2023-06-05,3.317
2023-06-06,3.155
2023-06-07,2.969
2023-06-08,2.947
2023-06-09,2.849
2023-06-12,2.503
2023-06-13,2.411
2023-06-14,2.444
2023-06-15,2.295
2023-06-16,2.281
2023-06-19,2.284
2023-06-20,2.257
2023-06-21,2.499
2023-06-22,2.551
2023-06-23,2.602
2023-06-26,2.555
2023-06-27,2.485
2023-06-28,2.43
2023-06-29,2.433
2023-06-30,2.447
2023-07-03,2.607
2023-07-04,2.612
2023-07-05,2.516
2023-07-06,2.491
2023-07-07,2.501
2023-07-10,2.522
2023-07-11,2.558
2023-07-12,2.542
2023-07-13,2.531
2023-07-14,3.004
2023-07-17,2.689
2023-07-18,2.612
2023-07-19,2.694
2023-07-20,2.769
2023-07-21,2.729
2023-07-24,2.647
2023-07-25,2.661
2023-07-26,2.655
2023-07-27,2.704
2023-07-28,2.731
2023-07-31,2.739
2023-08-01,2.668
2023-08-02,2.666
2023-08-03,2.608
2023-08-04,2.588
2023-08-07,2.535
2023-08-08,2.596
2023-08-09,2.614
2023-08-10,2.61
2023-08-11,2.595
2023-08-14,2.577
2023-08-15,2.544
2023-08-16,2.431
2023-08-17,2.425
2023-08-18,2.348
2023-08-21,2.31
2023-08-22,2.286
2023-08-23,2.332
2023-08-24,2.339
2023-08-25,2.34
2023-08-28,2.375
2023-08-29,2.445
2023-08-30,2.314
2023-08-31,2.335
2023-09-01,2.293
2023-09-04,2.28
2023-09-05,2.316
2023-09-06,2.294
2023-09-07,2.294
2023-09-08,2.289
2023-09-11,2.179
2023-09-12,2.239
2023-09-13,2.242
2023-09-14,2.268
2023-09-15,2.237
2023-09-18,2.304
2023-09-19,2.316
2023-09-20,2.295
2023-09-21,2.246
2023-09-22,2.219
2023-09-25,2.23
2023-09-26,2.239
2023-09-27,2.237
2023-09-28,2.268
2023-09-29,2.328
2023-10-02,2.449
2023-10-03,2.426
2023-10-04,2.357
2023-10-05,2.393
2023-10-06,2.405
2023-10-09,2.298
2023-10-10,2.263
2023-10-11,2.237
2023-10-12,2.238
2023-10-13,2.264
2023-10-16,2.295
2023-10-17,2.259
2023-10-18,2.245
2023-10-19,2.238
2023-10-20,2.282
2023-10-23,2.393
2023-10-24,2.568
2023-10-25,2.602
2023-10-26,2.604
2023-10-27,2.626
2023-10-30,2.739
2023-10-31,2.67
2023-11-01,2.665
2023-11-02,2.754
2023-11-03,2.868
2023-11-06,3.156
2023-11-07,3.074
2023-11-08,3.218
2023-11-09,3.244
2023-11-10,3.385
2023-11-13,3.368
2023-11-14,3.267
2023-11-15,3.292
2023-11-16,3.384
2023-11-17,3.209
2023-11-20,3.431
2023-11-21,3.295
2023-11-22,3.274
2023-11-23,3.372
2023-11-24,3.465
2023-11-27,3.324
2023-11-28,3.342
2023-11-29,3.366
2023-11-30,3.306
2023-12-01,3.406
2023-12-04,3.569
2023-12-05,3.603
2023-12-06,3.991
2023-12-07,4.007
2023-12-08,4.992
2023-12-11,4.942
2023-12-12,5.154
2023-12-13,5.499
2023-12-14,5.619
2023-12-15,5.52
2023-12-18,5.037
2023-12-19,5.088
2023-12-20,5.244
2023-12-21,5.266
2023-12-22,5.403
2023-12-27,5.417
2023-12-28,5.317
2023-12-29,5.256
2024-01-02,5.404
2024-01-03,5.021
2024-01-04,4.987
2024-01-05,4.665
2024-01-08,4.47
2024-01-09,4.44
2024-01-10,4.419
2024-01-11,5.033
2024-01-12,4.983
2024-01-15,4.614
2024-01-16,4.8
2024-01-17,4.655
2024-01-18,4.588
2024-01-19,4.235
2024-01-22,4.354
2024-01-23,4.118
2024-01-24,4.165
2024-01-25,4.119
2024-01-26,4.324
2024-01-29,4.48
2024-01-30,4.619
2024-01-31,4.491
2024-02-01,4.339
2024-02-02,4.595
2024-02-05,4.406
2024-02-06,4.456
2024-02-07,4.302
2024-02-08,4.711
2024-02-09,4.792
2024-02-12,4.961
2024-02-13,4.83
2024-02-14,5.124
2024-02-15,5.402
2024-02-16,5.323
2024-02-19,5.573
2024-02-20,5.423
2024-02-21,5.203
2024-02-22,5.24
2024-02-23,5.089
2024-02-26,5.42
2024-02-27,5.443
2024-02-28,5.736
2024-02-29,6.004
2024-03-01,6.058
2024-03-04,6.885
2024-03-05,6.524
2024-03-06,6.35
2024-03-07,6.537
2024-03-08,6.245
2024-03-11,6.72
2024-03-12,6.501
2024-03-13,6.553
2024-03-14,6.529
2024-03-15,6.293
2024-03-18,5.859
2024-03-19,5.49
2024-03-20,5.149
2024-03-21,5.671
2024-03-22,5.433
2024-03-25,5.849
2024-03-26,5.852
2024-03-27,5.637
2024-03-28,5.791
2024-04-02,5.241
2024-04-03,5.161
2024-04-04,5.167
2024-04-05,5.077
2024-04-08,5.357
2024-04-09,5.259
2024-04-10,5.086
2024-04-11,5.198
2024-04-12,5.067
2024-04-15,4.209
2024-04-16,4.042
2024-04-17,3.922
2024-04-18,4.09
2024-04-19,4.226
2024-04-22,4.579
2024-04-23,4.556
2024-04-24,4.291
2024-04-25,4.184
2024-04-26,4.151
2024-04-29,4.076
2024-04-30,3.866
2024-05-02,4.104
2024-05-03,4.115
2024-05-06,4.042
2024-05-07,4.011
2024-05-08,4.026
2024-05-09,4.036
2024-05-10,3.99
2024-05-13,3.93
2024-05-14,3.835
2024-05-15,3.922
2024-05-16,3.979
2024-05-17,4.238
2024-05-20,4.108
2024-05-21,4.448
2024-05-22,4.237
2024-05-23,4.125
2024-05-24,4.061
2024-05-27,4.109
2024-05-28,3.988
2024-05-29,4.035
2024-05-30,3.948
2024-05-31,3.963
2024-06-03,3.954
2024-06-04,4.021
2024-06-05,4.054
2024-06-06,4.045
2024-06-07,4.263
2024-06-10,3.936
2024-06-11,3.792
2024-06-12,3.882
2024-06-13,3.761
2024-06-14,3.708
2024-06-17,3.578
2024-06-18,3.302
2024-06-19,3.4
2024-06-20,3.401
2024-06-21,3.4
2024-06-24,3.325
2024-06-25,3.511
2024-06-26,3.456
2024-06-27,3.445
2024-06-28,3.474
2024-07-01,3.565
2024-07-02,3.662
2024-07-03,3.58
2024-07-04,3.354
2024-07-05,3.085
2024-07-08,3.226
2024-07-09,3.267
2024-07-10,3.371
2024-07-11,3.492
2024-07-12,3.561
2024-07-15,3.796
2024-07-16,3.892
2024-07-17,3.932
2024-07-18,3.725
2024-07-19,3.75
2024-07-22,3.759
2024-07-23,3.66
2024-07-24,3.633
2024-07-25,3.459
2024-07-26,3.624
2024-07-29,3.58
2024-07-30,3.529
2024-07-31,3.538
2024-08-01,3.337
2024-08-02,3.134
2024-08-05,2.745
2024-08-06,2.871
2024-08-07,2.809
2024-08-08,2.94
2024-08-09,2.975
2024-08-12,2.938
2024-08-13,2.918
2024-08-14,2.891
2024-08-15,2.921
2024-08-16,2.789
2024-08-19,2.849
2024-08-20,2.893
2024-08-21,3.035
2024-08-22,3.173
2024-08-23,3.221
2024-08-26,3.17
2024-08-27,3.088
2024-08-28,3.005
2024-08-29,3.133
2024-08-30,2.938
2024-09-02,2.844
2024-09-03,2.754
2024-09-04,2.764
2024-09-05,2.793
2024-09-06,2.705
2024-09-09,2.921
2024-09-10,2.937
2024-09-11,2.881
2024-09-12,3.068
2024-09-13,3.078
2024-09-16,2.805
2024-09-17,2.904
2024-09-18,2.813
2024-09-19,3.003
2024-09-20,3.013
2024-09-23,3.021
2024-09-24,3.181
2024-09-25,3.277
2024-09-26,3.366
2024-09-27,3.458
2024-09-30,3.241
2024-10-01,3.119
2024-10-02,3.014
2024-10-03,2.877
2024-10-04,3.044
2024-10-07,3.096
2024-10-08,2.987
2024-10-09,2.943
2024-10-10,2.906
2024-10-11,3.015
2024-10-14,3.138
2024-10-15,3.057
2024-10-16,3.086
2024-10-17,3.025
2024-10-18,3.033
2024-10-21,3.114
2024-10-22,3.168
2024-10-23,3.085
2024-10-24,3.006
2024-10-25,3.018
2024-10-28,2.92
2024-10-29,3.072
2024-10-30,3.091
2024-10-31,3.006
2024-11-01,3.103
2024-11-04,2.838
2024-11-05,2.897
2024-11-06,3.112
2024-11-07,3.387
2024-11-08,4.023
2024-11-11,5.323
2024-11-12,5.014
2024-11-13,5.289
2024-11-14,4.927
2024-11-15,5.94
2024-11-18,6.74
2024-11-19,6.55
2024-11-20,7.394
2024-11-21,7.092
2024-11-22,8.746
2024-11-25,9.038
2024-11-26,8.466
2024-11-27,9.164
2024-11-28,8.811
2024-11-29,9.468
2024-12-02,10.81
2024-12-03,10.899
2024-12-04,10.493
2024-12-05,10.901
2024-12-06,10.735
2024-12-09,10.003
2024-12-10,8.52
2024-12-11,9.794
2024-12-12,10.252
2024-12-13,9.87
2024-12-16,9.855
2024-12-17,9.717
2024-12-18,9.189
2024-12-19,8.524
2024-12-20,7.944
2024-12-23,7.923
2024-12-24,8.135
2024-12-27,7.841
2024-12-30,7.589
2024-12-31,7.775
2025-01-02,8.83
2025-01-03,10.007
2025-01-06,10.032
2025-01-07,9.541
2025-01-08,8.808
2025-01-09,8.426
2025-01-10,8.478
2025-01-13,8.486
2025-01-14,8.927
2025-01-15,9.784
2025-01-16,10.449
2025-01-17,10.293
2025-01-20,9.495
2025-01-21,9.074
2025-01-22,8.972
2025-01-23,9.079
2025-01-24,8.878
2025-01-27,8.266
2025-01-28,8.511
2025-01-29,8.29
2025-01-30,8.812
2025-01-31,8.776
2025-02-03,7.051
2025-02-04,6.904
2025-02-05,6.776
2025-02-06,6.406
2025-02-07,6.669
2025-02-10,6.411
2025-02-11,7.204
2025-02-12,6.908
2025-02-13,7.063
2025-02-14,7.2
2025-02-17,7.149
2025-02-18,6.717
2025-02-19,6.942
2025-02-20,7.151
2025-02-21,7.211
2025-02-24,6.494
2025-02-25,5.761
2025-02-26,5.994
2025-02-27,5.973
2025-02-28,5.662
2025-03-03,8.719
2025-03-04,7.362
2025-03-05,8.183
2025-03-06,7.998
2025-03-07,7.13
2025-03-10,6.005
2025-03-11,6.224
2025-03-12,6.247
2025-03-13,6.101
2025-03-14,6.385
2025-03-17,6.21
2025-03-18,5.926
2025-03-19,6.303
2025-03-20,6.216
2025-03-21,6.106
2025-03-24,6.312
2025-03-25,6.513
2025-03-26,6.418
2025-03-27,6.372
2025-03-28,6.03
2025-03-31,5.717
2025-04-01,5.953
2025-04-02,5.939
2025-04-03,5.271
2025-04-04,5.683
2025-04-07,4.857
2025-04-08,5.1
2025-04-09,4.819
2025-04-10,5.007
2025-04-11,5.094
2025-04-14,5.29
2025-04-15,5.191
2025-04-16,5.072
2025-04-17,5.083
2025-04-22,5.387
2025-04-23,5.623
2025-04-24,6.041
2025-04-25,5.967
2025-04-28,5.666
2025-04-29,5.824
2025-04-30,5.575
2025-05-02,5.81
2025-05-05,5.424
2025-05-06,5.375
2025-05-07,5.485
2025-05-08,6.073
2025-05-09,6.442
2025-05-12,6.904
2025-05-13,6.703
2025-05-14,6.677
2025-05-15,6.34
2025-05-16,6.486
2025-05-19,6.071
2025-05-20,6.04
2025-05-21,6.293
2025-05-22,6.643
2025-05-23,6.455
2025-05-26,6.237
2025-05-27,6.285
2025-05-28,6.131
2025-05-29,6.085
2025-05-30,5.802
2025-06-02,5.49
2025-06-03,5.682
2025-06-04,5.618
2025-06-05,5.496
2025-06-06,5.499
2025-06-09,5.492
2025-06-10,5.683
2025-06-11,5.867
2025-06-12,5.495
2025-06-13,5.163
2025-06-16,5.244
2025-06-17,4.926
2025-06-18,4.79
2025-06-19,4.813
2025-06-20,4.74
2025-06-23,4.416
2025-06-24,4.682
2025-06-25,4.558
2025-06-26,4.407
2025-06-27,4.364
2025-06-30,4.459
2025-07-01,4.315
2025-07-02,4.537
2025-07-03,4.71
2025-07-04,4.517
2025-07-07,4.635
2025-07-08,4.611
2025-07-09,4.825
2025-07-10,4.98
2025-07-11,6.169
2025-07-14,5.885
2025-07-15,5.747
2025-07-16,5.994
2025-07-17,6.407
2025-07-18,6.545
2025-07-21,7.303
2025-07-22,7.022
2025-07-23,6.529
2025-07-24,6.523
2025-07-25,6.225
2025-07-28,6.47
2025-07-29,6.28
2025-07-30,6.229
2025-07-31,6.165
2025-08-01,5.9
2025-08-04,5.992
2025-08-05,5.82
2025-08-06,5.85
2025-08-07,6.079
2025-08-08,6.239
2025-08-11,6.322
2025-08-12,6.458
2025-08-13,6.89
2025-08-14,7.26
2025-08-15,7.35
2025-08-18,7.219
2025-08-19,7.166
2025-08-20,7.014
2025-08-21,6.868
2025-08-22,7.198
2025-08-25,6.909
2025-08-26,6.799
2025-08-27,6.951
2025-08-28,6.864
2025-08-29,6.581
