,ALARF FP Equity_DX_SI_QTY,ALARF FP Equity_DX_SHORT_INTEREST_VALUE,ALARF FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALARF FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALARF FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALARF FP Equity_DX_SI_MV,ALARF FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALARF FP Equity_DX_SUPPLY_SI_QTY,ALARF FP Equity_DX_BROKER_SI_QTY,ALARF FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALARF FP Equity_DX_SUPPLY_SI_MV,ALARF FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALARF FP Equity_DX_UTILIZATION_QUANTITY,ALARF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALARF FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALARF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALARF FP Equity_DX_ACTIVE_UTILIZATION_MV,ALARF FP Equity_DX_BROKER_SI_CON_RATIO,ALARF FP Equity_DX_DEMAND_SUPPLY_RATIO,ALARF FP Equity_PX_LAST
2017-10-13,,,,,,,,,,,,,,,,,,,,10.11
2017-10-16,,,,,,,,,,,,,,,,,,,,10.12
2017-10-17,,,,,,,,,,,,,,,,,,,,10.09
2017-10-18,,,,,,,,,,,,,,,,,,,,10.01
2017-10-19,,,,,,,,,,,,,,,,,,,,9.85
2017-10-20,,,,,,,,,,,,,,,,,,,,9.9
2017-10-23,,,,,,,,,,,,,,,,,,,,9.77
2017-10-24,,,,,,,,,,,,,,,,,,,,9.7
2017-10-25,,,,,,,,,,,,,,,,,,,,9.6
2017-10-26,,,,,,,,,,,,,,,,,,,,9.3
2017-10-27,,,,,,,,,,,,,,,,,,,,9.14
2017-10-30,,,,,,,,,,,,,,,,,,,,9.1
2017-10-31,,,,,,,,,,,,,,,,,,,,8.69
2017-11-01,,,,,,,,,,,,,,,,,,,,8.3
2017-11-02,,,,,,,,,,,,,,,,,,,,7.97
2017-11-03,,,,,,,,,,,,,,,,,,,,7.96
2017-11-06,,,,,,,,,,,,,,,,,,,,8.4
2017-11-07,,,,,,,,,,,,,,,,,,,,8.45
2017-11-08,,,,,,,,,,,,,,,,,,,,8.84
2017-11-09,,,,,,,,,,,,,,,,,,,,8.83
2017-11-10,,,,,,,,,,,,,,,,,,,,8.78
2017-11-13,,,,,,,,,,,,,,,,,,,,9.0
2017-11-14,,,,,,,,,,,,,,,,,,,,9.0
2017-11-15,,,,,,,,,,,,,,,,,,,,9.14
2017-11-16,,,,,,,,,,,,,,,,,,,,9.15
2017-11-17,,,,,,,,,,,,,,,,,,,,9.0
2017-11-20,,,,,,,,,,,,,,,,,,,,9.0
2017-11-21,,,,,,,,,,,,,,,,,,,,9.0
2017-11-22,,,,,,,,,,,,,,,,,,,,9.25
2017-11-23,,,,,,,,,,,,,,,,,,,,9.35
2017-11-24,,,,,,,,,,,,,,,,,,,,9.35
2017-11-27,,,,,,,,,,,,,,,,,,,,9.3
2017-11-28,,,,,,,,,,,,,,,,,,,,9.3
2017-11-29,,,,,,,,,,,,,,,,,,,,9.38
2017-11-30,,,,,,,,,,,,,,,,,,,,9.3
2017-12-01,,,,,,,,,,,,,,,,,,,,9.35
2017-12-04,,,,,,,,,,,,,,,,,,,,9.2
2017-12-05,,,,,,,,,,,,,,,,,,,,9.2
2017-12-06,,,,,,,,,,,,,,,,,,,,9.34
2017-12-07,,,,,,,,,,,,,,,,,,,,9.3
2017-12-08,,,,,,,,,,,,,,,,,,,,9.2
2017-12-11,,,,,,,,,,,,,,,,,,,,9.14
2017-12-12,,,,,,,,,,,,,,,,,,,,9.14
2017-12-13,,,,,,,,,,,,,,,,,,,,9.5
2017-12-14,,,,,,,,,,,,,,,,,,,,9.5
2017-12-15,,,,,,,,,,,,,,,,,,,,9.45
2017-12-18,,,,,,,,,,,,,,,,,,,,9.5
2017-12-19,,,,,,,,,,,,,,,,,,,,9.5
2017-12-20,,,,,,,,,,,,,,,,,,,,9.5
2017-12-21,,,,,,,,,,,,,,,,,,,,9.4
2017-12-22,,,,,,,,,,,,,,,,,,,,9.4
2017-12-27,,,,,,,,,,,,,,,,,,,,9.5
2017-12-28,,,,,,,,,,,,,,,,,,,,9.48
2017-12-29,,,,,,,,,,,,,,,,,,,,9.48
2018-01-02,,,,,,,,,,,,,,,,,,,,9.42
2018-01-03,,,,,,,,,,,,,,,,,,,,9.5
2018-01-04,,,,,,,,,,,,,,,,,,,,9.36
2018-01-05,,,,,,,,,,,,,,,,,,,,9.42
2018-01-08,,,,,,,,,,,,,,,,,,,,9.3
2018-01-09,,,,,,,,,,,,,,,,,,,,9.48
2018-01-10,,,,,,,,,,,,,,,,,,,,9.47
2018-01-11,,,,,,,,,,,,,,,,,,,,9.47
2018-01-12,,,,,,,,,,,,,,,,,,,,9.47
2018-01-15,,,,,,,,,,,,,,,,,,,,9.4
2018-01-16,,,,,,,,,,,,,,,,,,,,9.3
2018-01-17,,,,,,,,,,,,,,,,,,,,9.45
2018-01-18,,,,,,,,,,,,,,,,,,,,9.2
2018-01-19,,,,,,,,,,,,,,,,,,,,9.11
2018-01-22,,,,,,,,,,,,,,,,,,,,9.2
2018-01-23,,,,,,,,,,,,,,,,,,,,9.2
2018-01-24,,,,,,,,,,,,,,,,,,,,9.2
2018-01-25,,,,,,,,,,,,,,,,,,,,9.19
2018-01-26,,,,,,,,,,,,,,,,,,,,9.18
2018-01-29,,,,,,,,,,,,,,,,,,,,8.91
2018-01-30,,,,,,,,,,,,,,,,,,,,9.05
2018-01-31,,,,,,,,,,,,,,,,,,,,9.2
2018-02-01,,,,,,,,,,,,,,,,,,,,9.0
2018-02-02,,,,,,,,,,,,,,,,,,,,8.957
2018-02-05,,,,,,,,,,,,,,,,,,,,8.89
2018-02-06,,,,,,,,,,,,,,,,,,,,8.749
2018-02-07,,,,,,,,,,,,,,,,,,,,8.74
2018-02-08,,,,,,,,,,,,,,,,,,,,8.75
2018-02-09,,,,,,,,,,,,,,,,,,,,8.549
2018-02-12,,,,,,,,,,,,,,,,,,,,8.54
2018-02-13,,,,,,,,,,,,,,,,,,,,8.8
2018-02-14,,,,,,,,,,,,,,,,,,,,9.0
2018-02-15,,,,,,,,,,,,,,,,,,,,9.0
2018-02-16,,,,,,,,,,,,,,,,,,,,9.0
2018-02-19,,,,,,,,,,,,,,,,,,,,9.0
2018-02-20,,,,,,,,,,,,,,,,,,,,9.23
