,MLCOU FP Equity_PX_LAST
1992-01-29,5.4958
1992-02-11,5.4882
1992-04-16,5.4424
1992-04-23,5.9912
1992-04-24,5.9455
1992-04-29,5.9455
1992-05-18,5.3662
1992-05-19,5.3662
1992-05-21,5.915
1992-05-25,6.098
1992-05-27,5.9455
1992-06-23,6.098
1992-07-07,5.5034
1992-07-08,5.0308
1992-07-16,5.0308
1992-08-04,4.8784
1992-08-31,4.8784
1992-09-02,4.8784
1992-09-04,4.8784
1992-09-07,4.8784
1992-09-10,4.8784
1992-09-15,4.8784
1992-09-17,4.8784
1992-09-18,4.8784
1992-09-22,4.8784
1992-09-29,5.0308
1992-09-30,4.8784
1992-10-02,5.1223
1992-10-06,5.1833
1992-10-08,5.1223
1992-10-19,5.1223
1992-10-22,5.3357
1992-11-17,5.0308
1992-12-10,4.8784
1992-12-11,5.2595
1992-12-14,5.5949
1992-12-15,5.7626
1992-12-16,5.9455
1992-12-22,5.9455
1992-12-23,5.7168
1992-12-24,5.4882
1992-12-28,5.3357
1992-12-29,5.107
1992-12-30,4.6497
1992-12-31,4.3448
1993-01-06,4.5277
1993-01-08,4.6802
1993-01-12,4.7564
1993-01-15,4.9089
1993-01-18,5.1375
1993-01-19,5.3662
1993-01-21,5.5644
1993-01-22,5.3357
1993-01-25,5.5644
1993-01-26,5.8236
1993-01-28,6.0675
1993-02-03,6.0675
1993-02-05,6.0675
1993-02-09,6.0675
1993-03-01,6.1056
1993-03-03,6.1056
1993-03-05,6.1056
1993-03-09,6.1056
1993-03-11,6.1056
1993-03-18,6.1056
1993-03-31,6.1056
1993-04-08,6.1056
1993-04-14,6.1056
1993-04-16,6.1056
1993-04-26,6.1056
1993-05-17,6.1056
1993-05-19,6.1056
1993-05-25,6.1056
1993-06-10,5.8235
1993-06-11,5.8235
1993-06-14,5.3357
1993-06-17,5.3357
1993-06-23,5.3357
1993-09-15,5.1833
1993-09-20,5.1833
1993-09-27,5.0308
1993-10-05,5.0308
1993-10-11,5.0308
1993-10-19,5.0308
1993-11-15,4.8021
1993-11-18,4.8021
1993-12-03,4.8021
1993-12-10,4.8021
1993-12-13,5.2595
1993-12-14,5.6406
1993-12-17,5.3357
1993-12-22,4.8021
1993-12-24,4.5735
1993-12-27,4.4972
1993-12-28,4.3753
1993-12-30,4.2686
1994-01-05,4.2686
1994-01-12,4.6954
1994-01-13,5.1604
1994-01-14,5.6711
1994-01-17,6.098
1994-02-21,5.4882
1994-02-22,4.9393
1994-02-23,4.4515
1994-02-24,4.2686
1994-03-14,4.2686
1994-04-15,4.2686
1994-04-20,4.2686
1994-04-26,4.2686
1994-05-04,4.2686
1994-06-01,4.2686
1994-06-08,4.1161
1994-06-09,4.1161
1994-06-28,4.2686
1994-07-01,4.2686
1994-07-08,4.5735
1994-07-13,4.8326
1994-07-18,5.107
1994-07-19,5.5644
1994-07-20,5.8693
1994-08-01,5.6406
1994-08-12,6.2047
1994-08-29,6.4029
1994-09-07,6.3266
1994-09-14,6.1742
1994-09-19,6.1742
1994-09-21,6.1437
1994-09-23,6.1437
1994-09-26,5.6406
1994-10-11,5.6406
1994-12-06,5.3357
1994-12-12,4.9546
1994-12-13,4.7259
1994-12-14,4.7259
