,RXL FP Equity_DX_SI_QTY,RXL FP Equity_DX_SHORT_INTEREST_VALUE,RXL FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,RXL FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,RXL FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,RXL FP Equity_DX_SI_MV,RXL FP Equity_DX_DSS,RXL FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,RXL FP Equity_DX_SUPPLY_SI_QTY,RXL FP Equity_DX_BROKER_SI_QTY,RXL FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,RXL FP Equity_DX_BROKER_SI_MV_NEW_x,RXL FP Equity_DX_SUPPLY_SI_QTY_NEW_x,RXL FP Equity_DX_SUPPLY_SI_QTY_INC_x,RXL FP Equity_DX_BROKER_SI_MV_INC_x,RXL FP Equity_DX_SUPPLY_SI_MV_NEW,RXL FP Equity_DX_BROKER_SI_QTY_ADD,RXL FP Equity_DX_BROKER_SI_QTY_NEW,RXL FP Equity_DX_SUPPLY_SI_MV_DEC,RXL FP Equity_DX_BROKER_SI_QTY_INC,RXL FP Equity_DX_SUPPLY_SI_QTY_DEC,RXL FP Equity_DX_BROKER_SI_MV_NEW_y,RXL FP Equity_DX_SUPPLY_SI_QTY_NEW_y,RXL FP Equity_DX_BROKER_SI_MV_INC_y,RXL FP Equity_DX_SUPPLY_SI_QTY_INC_y,RXL FP Equity_DX_BROKER_SI_MV_ADD,RXL FP Equity_DX_SUPPLY_SI_QTY_ADD,RXL FP Equity_DX_BROKER_SI_QTY_DEC,RXL FP Equity_DX_SUPPLY_SI_MV,RXL FP Equity_DX_BROKER_SI_MV_DEC,RXL FP Equity_DX_SUPPLY_SI_MV_RMV,RXL FP Equity_DX_BROKER_SI_MV_RMV,RXL FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,RXL FP Equity_DX_UTILIZATION_QUANTITY,RXL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,RXL FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,RXL FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,RXL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,RXL FP Equity_DX_ACTIVE_UTILIZATION_MV,RXL FP Equity_DX_BROKER_SI_MARKET_SHARE_2,RXL FP Equity_DX_BROKER_SI_CON_RATIO,RXL FP Equity_DX_BROKER_SI_MARKET_SHARE_1,RXL FP Equity_DX_DEMAND_SUPPLY_RATIO,RXL FP Equity_PX_LAST
2007-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5
2007-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.38
2007-04-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,10000.0,124489.57,,0.17,0.0,,0.0,,0.0,16.88
2007-04-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,683751.0,8471645.66,,11.37,0.0,,0.0,,0.0,16.8
2007-04-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1275251.0,15536966.95,,21.39,0.0,,0.0,,0.0,16.52
2007-04-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1275251.0,15518157.06,,21.12,0.0,,0.0,,0.0,16.5
2007-04-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1025251.0,12392806.86,,16.95,0.0,,0.0,,0.0,16.39
2007-04-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1025251.0,12475980.06,,16.92,0.0,,0.0,,0.0,16.5
2007-04-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1704289.0,20751564.3,,28.26,0.0,,0.0,,0.0,16.51
2007-04-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1704289.0,20236231.69,,27.75,0.0,,0.0,,0.0,16.1
2007-04-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1704289.0,19482086.41,,27.2,0.0,,0.0,,0.0,15.5
2007-04-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1492989.0,17066671.62,,23.58,0.0,,0.0,,0.0,15.5
2007-04-24,630000.0,7062275.63,0.25,0.71,0.25,10.2,0.0,3531137.82,315000.0,315000.0,3531137.82,,,,,,315000.0,,,,,,,,,5.1,315000.0,,5.1,,,,21.11,21.11,1176835.0,13192274.83,,18.19,21.9,,1.0,100.0,0.4223,15.2
2007-04-25,630000.0,6829963.93,0.25,0.68,0.25,9.87,0.0,3414981.97,315000.0,315000.0,3414981.97,,,,,,,,,,,,,,,,,,4.78,,,,23.82,23.82,1007435.0,10921817.01,,14.97,24.19,,1.0,100.0,0.4764,14.7
2007-04-26,730000.0,8344783.71,0.29,0.72,0.29,11.07,0.0,3600831.33,415000.0,315000.0,4743952.38,,,,,,,,,,,,,,,,100000.0,,6.29,,,,34.54,34.54,786375.0,8989218.2,,12.08,34.26,13.32,0.7691,86.68,0.6076,15.5
2007-04-27,730000.0,8409388.48,0.29,0.68,0.29,11.23,0.0,3628708.73,415000.0,315000.0,4780679.75,,,,,,,,,,,,,,,,,,6.46,,,,38.45,38.45,664409.0,7653799.17,,10.18,38.81,13.76,0.7627,86.24,0.6763,15.62
2007-04-30,730000.0,8511679.38,0.29,0.66,0.29,11.4,0.0,3672847.95,415000.0,315000.0,4838831.43,,,,,,,,,,,,,,,,,,6.53,,,,38.54,38.54,661929.0,7717982.77,,10.22,38.97,13.69,0.7636,86.31,0.6779,15.81
2007-05-01,730000.0,8511679.38,0.29,0.65,0.29,11.47,0.0,3672847.95,415000.0,315000.0,4838831.43,,,,,,,,,,,,,,,,,,6.58,,,,34.23,34.23,797329.0,9296724.39,,12.36,34.74,13.84,0.7616,86.16,0.6021,
2007-05-02,104500.0,1247738.76,0.16,0.09,0.04,1.66,0.0,53730.38,100000.0,4500.0,1194008.38,,,,,,4500.0,,4.99,,315000.0,,,,,0.07,,315000.0,1.58,4.89,,,12.35,12.35,709979.0,8477208.76,,11.49,12.12,4.3,0.9177,95.7,0.129,16.19
2007-05-03,204500.0,2413091.67,0.3,0.18,0.08,3.39,0.0,1233095.75,100000.0,104500.0,1179995.93,,,,,,100000.0,,,,,,,,,1.69,,,1.62,,,,12.9,12.9,674930.0,7964146.52,,10.78,13.1,47.93,0.4799,49.97,0.2639,16.0
2007-05-04,204500.0,2413091.67,0.3,0.17,0.08,3.36,0.0,1233095.75,100000.0,104500.0,1179995.93,,,,,,,,,,,,,,,,,,1.6,,,,14.0,14.0,614401.0,7249906.78,,9.84,13.96,47.49,0.4799,50.39,0.2863,16.0
2007-05-07,104500.0,1235407.8,0.16,0.09,0.04,1.75,0.0,1235407.8,0.0,104500.0,0.0,,,,,,,,1.6,,100000.0,,,,,,,,0.0,,,,0.0,0.0,714401.0,8445708.78,,11.45,0.0,4.06,0.922,95.94,0.1463,16.03
2007-05-08,134500.0,1587094.52,0.2,0.11,0.05,2.25,0.0,1587094.52,0.0,134500.0,0.0,,,,0.48,,,,,30000.0,,,,0.48,,,,,0.0,,,,0.0,0.0,655602.0,7736076.91,,10.49,0.0,24.57,0.6293,75.43,0.2052,16.0
2007-05-09,134500.0,1577175.18,0.2,0.11,0.05,2.23,0.0,1577175.18,100000.0,134500.0,1172620.95,,100000.0,,,1.59,,,,,,,100000.0,,,,,,1.59,,,,11.01,11.01,808341.0,9478775.94,,12.9,10.99,24.72,0.6279,75.28,0.1481,15.9
2007-05-10,134500.0,1576183.25,0.2,0.11,0.05,2.23,0.0,1576183.25,100000.0,134500.0,1171883.46,,,,,,,,,,,,,,,,,,1.59,,,,11.01,11.01,808341.0,9472814.45,,12.88,10.97,24.74,0.6277,75.26,0.1481,15.89
2007-05-11,384500.0,4437835.62,0.57,0.31,0.15,6.08,0.0,398193.31,350000.0,34500.0,4039642.31,,,,,,,,,,,,,,,,250000.0,100000.0,5.53,1.68,,,29.28,29.28,845525.0,9758910.19,,13.34,29.28,25.75,0.4993,65.17,0.3216,15.65
2007-05-14,284500.0,3334008.43,0.42,0.23,0.11,4.46,0.0,404299.79,250000.0,34500.0,2929708.64,,,,,,,,1.56,,100000.0,,,,,,,,3.91,,,,23.59,23.59,809808.0,9490005.98,,12.88,23.28,12.38,0.7831,87.62,0.2684,15.89
2007-05-15,284500.0,3409542.92,0.42,0.22,0.11,4.51,0.0,413459.51,250000.0,34500.0,2996083.41,,,,,,,,,,,,,,,,,,3.96,,,,23.59,23.59,809808.0,9705009.26,,13.13,23.16,12.24,0.7852,87.76,0.2684,16.25
2007-05-16,284500.0,3399052.02,0.42,0.22,0.11,4.64,0.0,412187.33,250000.0,34500.0,2986864.69,,,,,,,,,,,,,,,,,,4.09,,,,23.59,23.59,809600.0,9672662.62,,13.11,23.76,11.9,0.7903,88.1,0.2685,16.2
2007-05-17,284500.0,3420033.82,0.42,0.21,0.11,4.61,0.0,414731.69,250000.0,34500.0,3005302.13,,,,,,,,,,,,,,,,,,4.06,,,,23.59,23.59,809600.0,9732370.42,,13.2,23.51,11.98,0.7892,88.02,0.2685,16.3
2007-05-18,284500.0,3461997.43,0.42,0.21,0.11,4.62,0.0,419820.43,250000.0,34500.0,3042177.0,,,,,,,,,,,,,,,,,,4.07,,,,23.59,23.59,809600.0,9851786.01,,13.33,23.4,11.94,0.7897,88.06,0.2685,16.5
2007-05-21,34500.0,417784.93,0.05,0.03,0.01,0.55,0.0,417784.93,0.0,34500.0,0.0,,,,,,,,4.07,,250000.0,,,,,,,,0.0,,,,0.0,0.0,1066371.0,12913441.66,,17.57,0.0,,1.0,100.0,0.0324,16.42
2007-05-22,34500.0,414731.69,0.05,0.02,0.01,0.55,0.0,414731.69,0.0,34500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1286951.0,15470706.33,,21.07,0.0,,1.0,100.0,0.0268,16.3
2007-05-23,34500.0,412187.33,0.05,0.03,0.01,0.55,0.0,412187.33,0.0,34500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1286951.0,15375794.02,,20.96,0.0,,1.0,100.0,0.0268,16.2
2007-05-24,50500.0,610050.52,0.08,0.05,0.02,0.81,0.0,610050.52,0.0,50500.0,0.0,,,,0.26,,,,,16000.0,,,,0.26,,,,,0.0,,,,0.0,0.0,1286951.0,15546636.17,,21.08,0.0,,1.0,100.0,0.0392,16.38
2007-05-25,50500.0,618244.12,0.08,0.05,0.02,0.81,0.0,618244.12,0.0,50500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1357893.0,16623947.69,,22.42,0.0,,1.0,100.0,0.0372,16.6
2007-05-28,66500.0,814123.44,0.1,0.07,0.03,1.08,0.0,814123.44,0.0,66500.0,0.0,,,,,,16000.0,,,,,,,,,0.27,,,0.0,,,,0.0,0.0,1363765.0,16695835.4,,22.54,0.0,24.66,0.6284,75.34,0.0488,16.6
2007-05-29,66500.0,847963.51,0.1,0.07,0.03,1.08,0.0,847963.51,0.0,66500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1361715.0,17363678.69,,23.15,0.0,24.66,0.6284,75.34,0.0488,17.29
