,CD9 FP Equity_DX_DSS,CD9 FP Equity_PX_LAST
2009-10-02,,58.43
2009-10-05,,58.81
2009-10-06,,60.08
2009-10-07,,59.8
2009-10-08,,60.28
2009-10-09,,59.97
2009-10-12,,60.53
2009-10-13,,59.99
2009-10-14,,61.28
2009-10-15,,61.53
2009-10-16,,61.26
2009-10-19,,62.1
2009-10-20,,61.67
2009-10-21,,62.37
2009-10-22,,61.84
2009-10-23,,61.29
2009-10-26,,60.8
2009-10-27,,61.45
2009-10-28,,60.37
2009-10-29,,61.16
2009-10-30,,59.64
2009-11-02,,59.91
2009-11-03,,59.42
2009-11-04,,60.19
2009-11-05,,60.67
2009-11-06,,60.65
2009-11-09,,61.76
2009-11-10,,62.07
2009-11-11,,62.17
2009-11-12,,62.35
2009-11-13,,62.81
2009-11-16,,63.64
2009-11-17,,63.52
2009-11-18,,63.32
2009-11-19,,62.36
2009-11-20,,61.73
2009-11-23,,62.93
2009-11-24,,62.56
2009-11-25,,62.91
2009-11-26,,60.91
2009-11-27,,61.49
2009-11-30,,60.74
2009-12-01,,62.17
2009-12-02,,62.36
2009-12-03,,62.1
2009-12-04,,63.04
2009-12-07,,62.85
2009-12-08,,61.94
2009-12-09,,61.35
2009-12-10,,61.85
2009-12-11,,62.35
2009-12-14,,62.87
2009-12-15,,62.73
2009-12-16,,63.2
2009-12-17,,62.57
2009-12-18,,62.31
2009-12-21,,63.4
2009-12-22,,64.01
2009-12-23,,64.07
2009-12-28,,64.57
2009-12-29,,64.4
2009-12-30,,64.4
2010-01-04,,65.24
2010-01-05,,65.4
2010-01-06,,65.27
2010-01-07,,64.95
2010-01-08,,64.89
2010-01-11,,64.97
2010-01-12,,64.43
2010-01-13,,64.55
2010-01-14,,64.79
2010-01-15,,64.0
2010-01-18,,64.44
2010-01-19,,65.26
2010-01-20,,64.49
2010-01-21,,63.57
2010-01-22,,63.03
2010-01-25,,62.47
2010-01-26,,63.06
2010-01-27,,62.46
2010-01-28,,61.73
2010-01-29,,62.26
2010-02-01,,62.34
2010-02-02,,62.57
2010-02-03,,62.07
2010-02-04,,60.74
2010-02-05,,59.92
2010-02-08,,60.32
2010-02-09,,60.59
2010-02-10,,60.72
2010-02-11,,61.13
2010-02-12,,61.01
2010-02-15,,61.28
2010-02-16,,61.81
2010-02-17,,62.43
2010-02-18,,62.81
2010-02-19,,63.0
2010-02-22,,62.62
2010-02-23,,62.08
2010-02-24,,62.23
2010-02-25,,61.22
2010-02-26,,61.82
2010-03-01,,62.2
2010-03-02,,62.66
2010-03-03,,62.95
2010-03-04,,63.03
2010-03-05,,63.95
2010-03-08,,64.0
2010-03-09,,63.99
2010-03-10,,64.27
2010-03-11,,64.1
2010-03-12,,64.14
2010-03-15,,63.77
2010-03-16,,64.13
2010-03-17,,64.78
2010-03-18,,64.73
2010-03-19,,64.28
2010-03-22,,64.23
2010-03-23,,64.59
2010-03-24,,64.45
2010-03-25,,65.18
2010-03-26,,64.73
2010-03-29,,64.92
2010-03-30,,65.06
2010-03-31,,64.82
2010-04-01,,65.68
2010-04-06,,66.18
2010-04-07,,66.07
2010-04-08,,65.75
2010-04-09,,66.59
2010-04-12,,66.51
2010-04-13,,66.26
2010-04-14,,66.58
2010-04-15,,67.27
2010-04-16,,66.33
2010-04-19,,65.91
2010-04-20,,66.71
2010-04-21,,66.32
2010-04-22,,65.44
2010-04-23,,65.83
2010-04-26,,66.18
2010-04-27,,63.83
2010-04-28,,63.45
2010-04-29,,64.14
2010-04-30,,63.81
2010-05-03,,64.08
2010-05-04,,62.61
2010-05-05,,62.31
2010-05-06,,61.39
2010-05-07,,59.27
2010-05-10,,63.03
2010-05-11,,62.61
2010-05-12,,63.09
2010-05-13,,62.95
2010-05-14,,61.03
2010-05-17,,61.08
2010-05-18,,61.78
2010-05-19,,60.33
2010-05-20,,59.62
2010-05-21,,59.23
2010-05-24,,59.19
2010-05-25,,57.92
2010-05-26,,58.99
2010-05-27,,60.65
2010-05-28,,60.65
2010-05-31,,60.71
2010-06-01,,60.54
2010-06-02,,60.68
2010-06-03,,61.53
2010-06-04,,60.69
2010-06-07,,60.21
2010-06-08,,59.24
2010-06-09,,59.72
2010-06-10,,60.28
2010-06-11,,61.05
2010-06-14,,61.31
2010-06-15,,61.72
2010-06-16,,61.82
2010-06-17,,62.02
2010-06-18,,62.05
2010-06-21,,62.31
2010-06-22,,62.01
2010-06-23,,61.44
2010-06-24,,60.45
2010-06-25,,59.95
2010-06-28,,60.66
2010-06-29,,59.19
2010-06-30,,59.16
2010-07-01,,58.12
2010-07-02,,58.42
2010-07-05,,58.07
2010-07-06,,59.33
2010-07-07,,60.3
2010-07-08,,60.88
2010-07-09,,61.1
2010-07-12,,61.54
2010-07-13,,62.66
2010-07-14,,62.67
2010-07-15,,62.17
2010-07-16,,61.12
2010-07-19,,60.63
2010-07-20,,60.66
2010-07-21,,61.07
2010-07-22,,62.27
2010-07-23,,62.61
2010-07-26,,62.93
2010-07-27,,63.04
2010-07-28,,62.77
2010-07-29,,62.8
2010-07-30,,62.54
2010-08-02,,64.17
2010-08-03,,64.21
2010-08-04,,64.61
2010-08-05,,64.4
2010-08-06,,63.8
2010-08-09,,64.84
2010-08-10,,64.37
2010-08-11,,63.25
2010-08-12,,63.52
2010-08-13,,63.68
2010-08-16,,63.35
2010-08-17,,63.78
2010-08-18,,63.53
2010-08-19,,62.55
2010-08-20,,62.29
2010-08-23,,62.84
2010-08-24,,61.79
2010-08-25,,61.42
2010-08-26,4.0,61.77
2010-08-27,4.0,62.32
2010-08-30,4.0,62.28
2010-08-31,4.0,62.05
2010-09-01,1.0,63.7
2010-09-02,1.0,63.64
2010-09-03,1.0,64.24
2010-09-06,1.0,64.38
2010-09-07,1.0,64.28
2010-09-08,1.0,65.08
2010-09-09,1.0,65.45
2010-09-10,2.0,65.4
2010-09-13,2.0,65.62
2010-09-14,2.0,65.52
2010-09-15,2.0,65.31
2010-09-16,2.0,65.08
2010-09-17,2.0,64.69
2010-09-20,2.0,65.45
2010-09-21,2.0,65.2
2010-09-22,2.0,64.03
2010-09-23,2.0,64.06
2010-09-24,2.0,64.57
2010-09-27,2.0,64.28
2010-09-28,1.0,64.05
2010-09-29,1.0,63.76
2010-09-30,1.0,63.7
2010-10-01,1.0,63.68
2010-10-04,1.0,63.34
2010-10-05,1.0,64.15
2010-10-06,1.0,64.41
2010-10-07,1.0,64.62
2010-10-08,1.0,64.65
2010-10-11,1.0,64.88
2010-10-12,1.0,64.48
2010-10-13,1.0,65.46
2010-10-14,1.0,65.41
2010-10-15,1.0,65.54
2010-10-18,1.0,65.93
2010-10-19,1.0,65.65
2010-10-20,1.0,65.7
2010-10-21,1.0,65.82
2010-10-22,1.0,65.63
2010-10-25,1.0,65.62
2010-10-26,2.0,65.83
2010-10-27,2.0,65.36
2010-10-28,2.0,65.83
2010-10-29,2.0,66.23
2010-11-01,2.0,66.17
2010-11-02,2.0,66.65
2010-11-03,2.0,66.24
2010-11-04,2.0,66.82
2010-11-05,2.0,67.11
2010-11-08,2.0,67.02
2010-11-09,2.0,67.3
2010-11-10,2.0,67.04
2010-11-11,2.0,66.91
2010-11-12,2.0,66.83
2010-11-15,1.0,67.18
2010-11-16,1.0,65.75
2010-11-17,1.0,66.23
2010-11-18,1.0,67.0
2010-11-19,1.0,66.72
2010-11-22,1.0,66.08
2010-11-23,1.0,65.03
2010-11-24,1.0,65.48
2010-11-25,2.0,65.59
2010-11-26,2.0,65.29
2010-11-29,2.0,64.04
2010-11-30,2.0,64.07
2010-12-01,2.0,65.21
2010-12-02,2.0,65.91
2010-12-03,2.0,65.72
2010-12-06,2.0,65.76
2010-12-07,2.0,66.31
2010-12-08,2.0,66.79
2010-12-09,2.0,67.18
2010-12-10,2.0,67.22
2010-12-13,2.0,67.43
2010-12-14,2.0,67.67
2010-12-15,2.0,67.34
2010-12-16,2.0,67.55
2010-12-17,2.0,67.09
2010-12-20,2.0,67.56
2010-12-21,2.0,68.22
2010-12-22,2.0,68.29
2010-12-23,2.0,68.32
2010-12-27,,67.5
2010-12-28,,67.82
2010-12-29,2.0,68.12
2010-12-30,2.0,67.29
2010-12-31,2.0,
2011-01-03,,67.79
2011-01-04,,68.24
2011-01-05,,68.38
2011-01-06,,68.73
2011-01-07,,68.45
2011-01-10,,68.02
2011-01-11,,68.23
2011-01-12,,69.25
2011-01-13,,69.21
2011-01-14,,69.37
2011-01-17,,69.4
2011-01-18,,70.19
2011-01-19,,69.6
2011-01-20,,69.22
2011-01-21,,69.96
2011-01-24,,70.33
2011-01-25,,69.56
2011-01-26,,69.89
2011-01-27,,70.2
2011-01-28,,69.56
2011-01-31,,69.77
2011-02-01,,70.91
2011-02-02,,71.02
2011-02-03,,70.89
2011-02-04,,70.93
2011-02-07,,71.56
2011-02-08,,71.41
2011-02-09,,71.28
2011-02-10,,71.27
2011-02-11,,71.14
2011-02-14,,71.02
2011-02-15,,71.17
2011-02-16,,71.76
2011-02-17,,71.93
2011-02-18,,72.16
2011-02-21,,71.24
2011-02-22,,70.65
2011-02-23,,70.04
2011-02-24,,69.75
2011-02-25,,70.33
2011-02-28,,70.91
2011-03-01,,70.46
2011-03-02,,69.89
2011-03-03,,70.08
2011-03-04,,69.79
2011-03-07,,69.61
2011-03-08,,69.88
2011-03-09,,69.72
2011-03-10,,69.1
2011-03-11,,68.45
2011-03-14,,67.38
2011-03-15,,66.08
2011-03-16,,65.02
2011-03-17,,66.46
2011-03-18,,66.35
2011-03-21,,67.65
2011-03-22,,67.73
2011-03-23,,67.9
2011-03-24,,68.19
2011-03-25,,68.42
2011-03-28,,68.47
2011-03-29,,68.57
2011-03-30,,69.06
2011-03-31,,68.5
2011-04-01,,69.39
2011-04-04,,69.5
2011-04-05,,69.51
2011-04-06,,69.61
2011-04-07,,69.46
2011-04-08,,69.74
2011-04-11,,69.78
2011-04-12,,68.73
2011-04-13,,69.17
2011-04-14,,68.73
2011-04-15,,68.96
2011-04-18,,67.73
2011-04-19,,67.85
2011-04-20,,69.02
2011-04-21,,68.95
2011-04-26,,69.3
2011-04-27,,69.87
2011-04-28,,70.2
2011-04-29,,70.37
2011-05-02,,70.46
2011-05-03,,70.08
2011-05-04,,69.29
2011-05-05,,69.2
2011-05-06,,69.64
2011-05-09,,69.34
2011-05-10,,69.9
2011-05-11,,70.4
2011-05-12,,69.8
2011-05-13,,69.43
2011-05-16,,69.25
2011-05-17,,68.81
2011-05-18,,68.95
2011-05-19,,69.42
2011-05-20,,69.33
2011-05-23,,68.4
2011-05-24,,68.42
2011-05-25,,68.72
2011-05-26,,68.81
2011-05-27,,69.02
2011-05-30,,68.82
2011-05-31,,69.19
2011-06-01,,68.38
2011-06-02,,67.51
2011-06-03,,67.27
2011-06-06,,66.88
2011-06-07,,67.01
2011-06-08,,66.62
2011-06-09,,67.2
2011-06-10,,66.34
2011-06-13,,66.47
2011-06-14,,66.99
2011-06-15,,66.32
2011-06-16,,66.04
2011-06-17,,66.35
2011-06-20,,66.03
2011-06-21,,66.77
2011-06-22,,66.57
2011-06-23,,65.7
2011-06-24,,65.56
2011-06-27,,65.54
2011-06-28,,65.66
2011-06-29,,66.74
2011-06-30,,67.49
2011-07-01,,67.83
2011-07-04,,67.98
2011-07-05,,67.93
2011-07-06,,67.75
2011-07-07,,68.03
2011-07-08,,67.62
2011-07-11,,66.73
2011-07-12,,66.32
2011-07-13,,66.63
2011-07-14,,66.06
2011-07-15,,66.07
2011-07-18,,65.27
2011-07-19,,65.63
2011-07-20,,66.5
2011-07-21,,67.42
2011-07-22,,67.98
2011-07-25,,67.65
2011-07-26,,67.66
2011-07-27,,66.98
2011-07-28,,67.16
2011-07-29,,66.84
2011-08-01,,65.71
2011-08-02,,65.18
2011-08-03,,64.37
2011-08-04,,62.71
2011-08-05,,61.4
2011-08-08,,59.62
2011-08-09,,59.53
2011-08-10,,57.28
2011-08-11,,58.74
2011-08-12,,61.01
2011-08-15,,61.24
2011-08-16,,61.27
2011-08-17,,61.65
2011-08-18,,59.47
2011-08-19,,58.58
2011-08-22,,59.68
2011-08-23,,60.22
2011-08-24,,60.85
2011-08-25,,59.76
2011-08-26,,59.33
2011-08-29,,60.5
2011-08-30,,60.44
2011-08-31,,61.91
2011-09-01,,62.51
2011-09-02,,61.22
2011-09-05,,59.05
2011-09-06,,58.93
2011-09-07,,60.37
2011-09-08,,61.02
2011-09-09,,59.84
2011-09-12,,58.19
2011-09-13,,58.83
2011-09-14,,59.55
2011-09-15,,60.76
2011-09-16,,61.09
2011-09-19,,60.06
2011-09-20,,61.39
2011-09-21,,60.39
2011-09-22,,58.21
2011-09-23,,58.72
2011-09-26,,59.76
2011-09-27,,62.06
2011-09-28,,61.59
2011-09-29,,62.05
2011-09-30,,61.99
2011-10-03,,61.69
2011-10-04,,60.41
2011-10-05,,62.02
2011-10-06,,63.13
2011-10-07,,63.89
2011-10-10,,64.56
2011-10-11,,64.19
2011-10-12,,64.68
2011-10-13,,64.34
2011-10-14,,64.75
2011-10-17,,64.43
2011-10-18,,64.08
2011-10-19,,64.66
2011-10-20,,64.12
2011-10-21,,65.36
2011-10-24,,65.66
2011-10-25,,65.07
2011-10-26,,65.31
2011-10-27,,66.64
2011-10-28,,66.14
2011-10-31,,65.42
2011-11-01,,63.69
2011-11-02,,63.99
2011-11-03,,65.1
2011-11-04,,64.42
2011-11-07,,64.33
2011-11-08,,64.85
2011-11-09,,63.91
2011-11-10,,64.06
2011-11-11,,65.3
2011-11-14,,64.87
2011-11-15,,64.55
2011-11-16,,64.81
2011-11-17,,64.36
2011-11-18,,64.07
2011-11-21,,62.12
2011-11-22,,61.67
2011-11-23,,61.0
2011-11-24,,60.4
2011-11-25,,61.23
2011-11-28,,63.1
2011-11-29,,63.67
2011-11-30,,65.56
2011-12-01,,65.42
2011-12-02,,65.7
2011-12-05,,66.17
2011-12-06,,66.01
2011-12-07,,65.99
2011-12-08,,65.41
2011-12-09,,66.4
2011-12-12,,65.41
2011-12-13,,66.14
2011-12-14,,65.05
2011-12-15,,65.72
2011-12-16,,65.38
2011-12-19,,65.34
2011-12-20,,66.25
2011-12-21,,66.01
2011-12-22,,66.68
2011-12-23,,67.23
2011-12-27,,67.26
2011-12-28,,66.9
2011-12-29,,67.61
2011-12-30,,67.94
2012-01-02,,69.44
2012-01-03,,69.41
2012-01-04,,69.06
2012-01-05,,68.23
2012-01-06,,68.48
2012-01-09,,68.01
2012-01-10,,68.93
2012-01-11,,68.35
2012-01-12,,67.86
2012-01-13,,67.58
2012-01-16,,68.12
2012-01-17,,68.56
2012-01-18,,68.32
2012-01-19,,68.54
2012-01-20,,68.32
2012-01-23,,68.6
2012-01-24,,68.44
2012-01-25,,68.07
2012-01-26,,68.62
2012-01-27,,67.91
2012-01-30,,67.5
2012-01-31,,67.95
2012-02-01,,68.56
2012-02-02,,68.4
2012-02-03,,69.28
2012-02-06,,69.33
2012-02-07,,69.45
2012-02-08,,69.21
2012-02-09,,69.23
2012-02-10,,68.7
2012-02-13,,69.25
2012-02-14,,69.33
2012-02-15,,69.53
2012-02-16,,69.51
2012-02-17,,69.87
2012-02-20,,69.97
2012-02-21,,69.83
2012-02-22,,69.24
2012-02-23,,69.12
2012-02-24,,69.17
2012-02-27,,69.18
2012-02-28,,69.13
2012-02-29,,69.0
2012-03-01,,69.59
2012-03-02,,69.59
2012-03-05,,69.35
2012-03-06,,68.0
2012-03-07,,68.32
2012-03-08,,68.94
2012-03-09,,69.14
2012-03-12,,68.87
2012-03-13,,69.89
2012-03-14,,70.13
2012-03-15,,70.11
2012-03-16,,70.24
2012-03-19,,70.41
2012-03-20,,70.14
2012-03-21,,70.09
2012-03-22,,69.48
2012-03-23,,69.18
2012-03-26,,69.6
2012-03-27,,69.07
2012-03-28,,68.54
2012-03-29,,67.87
2012-03-30,,68.24
2012-04-02,,69.26
2012-04-03,,68.47
2012-04-04,,67.41
2012-04-05,,67.39
2012-04-10,,66.16
2012-04-11,,66.5
2012-04-12,,66.48
2012-04-13,,65.7
2012-04-16,,66.15
2012-04-17,,67.28
2012-04-18,,66.79
2012-04-19,,66.34
2012-04-20,,67.01
2012-04-23,,65.85
2012-04-24,,66.56
2012-04-25,,66.84
2012-04-26,,66.86
2012-04-27,,67.31
2012-04-30,,66.9
2012-05-02,,66.79
2012-05-03,,66.96
2012-05-04,,66.3
2012-05-07,,66.86
2012-05-08,,66.05
2012-05-09,,65.84
2012-05-10,,66.27
2012-05-11,,66.46
2012-05-14,,65.41
2012-05-15,,64.96
2012-05-16,,64.66
2012-05-17,,64.01
2012-05-18,,63.77
2012-05-21,,63.86
2012-05-22,,64.97
2012-05-23,,63.76
2012-05-24,,64.52
2012-05-25,,64.83
2012-05-28,,64.56
2012-05-29,,64.49
2012-05-30,,63.73
2012-05-31,,63.71
2012-06-01,,62.87
2012-06-04,,62.82
2012-06-05,,63.02
2012-06-06,,64.13
2012-06-07,,64.42
2012-06-08,,64.71
2012-06-11,,64.78
2012-06-12,,65.35
2012-06-13,,65.29
2012-06-14,,65.37
2012-06-15,,65.81
2012-06-18,,65.72
2012-06-19,,66.86
2012-06-20,,67.11
2012-06-21,,66.97
2012-06-22,,66.74
2012-06-25,,65.94
2012-06-26,,66.06
2012-06-27,,66.84
2012-06-28,,66.85
2012-06-29,,68.13
2012-07-02,,68.98
2012-07-03,,69.49
2012-07-04,,69.53
2012-07-05,,69.41
2012-07-06,,68.83
2012-07-09,,68.81
2012-07-10,,69.08
2012-07-11,,69.52
2012-07-12,,68.79
2012-07-13,,69.55
2012-07-16,,69.75
2012-07-17,,69.56
2012-07-18,,70.45
2012-07-19,,70.78
2012-07-20,,69.72
2012-07-23,,68.52
2012-07-24,,67.69
2012-07-25,,67.72
2012-07-26,,68.81
2012-07-27,,69.88
2012-07-30,,70.92
2012-07-31,,70.78
2012-08-01,,71.17
2012-08-02,,70.44
2012-08-03,,71.92
2012-08-06,,72.22
2012-08-07,,73.15
2012-08-08,,73.42
2012-08-09,,73.47
2012-08-10,,73.39
2012-08-13,,73.22
2012-08-14,,73.67
2012-08-15,,73.71
2012-08-16,,73.95
2012-08-17,,74.21
2012-08-20,,74.05
2012-08-21,,73.92
2012-08-22,,73.01
2012-08-23,,72.48
2012-08-24,,72.9
2012-08-27,,73.35
2012-08-28,,72.71
2012-08-29,,72.5
2012-08-30,,72.0
2012-08-31,,72.3
2012-09-03,,72.71
2012-09-04,,72.02
2012-09-05,,71.97
2012-09-06,,73.49
2012-09-07,,73.32
2012-09-10,,73.09
2012-09-11,,73.5
2012-09-12,,73.63
2012-09-13,,73.77
2012-09-14,,74.04
2012-09-17,,73.79
2012-09-18,,73.67
2012-09-19,,73.78
2012-09-20,,73.48
2012-09-21,,74.07
2012-09-24,,74.0
2012-09-25,,74.26
2012-09-26,,72.89
2012-09-27,,73.04
2012-09-28,,71.96
2012-10-01,,72.72
2012-10-02,,72.58
2012-10-03,,72.54
2012-10-04,,72.32
2012-10-05,,73.02
2012-10-08,,72.43
2012-10-09,,72.03
2012-10-10,,71.6
2012-10-11,,71.95
2012-10-12,,71.58
2012-10-15,,71.87
2012-10-16,,72.73
2012-10-17,,73.07
2012-10-18,,73.18
2012-10-19,,72.68
2012-10-22,,72.24
2012-10-23,,71.15
2012-10-24,,71.29
2012-10-25,,71.2
2012-10-26,,71.42
2012-10-29,,70.95
2012-10-30,,71.6
2012-10-31,,71.32
2012-11-01,,72.05
2012-11-02,,72.09
2012-11-05,,71.75
2012-11-06,,72.25
2012-11-07,,71.15
2012-11-08,,70.95
2012-11-09,,70.9
2012-11-12,,70.52
2012-11-13,,70.76
2012-11-14,,70.21
2012-11-15,,69.56
2012-11-16,,68.78
2012-11-19,,70.11
2012-11-20,,70.16
2012-11-21,,70.48
2012-11-22,,70.61
2012-11-23,,71.0
2012-11-26,,70.74
2012-11-27,,70.63
2012-11-28,,70.85
2012-11-29,,71.66
2012-11-30,,71.47
2012-12-03,,71.51
2012-12-04,,71.48
2012-12-05,,71.68
2012-12-06,,72.02
2012-12-07,,71.97
2012-12-10,,72.15
2012-12-11,,72.58
2012-12-12,,72.95
2012-12-13,,72.71
2012-12-14,,72.47
2012-12-17,,72.38
2012-12-18,,72.75
2012-12-19,,72.8
2012-12-20,,72.83
2012-12-21,,72.83
2012-12-27,,72.77
2012-12-28,,72.21
2013-01-02,,73.91
2013-01-03,,74.09
2013-01-04,,74.4
2013-01-07,,74.0
2013-01-08,,73.93
2013-01-09,,74.54
2013-01-10,,74.23
2013-01-11,,74.14
2013-01-14,,73.95
2013-01-15,,73.89
2013-01-16,,73.63
2013-01-17,,73.79
2013-01-18,,73.79
2013-01-21,,74.01
2013-01-22,,73.97
2013-01-23,,73.95
2013-01-24,,74.26
2013-01-25,,74.45
2013-01-28,,74.38
2013-01-29,,75.01
2013-01-30,,74.7
2013-01-31,,73.9
2013-02-01,,73.41
2013-02-04,,72.18
2013-02-05,,72.32
2013-02-06,,72.17
2013-02-07,,72.14
2013-02-08,,72.84
2013-02-11,,72.43
2013-02-12,,72.57
2013-02-13,,72.7
2013-02-14,,72.31
2013-02-15,,71.87
2013-02-18,,71.77
2013-02-19,,72.38
2013-02-20,,71.94
2013-02-21,,71.2
2013-02-22,,72.33
2013-02-25,,72.31
2013-02-26,,71.35
2013-02-27,,72.23
2013-02-28,,72.85
2013-03-01,,72.87
2013-03-04,,73.11
2013-03-05,,74.22
2013-03-06,,74.42
2013-03-07,,74.35
2013-03-08,,75.09
2013-03-11,,74.99
2013-03-12,,74.92
2013-03-13,,74.97
2013-03-14,,75.96
2013-03-15,,75.56
2013-03-18,,75.52
2013-03-19,,75.57
2013-03-20,,75.75
2013-03-21,,75.54
2013-03-22,,75.74
2013-03-25,,75.55
2013-03-26,,75.36
2013-03-27,,74.96
2013-03-28,,75.0
2013-04-02,,76.14
2013-04-03,,75.15
2013-04-04,,74.71
2013-04-05,,73.85
2013-04-08,,73.81
2013-04-09,,74.09
2013-04-10,,75.46
2013-04-11,,75.96
2013-04-12,,75.56
2013-04-15,,75.39
2013-04-16,,74.71
2013-04-17,,73.97
2013-04-18,,74.29
2013-04-19,,74.54
2013-04-22,,75.14
2013-04-23,,76.84
2013-04-24,,77.56
2013-04-25,,78.25
2013-04-26,,77.92
2013-04-29,,78.55
2013-04-30,,78.23
2013-05-02,,78.4
2013-05-03,,79.26
2013-05-06,,79.13
2013-05-07,,79.0
2013-05-08,,79.53
2013-05-09,,79.55
2013-05-10,,79.81
2013-05-13,,79.68
2013-05-14,,79.99
2013-05-15,,80.57
2013-05-16,,80.56
2013-05-17,,80.93
2013-05-20,,81.16
2013-05-21,,81.25
2013-05-22,,81.17
2013-05-23,,79.92
2013-05-24,,79.73
2013-05-27,,80.3
2013-05-28,,81.38
2013-05-29,,79.89
2013-05-30,,79.97
2013-05-31,,79.43
2013-06-03,,78.83
2013-06-04,,78.98
2013-06-05,,77.85
2013-06-06,,77.03
2013-06-07,,78.1
2013-06-10,,78.04
2013-06-11,,77.38
2013-06-12,,77.06
2013-06-13,,76.95
2013-06-14,,77.16
2013-06-17,,77.83
2013-06-18,,77.72
2013-06-19,,77.51
2013-06-20,,75.23
2013-06-21,,74.34
2013-06-24,,73.65
2013-06-25,,74.66
2013-06-26,,75.88
2013-06-27,,76.48
2013-06-28,,76.39
2013-07-01,,76.91
2013-07-02,,76.82
2013-07-03,,76.49
2013-07-04,,78.03
2013-07-05,,77.08
2013-07-08,,78.17
2013-07-09,,78.67
2013-07-10,,78.85
2013-07-11,,79.1
2013-07-12,,79.13
2013-07-15,,79.35
2013-07-16,,78.95
2013-07-17,,79.42
2013-07-18,,80.16
2013-07-19,,80.33
2013-07-22,,80.39
2013-07-23,,80.1
2013-07-24,,80.55
2013-07-25,,80.26
2013-07-26,,79.83
2013-07-29,,79.99
2013-07-30,,80.12
2013-07-31,,80.29
2013-08-01,,80.77
2013-08-02,,81.04
2013-08-05,,81.18
2013-08-06,,80.6
2013-08-07,,80.58
2013-08-08,,80.71
2013-08-09,,80.94
2013-08-12,,80.77
2013-08-13,,81.23
2013-08-14,,81.42
2013-08-15,,80.66
2013-08-16,,80.64
