,MLFXO FP Equity_PX_LAST
2008-12-30,5.85
2009-01-02,6.01
2009-01-05,6.03
2009-01-07,6.61
2009-01-08,7.18
2009-01-09,7.14
2009-01-12,7.2
2009-01-16,7.01
2009-01-19,7.15
2009-01-20,6.7
2009-01-21,6.03
2009-01-22,5.72
2009-01-23,5.72
2009-01-26,6.15
2009-01-27,6.13
2009-01-29,5.99
2009-02-03,5.65
2009-02-04,5.99
2009-02-05,5.75
2009-02-09,5.7
2009-02-10,5.52
2009-02-11,5.5
2009-02-12,5.5
2009-02-13,5.82
2009-02-20,4.82
2009-02-23,4.34
2009-02-25,4.21
2009-02-26,4.2
2009-02-27,4.62
2009-03-02,5.04
2009-03-03,5.45
2009-03-04,5.44
2009-03-09,4.07
2009-03-10,4.47
2009-03-11,4.46
2009-03-12,4.17
2009-03-13,4.22
2009-03-16,4.5
2009-03-19,4.55
2009-03-20,4.89
2009-03-23,5.01
2009-03-24,5.48
2009-03-26,5.95
2009-03-27,6.2
2009-03-30,6.2
2009-03-31,5.66
2009-04-01,5.31
2009-04-02,5.61
2009-04-03,5.87
2009-04-06,6.01
2009-04-07,5.88
2009-04-08,6.19
2009-04-09,6.21
2009-04-14,6.81
2009-04-15,6.98
2009-04-16,7.01
2009-04-17,6.99
2009-04-21,6.01
2009-04-22,6.61
2009-04-23,6.31
2009-04-24,6.1
2009-04-28,6.69
2009-04-29,6.6
2009-04-30,6.7
2009-05-04,7.37
2009-05-05,8.08
2009-05-06,8.6
2009-05-07,9.0
2009-05-08,9.0
2009-05-11,8.96
2009-05-12,8.9
2009-05-13,8.75
2009-05-14,8.75
2009-05-15,9.0
2009-05-18,8.7
2009-05-19,8.7
2009-05-20,8.75
2009-05-22,7.3
2009-05-25,7.98
2009-05-26,8.75
2009-06-02,8.95
2009-06-03,9.5
2009-06-08,9.57
2009-06-09,9.0
2009-06-10,8.6
2009-06-11,9.4
2009-06-12,9.4
2009-06-15,8.9
2009-06-16,8.9
2009-06-17,8.6
2009-06-18,8.6
2009-06-19,8.0
2009-06-22,8.02
2009-06-25,8.8
2009-06-26,8.5
2009-06-29,8.51
2009-06-30,9.36
2009-07-03,9.39
2009-07-07,8.5
2009-07-09,8.89
2009-07-10,9.0
2009-07-13,8.5
2009-07-15,9.05
2009-07-16,9.38
2009-07-17,9.0
2009-07-20,9.0
2009-07-21,9.0
2009-07-22,9.29
2009-07-23,10.21
2009-07-24,10.0
2009-07-27,10.11
2009-07-28,10.0
2009-07-29,9.25
2009-07-30,9.5
2009-07-31,9.49
2009-08-03,9.48
2009-08-04,9.3
2009-08-05,9.3
2009-08-06,9.2
2009-08-07,8.8
2009-08-10,9.12
2009-08-11,9.49
2009-08-14,9.6
2009-08-17,9.45
2009-08-18,9.05
2009-08-19,9.05
2009-08-20,8.9
2009-08-24,9.48
2009-08-25,9.48
2009-08-26,9.59
2009-08-27,9.11
2009-08-28,9.05
2009-08-31,9.03
2009-09-01,9.0
2009-09-04,11.88
2009-09-07,11.93
2009-09-09,10.11
2009-09-10,9.6
2009-09-11,10.0
2009-09-14,9.65
2009-09-15,10.61
2009-09-16,10.0
2009-09-17,10.0
2009-09-18,10.2
2009-09-21,9.65
2009-09-23,10.55
2009-09-24,10.55
2009-09-25,10.55
2009-09-28,10.6
2009-09-29,10.2
2009-09-30,10.0
2009-10-01,10.1
2009-10-02,10.3
2009-10-05,10.0
2009-10-06,10.0
2009-10-07,10.0
2009-10-09,10.63
2009-10-12,11.65
2009-10-13,12.09
2009-10-14,13.0
2009-10-15,14.2
2009-10-16,13.5
2009-10-19,13.5
2009-10-20,13.5
2009-10-21,13.5
2009-10-22,13.47
2009-10-23,13.1
2009-10-26,12.0
2009-10-27,12.75
2009-10-28,12.74
2009-10-29,12.0
2009-10-30,12.95
2009-11-02,12.8
2009-11-03,12.25
2009-11-04,12.22
2009-11-05,12.24
2009-11-06,12.25
2009-11-09,12.24
2009-11-10,12.01
2009-11-11,11.12
2009-11-12,11.14
2009-11-13,11.12
2009-11-16,11.24
2009-11-17,12.25
2009-11-18,11.7
2009-11-19,11.71
2009-11-20,11.8
2009-11-23,12.49
2009-11-24,11.93
2009-11-26,12.04
2009-11-27,11.8
2009-11-30,11.88
2009-12-01,12.05
2009-12-02,12.8
2009-12-03,12.9
2009-12-04,13.1
2009-12-07,13.99
2009-12-08,13.13
2009-12-09,13.74
2009-12-10,13.75
2009-12-11,13.7
2009-12-14,13.7
2009-12-15,13.89
2009-12-16,13.75
2009-12-17,13.8
2009-12-18,13.79
2009-12-21,13.64
2009-12-22,13.15
2009-12-23,12.51
2009-12-24,12.57
2009-12-28,12.51
2009-12-29,12.61
2009-12-30,12.52
2009-12-31,13.76
2010-01-04,13.97
2010-01-05,12.76
2010-01-06,14.03
2010-01-08,15.8
2010-01-11,15.92
2010-01-12,14.5
2010-01-13,15.03
2010-01-14,15.4
2010-01-15,15.39
2010-01-18,15.5
2010-01-19,15.49
2010-01-20,15.6
2010-01-21,15.5
2010-01-22,15.4
2010-01-25,15.3
2010-01-26,15.0
2010-01-27,14.0
2010-01-28,14.99
2010-01-29,14.0
2010-02-01,14.0
2010-02-02,14.05
2010-02-03,14.75
2010-02-04,14.75
2010-02-05,14.74
2010-02-08,14.8
2010-02-09,14.8
2010-02-10,14.2
2010-02-12,14.5
2010-02-15,14.2
2010-02-16,14.05
2010-02-17,14.0
2010-02-18,14.2
2010-02-19,14.8
2010-02-22,15.0
2010-02-23,15.44
2010-02-24,16.07
2010-02-25,15.95
2010-02-26,16.0
2010-03-01,15.84
2010-03-02,15.97
2010-03-03,16.0
2010-03-04,15.0
2010-03-05,14.0
2010-03-08,15.4
2010-03-10,14.8
2010-03-16,14.8
2010-03-19,14.4
2010-03-22,14.1
2010-03-23,14.11
2010-03-24,14.6
2010-03-25,14.8
2010-03-26,14.8
2010-03-29,14.01
2010-03-30,14.04
2010-03-31,14.26
2010-04-01,14.3
2010-04-06,14.3
2010-04-07,14.5
2010-04-08,14.3
2010-04-09,13.65
2010-04-12,14.5
2010-04-13,14.8
2010-04-14,14.8
2010-04-15,14.6
2010-04-16,14.8
2010-04-19,14.8
2010-04-20,14.8
2010-04-21,14.7
2010-04-22,14.45
2010-04-23,14.8
2010-04-26,14.1
2010-04-27,13.5
2010-04-28,13.41
2010-04-29,13.8
2010-04-30,14.79
2010-05-04,13.29
2010-05-05,13.5
2010-05-06,13.5
2010-05-07,14.25
2010-05-10,14.68
2010-05-11,14.58
2010-05-12,14.51
2010-05-13,14.0
2010-05-14,13.6
2010-05-17,12.34
2010-05-18,12.52
2010-05-19,12.5
2010-05-20,13.0
2010-05-21,12.51
2010-05-24,11.31
2010-05-25,11.5
2010-05-26,12.6
2010-05-27,12.6
2010-05-28,12.6
2010-05-31,13.0
2010-06-01,13.6
2010-06-02,13.5
2010-06-03,13.9
2010-06-07,14.0
2010-06-08,12.61
2010-06-09,12.6
2010-06-15,13.84
2010-06-16,13.94
2010-06-18,13.5
2010-06-21,13.45
2010-06-22,13.44
2010-06-23,13.0
2010-06-24,13.5
2010-06-25,13.5
2010-06-29,13.7
2010-06-30,14.7
2010-07-01,14.58
2010-07-02,13.51
2010-07-05,13.99
2010-07-06,14.0
2010-07-07,14.0
2010-07-08,13.51
2010-07-09,13.61
2010-07-12,14.02
2010-07-13,14.1
2010-07-14,14.23
2010-07-15,14.25
2010-07-16,14.26
2010-07-19,13.91
2010-07-20,13.7
2010-07-21,13.62
2010-07-22,13.63
2010-07-23,13.63
2010-07-26,13.52
2010-07-27,13.51
2010-07-28,13.7
2010-07-29,13.21
2010-07-30,12.3
2010-08-02,12.6
2010-08-03,12.96
2010-08-04,12.97
2010-08-05,12.97
2010-08-09,13.47
2010-08-10,13.8
2010-08-11,13.8
2010-08-12,13.0
2010-08-19,13.48
2010-08-20,13.11
2010-08-26,13.15
2010-08-27,13.48
2010-08-30,13.7
2010-08-31,13.8
2010-09-01,13.8
2010-09-02,13.8
2010-09-03,13.8
2010-09-06,13.1
2010-09-07,13.8
2010-09-08,13.66
2010-09-09,13.8
2010-09-10,13.9
2010-09-13,13.9
2010-09-14,13.98
2010-09-15,14.0
2010-09-16,14.0
2010-09-17,14.0
2010-09-20,14.06
2010-09-21,14.33
2010-09-22,14.7
2010-09-23,14.67
2010-09-24,14.5
2010-09-27,13.11
2010-09-28,13.55
2010-09-29,13.95
2010-09-30,13.8
2010-10-01,14.0
2010-10-04,14.0
2010-10-05,14.5
2010-10-06,14.5
2010-10-07,14.0
2010-10-08,14.48
2010-10-12,14.0
2010-10-13,14.75
2010-10-14,15.1
2010-10-15,15.3
2010-10-18,15.31
2010-10-19,16.0
2010-10-20,17.0
2010-10-21,17.0
2010-10-22,16.5
2010-10-25,16.5
2010-10-26,16.3
2010-10-27,16.7
2010-10-28,16.75
2010-10-29,16.97
2010-11-02,16.26
2010-11-03,16.5
2010-11-04,16.89
2010-11-05,16.89
2010-11-08,17.0
2010-11-09,17.2
2010-11-10,17.19
2010-11-11,17.2
2010-11-12,17.49
2010-11-15,17.95
2010-11-16,18.03
2010-11-18,19.15
2010-11-19,20.2
2010-11-22,21.5
2010-11-23,21.44
2010-11-24,20.0
2010-11-25,19.0
2010-11-26,19.71
2010-11-29,19.31
2010-11-30,19.32
2010-12-01,20.39
2010-12-02,20.0
2010-12-03,18.3
2010-12-06,19.49
2010-12-07,19.78
2010-12-08,19.79
2010-12-09,19.85
2010-12-10,19.79
2010-12-13,19.8
2010-12-14,19.8
2010-12-15,19.7
2010-12-16,19.8
2010-12-17,20.8
2010-12-20,19.65
2010-12-21,20.75
2010-12-22,20.69
2010-12-23,20.5
2010-12-24,20.0
2010-12-27,19.36
2010-12-28,19.3
2010-12-29,20.0
2010-12-30,20.0
2010-12-31,20.0
2011-01-03,19.6
2011-01-04,20.0
2011-01-05,19.65
2011-01-06,19.59
2011-01-07,19.31
2011-01-10,19.6
2011-01-11,19.29
2011-01-12,19.5
2011-01-13,19.0
2011-01-14,18.1
2011-01-17,18.98
2011-01-18,18.99
2011-01-19,18.85
2011-01-20,18.89
2011-01-21,18.1
2011-01-25,17.27
2011-01-26,17.5
2011-01-27,17.3
2011-01-28,17.4
2011-01-31,17.0
2011-02-01,17.0
2011-02-02,17.0
2011-02-03,16.7
2011-02-04,16.7
2011-02-07,17.0
2011-02-08,17.0
2011-02-09,17.9
2011-02-10,17.89
2011-02-11,18.01
2011-02-14,18.6
2011-02-16,18.49
2011-02-17,18.0
2011-02-18,18.0
2011-02-21,17.3
2011-02-22,16.99
2011-02-23,17.3
2011-02-25,17.3
2011-02-28,16.81
2011-03-01,16.81
2011-03-03,17.49
2011-03-04,16.0
2011-03-07,17.59
2011-03-08,16.6
2011-03-09,16.6
2011-03-10,16.56
2011-03-11,16.5
2011-03-14,16.5
2011-03-15,16.47
2011-03-16,16.37
2011-03-17,16.21
2011-03-21,17.0
2011-03-22,16.99
2011-03-24,17.59
2011-03-25,16.75
2011-03-28,17.49
2011-03-29,17.0
2011-03-30,17.0
2011-03-31,16.8
2011-04-01,16.5
2011-04-04,17.14
2011-04-05,17.14
2011-04-06,17.1
2011-04-07,17.2
2011-04-08,18.74
2011-04-11,18.95
2011-04-12,18.95
2011-04-13,19.0
2011-04-14,19.25
2011-04-15,19.48
2011-04-18,21.35
2011-04-19,20.0
2011-04-20,19.25
2011-04-21,19.49
2011-04-26,19.25
2011-04-27,19.5
2011-04-29,19.25
2011-05-02,19.25
2011-05-03,19.25
2011-05-04,19.0
2011-05-05,17.7
2011-05-06,18.55
2011-05-09,18.51
2011-05-10,18.35
2011-05-11,18.2
2011-05-13,18.2
2011-05-16,18.0
2011-05-17,18.0
2011-05-18,17.0
2011-05-19,17.0
2011-05-20,16.79
2011-05-23,16.7
2011-05-24,16.89
2011-05-25,17.5
2011-05-26,19.25
2011-05-27,19.0
2011-05-30,17.1
2011-06-01,17.2
2011-06-02,17.5
2011-06-03,18.78
2011-06-06,17.0
2011-06-07,17.95
2011-06-08,17.94
2011-06-09,18.02
2011-06-10,18.0
2011-06-13,18.01
2011-06-14,18.06
2011-06-15,17.98
2011-06-17,16.19
2011-06-20,16.74
2011-06-21,17.0
2011-06-22,17.98
2011-06-23,17.5
2011-06-28,17.0
2011-06-29,17.97
2011-07-04,17.98
2011-07-05,17.98
2011-07-06,18.2
2011-07-07,18.5
2011-07-11,17.99
2011-07-12,17.5
2011-07-13,17.5
2011-07-14,16.0
2011-07-15,16.2
2011-07-18,16.0
2011-07-19,16.2
2011-07-20,16.2
2011-07-21,17.29
2011-07-22,17.6
2011-07-25,17.6
2011-07-26,17.6
2011-08-01,16.99
2011-08-02,16.99
2011-08-03,16.97
2011-08-04,16.2
2011-08-05,16.75
2011-08-08,15.8
2011-08-09,15.5
2011-08-15,12.53
2011-08-16,13.78
2011-08-17,14.95
2011-08-18,13.47
2011-08-19,13.47
2011-08-22,13.88
2011-08-24,14.4
2011-08-25,13.01
2011-08-29,14.79
2011-08-31,14.0
2011-09-01,14.78
2011-09-02,14.77
2011-09-05,14.0
2011-09-06,14.48
2011-09-08,14.0
2011-09-12,13.76
2011-09-13,13.0
2011-09-14,12.75
2011-09-15,13.5
2011-09-16,13.2
2011-09-19,13.2
2011-09-20,13.3
2011-09-21,13.3
2011-09-23,12.75
2011-09-26,12.75
2011-09-27,12.75
2011-09-28,12.75
2011-09-29,12.5
2011-09-30,12.5
2011-10-03,12.5
2011-10-05,12.45
2011-10-06,12.49
2011-10-07,12.47
2011-10-10,12.5
2011-10-11,12.5
2011-10-13,12.5
2011-10-17,12.5
2011-10-19,12.0
2011-10-20,12.2
2011-10-21,11.61
2011-10-26,11.61
2011-10-27,12.15
2011-10-28,12.4
2011-10-31,12.45
2011-11-01,12.4
2011-11-02,12.39
2011-11-04,11.2
2011-11-07,11.2
2011-11-08,11.0
2011-11-09,11.5
2011-11-10,11.5
2011-11-14,11.48
2011-11-15,11.39
2011-11-16,12.0
2011-11-24,11.85
2011-11-29,11.5
2011-11-30,11.4
2011-12-01,11.5
2011-12-06,11.38
2011-12-07,11.36
2011-12-09,11.35
2011-12-12,11.27
2011-12-14,11.0
2011-12-15,11.2
2011-12-16,11.25
2011-12-19,11.24
2011-12-21,10.98
2011-12-22,10.98
2011-12-23,11.25
2011-12-27,11.2
2011-12-30,11.25
2012-01-03,11.39
2012-01-04,11.38
2012-01-16,11.28
2012-01-17,11.26
2012-01-18,11.24
2012-01-20,10.99
2012-01-23,10.5
2012-01-24,10.51
2012-01-25,10.68
2012-01-26,10.27
2012-01-27,10.17
2012-01-30,10.6
2012-01-31,10.67
2012-02-01,10.79
2012-02-02,11.8
2012-02-03,12.3
2012-02-06,12.28
2012-02-07,12.18
2012-02-09,10.8
2012-02-10,11.0
2012-02-13,10.77
2012-02-14,10.77
2012-02-15,10.68
2012-02-16,10.67
2012-02-17,10.2
2012-02-20,9.91
2012-02-21,9.98
2012-02-22,10.0
2012-02-23,9.98
2012-02-24,9.98
2012-02-27,9.98
2012-02-28,9.98
2012-02-29,9.98
2012-03-01,10.0
2012-03-02,9.98
2012-03-06,9.97
2012-03-09,9.96
2012-03-12,9.96
2012-03-13,9.8
2012-03-14,9.3
2012-03-15,9.3
2012-03-16,9.68
2012-03-20,9.26
2012-03-23,9.25
2012-03-26,9.3
2012-03-29,9.5
2012-04-03,9.49
2012-04-04,9.8
2012-04-05,8.83
2012-04-10,9.09
2012-04-11,9.1
2012-04-12,9.3
2012-04-13,8.99
2012-04-16,8.85
2012-04-17,8.85
2012-04-18,8.5
2012-04-19,8.5
2012-04-20,7.8
2012-04-23,7.7
2012-04-24,7.2
2012-04-25,7.2
2012-04-27,7.92
2012-04-30,7.99
2012-05-03,7.99
2012-05-04,7.35
2012-05-08,6.65
2012-05-09,6.5
2012-05-10,5.87
2012-05-11,5.29
2012-05-14,5.7
2012-05-15,6.19
2012-05-16,6.25
2012-05-17,6.25
2012-05-18,5.8
2012-05-21,6.38
2012-05-22,6.37
2012-05-23,6.38
2012-05-24,6.38
2012-05-25,6.37
2012-05-28,6.38
2012-05-30,5.82
2012-05-31,6.35
2012-06-01,6.49
2012-06-04,6.47
2012-06-06,5.86
2012-06-07,5.88
2012-06-12,5.88
2012-06-13,5.85
2012-06-14,5.85
2012-06-18,5.41
2012-06-19,5.94
2012-06-20,5.94
2012-06-21,5.98
2012-07-04,5.65
2012-07-05,5.4
2012-07-09,5.37
2012-07-13,5.23
2012-07-16,5.21
2012-07-19,5.22
2012-07-25,5.19
2012-07-26,5.19
2012-08-03,5.19
2012-08-07,5.15
2012-08-09,5.14
2012-08-10,5.13
2012-08-17,5.2
2012-08-23,5.0
2012-08-24,4.99
2012-08-27,5.0
2012-08-28,5.09
2012-08-30,5.2
2012-08-31,5.6
2012-09-03,6.0
2012-09-04,6.04
2012-09-05,5.99
2012-09-06,5.95
2012-09-07,6.0
2012-09-10,5.6
2012-09-17,6.5
2012-09-19,7.14
2012-09-24,9.35
2012-09-26,8.89
2012-09-28,8.79
2012-10-01,7.92
2012-10-04,8.0
2012-10-05,8.0
2012-10-10,8.0
2012-10-11,8.0
2012-10-16,8.9
2012-10-17,9.0
2012-10-18,9.0
2012-10-19,8.97
2012-10-22,9.0
2012-10-23,9.0
2012-10-24,8.1
2012-10-26,8.89
2012-10-30,8.89
2012-10-31,8.85
2012-11-01,8.0
2012-11-02,8.0
2012-11-05,8.0
2012-11-08,8.0
2012-11-16,7.9
2012-11-20,8.68
2012-11-22,8.68
2012-11-26,8.4
2012-12-04,8.2
2012-12-14,7.24
2012-12-18,7.9
2012-12-19,7.9
2012-12-24,7.8
2012-12-27,7.79
2012-12-31,8.0
2013-01-07,6.48
2013-01-08,7.12
2013-01-09,7.11
2013-01-10,7.11
2013-01-11,7.8
2013-01-15,7.6
2013-01-16,7.59
2013-01-17,7.5
2013-01-21,6.71
2013-01-22,6.71
2013-01-23,6.71
2013-01-25,5.46
2013-01-28,5.2
2013-02-01,5.2
2013-02-04,5.49
2013-02-05,5.5
2013-02-06,4.96
2013-02-08,5.97
2013-02-11,5.97
2013-02-12,6.2
2013-02-13,6.2
2013-02-14,6.24
2013-02-15,6.23
2013-02-21,6.25
2013-02-26,6.25
2013-03-05,6.05
2013-03-13,6.59
2013-03-14,5.94
2013-03-18,6.5
2013-03-19,6.5
2013-03-20,6.5
2013-03-21,6.5
2013-03-22,6.5
2013-04-09,5.7
2013-04-11,6.27
2013-04-12,6.7
2013-04-15,6.5
2013-04-16,6.5
2013-04-19,6.0
2013-04-22,6.0
2013-04-23,6.4
2013-04-24,6.1
2013-04-29,5.5
2013-04-30,5.5
2013-05-13,6.49
2013-05-14,6.5
2013-05-16,6.1
2013-05-17,6.1
2013-05-23,5.5
2013-05-24,5.51
2013-05-29,6.12
2013-05-30,6.09
2013-05-31,6.1
2013-06-04,6.1
2013-06-05,6.7
2013-06-10,6.69
2013-06-11,6.65
2013-06-13,5.8
2013-06-14,5.8
2013-06-17,5.8
2013-06-18,5.8
2013-06-19,5.8
2013-06-20,5.8
2013-06-25,6.19
2013-06-26,5.77
2013-07-08,5.21
2013-07-09,5.65
2013-07-10,5.92
2013-07-11,5.92
2013-07-12,5.9
2013-07-15,6.2
2013-07-16,6.81
2013-07-23,6.71
2013-07-29,6.95
2013-08-14,6.45
2013-08-21,6.15
2013-08-22,6.15
2013-08-23,6.15
2013-08-27,5.85
2013-08-30,5.6
2013-09-13,5.6
2013-09-16,5.6
2013-09-18,5.6
2013-09-24,5.6
2013-09-26,5.7
2013-09-30,5.5
2013-10-02,5.7
2013-10-03,5.82
2013-10-07,5.9
2013-10-08,6.0
2013-10-10,6.0
2013-10-11,6.0
2013-10-14,6.1
2013-10-17,6.2
2013-10-18,6.2
2013-10-23,6.2
2013-10-24,6.25
2013-10-31,7.28
2013-11-01,7.28
2013-11-04,7.18
2013-11-05,7.1
2013-11-07,6.9
2013-11-08,6.85
2013-11-11,6.84
2013-11-13,6.79
2013-11-15,6.36
2013-11-20,5.8
2013-11-22,5.81
2013-11-26,6.0
2013-11-27,5.99
2013-11-28,5.99
2013-11-29,6.0
2013-12-02,6.0
2013-12-04,6.0
2013-12-05,6.0
2013-12-06,5.5
2013-12-09,5.7
2013-12-10,6.0
2013-12-11,6.0
2013-12-12,5.99
2013-12-16,5.4
2013-12-18,6.0
2013-12-19,6.0
2013-12-23,5.99
2013-12-27,5.51
2013-12-30,6.0
2013-12-31,5.99
2014-01-03,5.99
2014-01-09,5.7
2014-01-13,5.99
2014-01-14,5.93
