,MLSBT FP Equity_DX_SI_QTY,MLSBT FP Equity_DX_SHORT_INTEREST_VALUE,MLSBT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLSBT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLSBT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLSBT FP Equity_DX_SI_MV,MLSBT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLSBT FP Equity_DX_SUPPLY_SI_QTY,MLSBT FP Equity_DX_BROKER_SI_QTY,MLSBT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLSBT FP Equity_DX_SUPPLY_SI_MV,MLSBT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLSBT FP Equity_DX_UTILIZATION_QUANTITY,MLSBT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLSBT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLSBT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLSBT FP Equity_DX_ACTIVE_UTILIZATION_MV,MLSBT FP Equity_DX_BROKER_SI_CON_RATIO,MLSBT FP Equity_DX_DEMAND_SUPPLY_RATIO,MLSBT FP Equity_PX_LAST
2006-05-05,,,,,,,,,,,,,,,,,,,,8.7
2006-05-09,,,,,,,,,,,,,,,,,,,,10.52
2006-05-10,,,,,,,,,,,,,,,,,,,,11.57
2006-05-11,,,,,,,,,,,,,,,,,,,,11.0
2006-05-12,,,,,,,,,,,,,,,,,,,,11.0
2006-05-15,,,,,,,,,,,,,,,,,,,,11.6
2006-05-16,,,,,,,,,,,,,,,,,,,,11.6
2006-05-17,,,,,,,,,,,,,,,,,,,,11.5
2006-05-19,,,,,,,,,,,,,,,,,,,,10.9
2006-05-22,,,,,,,,,,,,,,,,,,,,10.45
2006-05-23,,,,,,,,,,,,,,,,,,,,11.0
2006-05-24,,,,,,,,,,,,,,,,,,,,10.9
2006-05-25,,,,,,,,,,,,,,,,,,,,10.9
2006-05-26,,,,,,,,,,,,,,,,,,,,10.9
2006-05-29,,,,,,,,,,,,,,,,,,,,10.9
2006-05-31,,,,,,,,,,,,,,,,,,,,10.89
2006-06-01,,,,,,,,,,,,,,,,,,,,10.4
2006-06-02,,,,,,,,,,,,,,,,,,,,10.16
2006-06-05,,,,,,,,,,,,,,,,,,,,10.0
2006-06-06,,,,,,,,,,,,,,,,,,,,10.1
2006-06-07,,,,,,,,,,,,,,,,,,,,10.1
2006-06-09,,,,,,,,,,,,,,,,,,,,9.68
2006-06-13,,,,,,,,,,,,,,,,,,,,8.8
2006-06-14,,,,,,,,,,,,,,,,,,,,8.01
2006-06-15,,,,,,,,,,,,,,,,,,,,7.62
2006-06-16,,,,,,,,,,,,,,,,,,,,7.7
2006-06-19,,,,,,,,,,,,,,,,,,,,8.01
2006-06-20,,,,,,,,,,,,,,,,,,,,8.5
2006-06-21,,,,,,,,,,,,,,,,,,,,8.3
2006-06-22,,,,,,,,,,,,,,,,,,,,8.02
2006-06-23,,,,,,,,,,,,,,,,,,,,7.5
2006-06-26,,,,,,,,,,,,,,,,,,,,7.6
2006-06-27,,,,,,,,,,,,,,,,,,,,7.52
2006-06-28,,,,,,,,,,,,,,,,,,,,7.52
2006-06-29,,,,,,,,,,,,,,,,,,,,7.5
2006-06-30,,,,,,,,,,,,,,,,,,,,7.75
2006-07-03,,,,,,,,,,,,,,,,,,,,8.0
2006-07-04,,,,,,,,,,,,,,,,,,,,7.85
2006-07-06,,,,,,,,,,,,,,,,,,,,7.6
2006-07-07,,,,,,,,,,,,,,,,,,,,7.61
2006-07-10,,,,,,,,,,,,,,,,,,,,7.5
