,ALLUX FP Equity_DX_SI_QTY,ALLUX FP Equity_DX_SHORT_INTEREST_VALUE,ALLUX FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALLUX FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALLUX FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALLUX FP Equity_DX_SI_MV,ALLUX FP Equity_DX_DSS,ALLUX FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALLUX FP Equity_DX_SUPPLY_SI_QTY,ALLUX FP Equity_DX_BROKER_SI_QTY,ALLUX FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALLUX FP Equity_DX_BROKER_SI_QTY_ADD,ALLUX FP Equity_DX_SUPPLY_SI_MV_DEC,ALLUX FP Equity_DX_SUPPLY_SI_QTY_DEC,ALLUX FP Equity_DX_BROKER_SI_MV_ADD,ALLUX FP Equity_DX_SUPPLY_SI_QTY_ADD,ALLUX FP Equity_DX_BROKER_SI_QTY_DEC,ALLUX FP Equity_DX_SUPPLY_SI_MV,ALLUX FP Equity_DX_BROKER_SI_MV_DEC,ALLUX FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALLUX FP Equity_DX_UTILIZATION_QUANTITY,ALLUX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALLUX FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALLUX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALLUX FP Equity_DX_ACTIVE_UTILIZATION_MV,ALLUX FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALLUX FP Equity_DX_BROKER_SI_CON_RATIO,ALLUX FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALLUX FP Equity_DX_DEMAND_SUPPLY_RATIO,ALLUX FP Equity_PX_LAST
1989-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.02
1989-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.71
1989-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.02
1989-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0
1989-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.48
1989-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.48
1989-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.76
1989-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.71
1989-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.71
1989-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.95
1989-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.67
1989-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.62
1989-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.24
1989-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.09
1989-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.09
1989-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.57
1989-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.04
1989-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.04
1989-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.57
1989-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.81
1989-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.67
1989-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.98
1989-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.76
1989-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.76
1989-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.76
1989-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.5
1989-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.5
1989-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.04
1989-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.2
1989-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.2
1989-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.2
1989-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.57
1989-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.85
1989-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.85
1989-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.09
1989-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.09
1989-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.62
1989-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.67
1989-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.67
1989-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.14
1989-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.9
1989-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.14
1989-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.84
1989-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.09
1989-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.33
1989-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.57
1989-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.57
1989-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.09
1989-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.13
1989-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.04
1989-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.52
1989-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.09
1990-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.09
1990-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.09
1990-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.09
1990-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.96
1990-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.72
1990-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.72
1990-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.72
1990-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.72
1990-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.96
1990-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.2
1990-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.2
1990-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.2
1990-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.81
1990-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.2
1990-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.04
1990-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.04
1990-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.04
1990-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.57
1990-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.04
1990-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.04
1990-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.04
1990-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.04
1990-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.79
1990-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.09
1990-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.33
1990-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.48
