,C50 FP Equity_DX_DSS,C50 FP Equity_PX_LAST
2008-10-13,,39.19
2008-10-14,,42.02
2008-10-15,,40.54
2008-10-16,,36.75
2008-10-17,,38.51
2008-10-21,,39.45
2008-10-27,,34.36
2008-10-29,,37.75
2008-10-30,,38.41
2008-11-06,,39.725
2008-11-07,,38.75
2008-11-12,,36.7
2008-11-17,,36.185
2008-11-19,,35.095
2008-11-20,,33.965
2008-11-25,,36.305
2008-11-27,,36.785
2008-12-03,,35.0
2008-12-05,,34.0
2008-12-12,,36.5
2008-12-19,,37.295
2008-12-23,,36.835
2008-12-29,,36.56
2009-01-06,,39.465
2009-01-12,,37.955
2009-01-15,,34.435
2009-01-19,,34.41
2009-01-20,,33.775
2009-01-21,,33.765
2009-01-22,,32.89
2009-01-23,,32.695
2009-01-28,,35.225
2009-02-04,,35.155
2009-02-11,,34.565
2009-02-16,,33.57
2009-02-23,,31.18
2009-02-25,,30.11
2009-02-26,,30.745
2009-02-27,,30.14
2009-03-02,,29.225
2009-03-03,,29.115
2009-03-04,,29.7
2009-03-05,,28.38
2009-03-06,,27.7
2009-03-09,,27.545
2009-03-10,,29.31
2009-03-11,,29.495
2009-03-12,,30.055
2009-03-13,,30.2
2009-03-16,,31.205
2009-03-17,,30.89
2009-03-18,,30.815
2009-03-19,,31.19
2009-03-20,,31.29
2009-03-23,,32.53
2009-03-24,,32.56
2009-03-25,,32.875
2009-03-26,,33.02
2009-03-27,,32.36
2009-03-30,,30.76
2009-03-31,,31.64
2009-04-01,,31.7
2009-04-02,,33.98
2009-04-03,,33.705
2009-04-06,,33.325
2009-04-07,,33.055
2009-04-08,,33.635
2009-04-09,,34.41
2009-04-14,,34.89
2009-04-15,,34.73
2009-04-16,,35.245
2009-04-17,,35.825
2009-04-20,,34.52
2009-04-21,,34.4
2009-04-22,,35.19
2009-04-23,,34.775
2009-04-24,,35.805
2009-04-27,,35.765
2009-04-28,,35.11
2009-04-29,,35.985
2009-04-30,,36.56
2009-05-04,,37.48
2009-05-05,,37.395
2009-05-06,,37.945
2009-05-07,,37.525
2009-05-08,,38.325
2009-05-11,,37.85
2009-05-12,,37.86
2009-05-13,,36.655
2009-05-14,,36.705
2009-05-15,,36.77
2009-05-18,,37.915
2009-05-19,,38.6
2009-05-20,,39.065
2009-05-21,,37.965
2009-05-22,,38.175
2009-05-25,,38.35
2009-05-26,,38.74
2009-05-27,,39.0
2009-05-28,,38.55
2009-05-29,,38.41
2009-06-01,,39.875
2009-06-02,,39.805
2009-06-03,,39.0
2009-06-04,,39.115
2009-06-05,,39.32
2009-06-08,,38.795
2009-06-09,,38.985
2009-06-10,,39.405
2009-06-11,,39.66
2009-06-12,,39.47
2009-06-15,,38.205
2009-06-16,,38.145
2009-06-17,,37.46
2009-06-18,,37.95
2009-06-19,,38.295
2009-06-22,,37.05
2009-06-23,,37.125
2009-06-24,,38.055
2009-06-25,,37.9
2009-06-26,,37.63
2009-06-29,,38.305
2009-06-30,,37.685
2009-07-01,,38.685
2009-07-02,,37.31
2009-07-03,,37.36
2009-07-06,,36.96
2009-07-07,,36.435
2009-07-08,,36.05
2009-07-09,,36.49
2009-07-10,,35.875
2009-07-13,,37.085
2009-07-14,,37.455
2009-07-15,,38.625
2009-07-16,,38.815
2009-07-17,,38.995
2009-07-20,,39.365
2009-07-21,,39.755
2009-07-22,,39.76
2009-07-23,,40.785
2009-07-24,,40.75
2009-07-27,,40.99
2009-07-28,,40.51
2009-07-29,,40.97
2009-07-30,,41.79
2009-07-31,,41.575
2009-08-03,,42.225
2009-08-04,,42.245
2009-08-05,,41.63
2009-08-06,,42.045
2009-08-07,,42.775
2009-08-10,,42.53
2009-08-11,,41.79
2009-08-12,,42.43
2009-08-13,,42.74
2009-08-14,,42.125
2009-08-17,,41.075
2009-08-18,,41.495
2009-08-19,,41.375
2009-08-20,,42.015
2009-08-21,,43.33
2009-08-24,,43.77
2009-08-25,,44.245
2009-08-26,,43.94
2009-08-27,,43.785
2009-08-28,,44.28
2009-08-31,,43.85
2009-09-01,,42.835
2009-09-02,,42.6
2009-09-03,,42.615
2009-09-04,,43.315
2009-09-07,,43.88
2009-09-08,,43.95
2009-09-09,,44.61
2009-09-10,,44.53
2009-09-11,,44.735
2009-09-14,,44.685
2009-09-15,,44.915
2009-09-16,,45.49
2009-09-17,,45.695
2009-09-18,,45.625
2009-09-21,,45.45
2009-09-22,,45.5
2009-09-23,,45.63
2009-09-24,,44.865
2009-09-25,,44.76
2009-09-28,,45.81
2009-09-29,,45.66
2009-09-30,,45.295
2009-10-01,,44.445
2009-10-02,,43.535
2009-10-05,,44.05
2009-10-06,,45.23
2009-10-07,,45.015
2009-10-08,,45.66
2009-10-09,,45.495
2009-10-12,,46.06
2009-10-13,,45.55
2009-10-14,,46.625
2009-10-15,,46.485
2009-10-16,,45.755
2009-10-19,,46.59
2009-10-20,,46.14
2009-10-21,,46.475
2009-10-22,,45.895
2009-10-23,,46.375
2009-10-26,,44.865
2009-10-27,,44.83
2009-10-28,,43.865
2009-10-29,,44.69
2009-10-30,,43.435
2009-11-02,,43.62
2009-11-03,,42.805
2009-11-04,,43.675
2009-11-05,,44.16
2009-11-06,,44.16
2009-11-09,,45.22
2009-11-10,,45.24
2009-11-11,,45.67
2009-11-12,,45.515
2009-11-13,,45.775
2009-11-16,,46.395
2009-11-17,,46.13
2009-11-18,,46.145
2009-11-19,,45.345
2009-11-20,,44.93
2009-11-23,,45.97
2009-11-24,,45.64
