,PARRO FP Equity_DX_SI_QTY,PARRO FP Equity_DX_SHORT_INTEREST_VALUE,PARRO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,PARRO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PARRO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PARRO FP Equity_DX_SI_MV,PARRO FP Equity_DX_DSS,PARRO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PARRO FP Equity_DX_SUPPLY_SI_QTY,PARRO FP Equity_DX_BROKER_SI_QTY,PARRO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PARRO FP Equity_DX_BROKER_SI_MV_NEW_x,PARRO FP Equity_DX_SUPPLY_SI_QTY_NEW_x,PARRO FP Equity_DX_SUPPLY_SI_QTY_INC_x,PARRO FP Equity_DX_BROKER_SI_MV_INC_x,PARRO FP Equity_DX_SUPPLY_SI_MV_NEW,PARRO FP Equity_DX_BROKER_SI_QTY_ADD,PARRO FP Equity_DX_BROKER_SI_QTY_NEW,PARRO FP Equity_DX_SUPPLY_SI_MV_DEC,PARRO FP Equity_DX_BROKER_SI_QTY_INC,PARRO FP Equity_DX_SUPPLY_SI_QTY_DEC,PARRO FP Equity_DX_BROKER_SI_MV_NEW_y,PARRO FP Equity_DX_SUPPLY_SI_QTY_NEW_y,PARRO FP Equity_DX_BROKER_SI_MV_INC_y,PARRO FP Equity_DX_SUPPLY_SI_QTY_INC_y,PARRO FP Equity_DX_BROKER_SI_MV_ADD,PARRO FP Equity_DX_SUPPLY_SI_QTY_ADD,PARRO FP Equity_DX_BROKER_SI_QTY_DEC,PARRO FP Equity_DX_SUPPLY_SI_MV,PARRO FP Equity_DX_BROKER_SI_MV_DEC,PARRO FP Equity_DX_SUPPLY_SI_MV_RMV,PARRO FP Equity_DX_BROKER_SI_MV_RMV,PARRO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PARRO FP Equity_DX_UTILIZATION_QUANTITY,PARRO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PARRO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PARRO FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,PARRO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PARRO FP Equity_DX_ACTIVE_UTILIZATION_MV,PARRO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,PARRO FP Equity_DX_BROKER_SI_CON_RATIO,PARRO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,PARRO FP Equity_DX_DEMAND_SUPPLY_RATIO,PARRO FP Equity_PX_LAST
2006-07-26,46461.0,1184755.5,0.37,2.13,0.37,1.18,0.0,1096500.0,46461.0,43000.0,1184755.5,,,,,,,,0.0,,52.0,,,,,,,,1.18,,,,8.03,8.03,532013.0,13566331.5,,13.57,8.03,,1.0,100.0,0.0803,25.5
2006-07-27,46505.0,1162625.0,0.37,2.02,0.37,1.19,0.0,1075000.0,46505.0,43000.0,1162625.0,,,44.0,,,,,,,,,,,44.0,,,,1.19,,,,8.08,8.08,529032.0,13225800.0,,13.47,8.09,,1.0,100.0,0.0808,25.0
2006-07-28,46484.0,1139322.84,0.37,2.0,0.37,1.16,0.0,1053930.0,46484.0,43000.0,1139322.84,,,,,,,,0.02,,22.0,,,,,,,,1.16,,,,8.06,8.06,529991.0,12990079.41,,13.34,8.02,,1.0,100.0,0.0806,24.51
2006-07-31,46498.0,1162450.0,0.37,2.0,0.37,1.14,0.0,1075000.0,46498.0,43000.0,1162450.0,,,14.0,,,,,,,,,,,14.0,,,,1.14,,,,8.05,8.05,530906.0,13272650.0,,13.34,7.87,,1.0,100.0,0.0805,25.0
2006-08-01,46483.0,1185316.5,0.37,1.99,0.37,1.16,0.0,1096500.0,46483.0,43000.0,1185316.5,,,,,,,,0.0,,15.0,,,,,,,,1.16,,,,7.67,7.67,559753.0,14273701.5,,14.19,7.57,,1.0,100.0,0.0767,25.5
2006-08-02,46510.0,1185539.9,0.37,1.98,0.37,1.19,0.0,1096070.0,46510.0,43000.0,1185539.9,,,27.0,,,,,,,,,,,27.0,,,,1.19,,,,7.63,7.63,562718.0,14343681.82,,14.35,7.64,,1.0,100.0,0.0763,25.49
2006-08-03,46494.0,1197220.5,0.37,1.98,0.37,1.19,0.0,1107250.0,46494.0,43000.0,1197220.5,,,,,,,,0.0,,16.0,,,,,,,,1.19,,,,7.64,7.64,562388.0,14481491.0,,14.38,7.61,,1.0,100.0,0.0764,25.75
2006-08-04,46479.0,1203806.1,0.37,1.88,0.37,1.2,0.0,1113700.0,46479.0,43000.0,1203806.1,,,,,,,,0.0,,15.0,,,,,,,,1.2,,,,7.64,7.64,562108.0,14558597.2,,14.49,7.63,,1.0,100.0,0.0764,25.9
2006-08-07,46507.0,1197555.25,0.37,1.81,0.37,1.2,0.0,1107250.0,46507.0,43000.0,1197555.25,,,29.0,,,,,,,,,,,29.0,,,,1.2,,,,7.64,7.64,561954.0,14470315.5,,14.51,7.66,,1.0,100.0,0.0764,25.75
2006-08-08,46499.0,1199674.2,0.37,1.8,0.37,1.2,0.0,1109400.0,46499.0,43000.0,1199674.2,,,,,,,,0.01,,8.0,,,,,,,,1.2,,,,7.64,7.64,562341.0,14508397.8,,14.5,7.63,,1.0,100.0,0.0764,25.8
2006-08-09,46490.0,1197117.5,0.37,1.8,0.37,1.2,0.0,1107250.0,46490.0,43000.0,1197117.5,,,,,,,,0.0,,9.0,,,,,,,,1.2,,,,7.63,7.63,562683.0,14489087.25,,14.5,7.64,,1.0,100.0,0.0763,25.75
2006-08-10,46519.0,1197864.25,0.37,3.5,0.37,1.2,0.0,1107250.0,46519.0,43000.0,1197864.25,,,29.0,,,,,,,,,,,29.0,,,,1.2,,,,7.64,7.64,562654.0,14488340.5,,14.49,7.64,,1.0,100.0,0.0764,25.75
2006-08-11,46520.0,1200216.0,0.37,3.74,0.37,1.2,0.0,1109400.0,46520.0,43000.0,1200216.0,,,0.0,,,,,,,,,,,0.0,,,,1.2,,,,7.64,7.64,562653.0,14516447.4,,14.53,7.62,,1.0,100.0,0.0764,25.8
2006-08-14,46501.0,1206700.95,0.37,4.09,0.37,1.2,0.0,1115850.0,46501.0,43000.0,1206700.95,,,,,,,,0.0,,19.0,,,,,,,,1.2,,,,7.63,7.63,562672.0,14601338.4,,14.54,7.62,,1.0,100.0,0.0763,25.95
2006-08-15,46482.0,1206207.9,0.37,4.38,0.37,1.21,0.0,1115850.0,46482.0,43000.0,1206207.9,,,,,,,,0.0,,18.0,,,,,,,,1.21,,,,7.63,7.63,562691.0,14601831.45,,14.54,7.66,,1.0,100.0,0.0763,25.95
2006-08-16,46485.0,1199313.0,0.37,4.66,0.37,1.21,0.0,1109400.0,46485.0,43000.0,1199313.0,,,3.0,,,,,,,,,,,3.0,,,,1.21,,,,7.63,7.63,562688.0,14517350.4,,14.55,7.66,,1.0,100.0,0.0763,25.8
2006-08-17,46504.0,1171900.8,0.37,5.01,0.37,1.2,0.0,1083600.0,46504.0,43000.0,1171900.8,,,19.0,,,,,,,,,,,19.0,,,,1.2,,,,7.63,7.63,562669.0,14179258.8,,14.44,7.67,,1.0,100.0,0.0763,25.2
2006-08-18,46501.0,1162059.99,0.37,5.13,0.37,1.17,0.0,1074570.0,46501.0,43000.0,1162059.99,,,,,,,,0.03,,4.0,,,,,,,,1.17,,,,7.65,7.65,561382.0,14028936.18,,14.26,7.59,,1.0,100.0,0.0765,24.99
2006-08-21,46482.0,1161120.36,0.37,5.31,0.37,1.16,0.0,1074140.0,46482.0,43000.0,1161120.36,,,,,,,,0.01,,19.0,,,,,,,,1.16,,,,7.65,7.65,561401.0,14023796.98,,14.25,7.54,,1.0,100.0,0.0765,24.98
2006-08-22,46523.0,1161679.31,0.37,5.32,0.37,1.16,0.0,1073710.0,46523.0,43000.0,1161679.31,,,42.0,,,,,,,,,,,42.0,,,,1.16,,,,7.65,7.65,561360.0,14017159.2,,14.28,7.53,,1.0,100.0,0.0765,24.97
2006-08-23,46504.0,1162600.0,0.37,5.34,0.37,1.16,0.0,1075000.0,46504.0,43000.0,1162600.0,,,,,,,,0.0,,19.0,,,,,,,,1.16,,,,7.65,7.65,561379.0,14034475.0,,14.07,7.62,,1.0,100.0,0.0765,25.0
2006-08-24,46504.0,1162600.0,0.37,5.43,0.37,1.16,0.0,1075000.0,46504.0,43000.0,1162600.0,,,0.0,,,,,,,,,,,0.0,,,,1.16,,,,7.63,7.63,562679.0,14066975.0,,14.1,7.62,,1.0,100.0,0.0763,25.0
2006-08-25,46504.0,1162600.0,0.37,5.54,0.37,1.16,0.0,1075000.0,46504.0,43000.0,1162600.0,,,,,,,,0.0,,1.0,,,,,,,,1.16,,,,7.63,7.63,562679.0,14066975.0,,14.11,7.61,,1.0,100.0,0.0763,25.0
2006-08-28,46491.0,1162275.0,0.37,5.52,0.37,1.16,0.0,1075000.0,46491.0,43000.0,1162275.0,,,,,,,,0.0,,13.0,,,,,,,,1.16,,,,7.63,7.63,562692.0,14067300.0,,14.11,7.61,,1.0,100.0,0.0763,25.0
2006-08-29,46487.0,1162175.0,0.37,5.58,0.37,1.16,0.0,1075000.0,46487.0,43000.0,1162175.0,,,,,,,,0.0,,4.0,,,,,,,,1.16,,,,7.63,7.63,562696.0,14067400.0,,14.11,7.61,,1.0,100.0,0.0763,25.0
2006-08-30,46498.0,1181049.2,0.37,5.67,0.37,1.16,0.0,1092200.0,46498.0,43000.0,1181049.2,,,11.0,,,,,,,,,,,11.0,,,,1.16,,,,7.63,7.63,562685.0,14292199.0,,14.21,7.56,,1.0,100.0,0.0763,25.4
2006-08-31,46506.0,1185903.0,0.37,5.69,0.37,1.18,0.0,1096500.0,46506.0,43000.0,1185903.0,,,8.0,,,,,,,,,,,8.0,,,,1.18,,,,7.63,7.63,562677.0,14348263.5,,14.31,7.63,,1.0,100.0,0.0763,25.5
2006-09-01,46492.0,1189730.28,0.37,6.14,0.37,1.19,0.0,1100370.0,46492.0,43000.0,1189730.28,,,,,,,,0.0,,15.0,,,,,,,,1.19,,,,7.63,7.63,562691.0,14399262.69,,14.33,7.64,,1.0,100.0,0.0763,25.59
2006-09-04,46499.0,1190374.4,0.37,7.15,0.37,1.19,0.0,1100800.0,46651.0,43000.0,1194265.6,,,159.0,,,,,,,,,,,159.0,,,,1.19,,,,7.65,7.65,563040.0,14413824.0,,14.32,7.67,,1.0,100.0,0.0763,25.6
2006-09-05,46512.0,1154892.96,0.37,7.34,0.37,1.19,0.0,1067690.0,46512.0,43000.0,1154892.96,,,,,,,,0.0,,139.0,,,,,,,,1.19,,,,7.65,7.65,561607.0,13944701.81,,14.22,7.73,,1.0,100.0,0.0765,24.83
2006-09-06,46504.0,1190502.4,0.37,7.95,0.37,1.15,0.0,1100800.0,46504.0,43000.0,1190502.4,,,,,,,,0.04,,8.0,,,,,,,,1.15,,,,7.62,7.62,563711.0,14431001.6,,14.28,7.48,,1.0,100.0,0.0762,25.6
2006-09-07,46520.0,1176956.0,0.37,9.69,0.37,1.19,0.0,1087900.0,46520.0,43000.0,1176956.0,,,17.0,,,,,,,,,,,17.0,,,,1.19,,,,7.64,7.64,562663.0,14235373.9,,14.4,7.64,,1.0,100.0,0.0764,25.3
2006-09-08,46516.0,1139642.0,0.37,9.65,0.37,1.18,0.0,1053500.0,46516.0,43000.0,1139642.0,,,,,,,,0.01,,4.0,,,,,,,,1.18,,,,7.64,7.64,562667.0,13785341.5,,14.19,7.66,,1.0,100.0,0.0764,24.5
2006-09-11,46493.0,1162325.0,0.37,9.3,0.37,1.14,0.0,1075000.0,46493.0,43000.0,1162325.0,,,,,,,,0.04,,24.0,,,,,,,,1.14,,,,7.62,7.62,563890.0,14097250.0,,14.16,7.44,,1.0,100.0,0.0762,25.0
2006-09-12,46503.0,1130022.9,0.37,8.67,0.37,1.16,0.0,1044900.0,46503.0,43000.0,1130022.9,,,10.0,,,,,,,,,,,10.0,,,,1.16,,,,7.62,7.62,563880.0,13702284.0,,14.25,7.54,,1.0,100.0,0.0762,24.3
2006-09-13,46498.0,1125251.6,0.37,8.91,0.37,1.13,0.0,1040600.0,46498.0,43000.0,1125251.6,,,,,,,,0.03,,5.0,,,,,,,,1.13,,,,7.62,7.62,563885.0,13646017.0,,13.67,7.64,,1.0,100.0,0.0762,24.2
2006-09-14,46491.0,1183195.95,0.37,8.73,0.37,1.13,0.0,1094350.0,46491.0,43000.0,1183195.95,,,,,,,,0.0,,7.0,,,,,,,,1.13,,,,7.49,7.49,573892.0,14605551.4,,14.01,7.43,,1.0,100.0,0.0749,25.45
2006-09-15,46515.0,1255905.0,0.37,9.48,0.37,1.18,0.0,1161000.0,46515.0,43000.0,1255905.0,,,23.0,,,,,,,,,,,23.0,,,,1.18,,,,7.52,7.52,572405.0,15454935.0,,14.46,7.57,,1.0,100.0,0.0752,27.0
2006-09-18,46485.0,1277407.8,0.37,5.44,0.37,1.26,0.0,1181640.0,46485.0,43000.0,1277407.8,,,,,,,,0.0,,30.0,,,,,,,,1.26,,,,7.51,7.51,572435.0,15730513.8,,14.63,7.9,,1.0,100.0,0.0751,27.48
2006-09-19,46506.0,1299842.7,0.37,4.06,0.37,1.28,0.0,1201850.0,46506.0,43000.0,1299842.7,,,21.0,,,,,,,,,,,21.0,,,,1.28,,,,7.58,7.58,567264.0,15855028.8,,14.63,8.03,,1.0,100.0,0.0758,27.95
2006-09-20,46498.0,1269395.4,0.37,3.96,0.37,1.3,0.0,1173900.0,46498.0,43000.0,1269395.4,,,,,,,,0.0,,9.0,,,,,,,,1.3,,,,7.52,7.52,571618.0,15605171.4,,15.74,7.63,,1.0,100.0,0.0752,27.3
2006-09-21,46399.0,1292212.15,0.37,3.71,0.37,1.29,0.0,1197550.0,6334.0,43000.0,176401.9,,,,,,,,1.12,,40164.0,,,,,,,,0.18,,,,1.03,1.03,609429.0,16972597.65,,16.76,1.04,,1.0,100.0,0.0754,27.85
2006-09-22,46487.0,1267700.49,0.37,3.57,0.37,1.3,0.0,1172610.0,6477.0,43000.0,176627.79,,,143.0,,,,,,,,,,,143.0,,,,0.18,,,,1.05,1.05,611165.0,16666469.55,,16.77,1.07,,1.0,100.0,0.0753,27.27
2006-09-25,46429.0,1287940.46,0.37,3.47,0.37,1.3,0.0,1192820.0,6361.0,43000.0,176454.14,,,,,,,,0.0,,116.0,,,,,,,,0.18,,,,1.04,1.04,605110.0,16785751.4,,16.66,1.05,,1.0,100.0,0.0759,27.74
2006-09-26,6516.0,179190.0,0.05,0.49,0.05,0.18,0.0,82500.0,6516.0,3000.0,179190.0,,,155.0,,,,,,,,,,,155.0,,,40000.0,0.18,1.12,,,1.06,1.06,607036.0,16693490.0,,16.72,1.07,,1.0,100.0,0.0106,27.5
2006-09-27,6495.0,180561.0,0.05,0.47,0.05,0.18,0.0,83400.0,6495.0,3000.0,180561.0,,,,,,,,0.0,,21.0,,,,,,,,0.18,,,,1.05,1.05,613566.0,17057134.8,,16.99,1.04,,1.0,100.0,0.0105,27.8
2006-09-28,6499.0,181647.05,0.05,0.47,0.05,0.18,0.0,83850.0,6499.0,3000.0,181647.05,,,4.0,,,,,,,,,,,4.0,,,,0.18,,,,1.05,1.05,613562.0,17149057.9,,17.01,1.05,,1.0,100.0,0.0105,27.95
2006-09-29,6526.0,180117.6,0.05,0.47,0.05,0.18,0.0,82800.0,6543.0,3000.0,180586.8,,,44.0,,,,,,,,,,,44.0,,,,0.18,,,,1.05,1.05,614293.0,16954486.8,,16.98,1.06,,1.0,100.0,0.0105,27.6
2006-10-02,6437.0,175794.47,0.05,0.47,0.05,0.18,0.0,81930.0,3437.0,3000.0,93864.47,,,,,,,,0.09,,3106.0,,,,,,,,0.1,,,,0.56,0.56,615191.0,16800866.21,,17.03,0.56,,1.0,100.0,0.0104,27.31
2006-10-03,3472.0,94091.2,0.03,0.25,0.03,0.1,0.0,0.0,3472.0,0.0,94091.2,,,34.0,,,,,,,,,,,34.0,,,3000.0,0.1,0.08,,,0.57,0.57,609903.0,16528371.3,,16.8,0.57,,0.0,,0.0057,27.1
2006-10-04,3506.0,94662.0,0.03,0.25,0.03,0.09,0.0,0.0,3506.0,0.0,94662.0,,,34.0,,,,,,,,,,,34.0,,,,0.09,,,,0.57,0.57,610887.0,16493949.0,,16.54,0.57,,0.0,,0.0057,27.0
2006-10-05,3502.0,94554.0,0.03,0.25,0.03,0.09,0.0,0.0,3502.0,0.0,94554.0,,,,,,,,0.0,,4.0,,,,,,,,0.09,,,,0.57,0.57,610655.0,16487685.0,,16.5,0.57,,0.0,,0.0057,27.0
2006-10-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.09,,3502.0,,,,,,,,0.0,,,,0.0,0.0,614239.0,16461605.2,,16.59,0.0,,0.0,,0.0,26.8
2006-10-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,613302.0,16503956.82,,16.56,0.0,,0.0,,0.0,26.91
2006-10-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,613979.0,16509895.31,,16.56,0.0,,0.0,,0.0,26.89
2006-10-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,613558.0,16566066.0,,16.59,0.0,,0.0,,0.0,27.0
2006-10-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,570884.0,15556589.0,,15.44,0.0,,0.0,,0.0,27.25
2006-10-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,567085.0,16020151.25,,15.58,0.0,,0.0,,0.0,28.25
2006-10-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,571670.0,16121094.0,,15.72,0.0,,0.0,,0.0,28.2
2006-10-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,529594.0,14881591.4,,14.58,0.0,,0.0,,0.0,28.1
2006-10-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,569155.0,15976180.85,,15.98,0.0,,0.0,,0.0,28.07
2006-10-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,569323.0,15827179.4,,15.94,0.0,,0.0,,0.0,27.8
2006-10-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,566504.0,15692160.8,,15.85,0.0,,0.0,,0.0,27.7
2006-10-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,565245.0,15600762.0,,15.81,0.0,,0.0,,0.0,27.6
2006-10-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,555299.0,14993073.0,,15.45,0.0,,0.0,,0.0,27.0
2006-10-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,563966.0,16005355.08,,15.82,0.0,,0.0,,0.0,28.38
2006-10-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,566811.0,16295816.25,,16.06,0.0,,0.0,,0.0,28.75
