,JPNK FP Equity_DX_SI_QTY,JPNK FP Equity_DX_SHORT_INTEREST_VALUE,JPNK FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,JPNK FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,JPNK FP Equity_DX_SI_MV,JPNK FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,JPNK FP Equity_DX_SUPPLY_SI_QTY,JPNK FP Equity_DX_BROKER_SI_QTY,JPNK FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,JPNK FP Equity_DX_BROKER_SI_MV_NEW_x,JPNK FP Equity_DX_BROKER_SI_MV_INC_x,JPNK FP Equity_DX_BROKER_SI_QTY_ADD,JPNK FP Equity_DX_BROKER_SI_QTY_NEW,JPNK FP Equity_DX_BROKER_SI_QTY_INC,JPNK FP Equity_DX_BROKER_SI_MV_NEW_y,JPNK FP Equity_DX_BROKER_SI_MV_INC_y,JPNK FP Equity_DX_BROKER_SI_MV_ADD,JPNK FP Equity_DX_BROKER_SI_QTY_DEC,JPNK FP Equity_DX_SUPPLY_SI_MV,JPNK FP Equity_DX_BROKER_SI_MV_DEC,JPNK FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,JPNK FP Equity_DX_UTILIZATION_QUANTITY,JPNK FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,JPNK FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,JPNK FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,JPNK FP Equity_DX_ACTIVE_UTILIZATION_MV,JPNK FP Equity_DX_BROKER_SI_MARKET_SHARE_2,JPNK FP Equity_DX_BROKER_SI_CON_RATIO,JPNK FP Equity_DX_BROKER_SI_MARKET_SHARE_1,JPNK FP Equity_DX_DEMAND_SUPPLY_RATIO,JPNK FP Equity_PX_LAST
2014-12-03,5000.0,455000.0,2.94,0.29,0.45,455000.0,0.0,5000.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,91.0
2014-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.49
2014-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.88
2014-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0
2014-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.54
2014-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.2
2014-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.89
2014-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.06
2014-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.68
2014-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.93
2014-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.96
2014-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.19
2014-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.34
2014-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.89
2014-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.6
2014-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.09
2014-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.19
2015-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.04
2015-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.44
2015-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.22
2015-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.33
2015-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.45
2015-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.28
2015-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.01
2015-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.51
2015-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.56
2015-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.46
2015-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.64
2015-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.96
2015-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.88
2015-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.81
2015-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.24
2015-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.83
2015-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.8
2015-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.33
2015-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.12
2015-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.86
2015-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.4
2015-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.73
2015-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.83
2015-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.54
2015-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.69
2015-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.16
2015-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.07
2015-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.96
2015-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.16
2015-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.7
2015-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.4
2015-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.57
2015-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.72
2015-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.59
2015-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.18
2015-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.82
2015-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.75
2015-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.47
2015-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.78
2015-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.33
2015-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.8
2015-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.9
2015-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.61
2015-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.22
2015-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.75
2015-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.28
2015-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.75
2015-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.53
2015-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.98
2015-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.97
2015-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.16
2015-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.29
2015-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.27
2015-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.2
2015-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.09
2015-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.54
2015-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.06
2015-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.3
2015-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.44
2015-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.13
2015-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.24
2015-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.69
2015-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.66
2015-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.87
2015-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.18
2015-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.62
2015-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.55
2015-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.24
2015-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.37
2015-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.1
2015-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.41
2015-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.84
2015-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.5
2015-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.01
2015-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.79
2015-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.7
2015-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.44
2015-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.59
2015-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.37
2015-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.26
2015-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.53
2015-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.57
2015-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.9
2015-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.91
2015-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.65
2015-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.66
2015-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.1
2015-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.95
2015-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.55
2015-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.3
2015-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.9
2015-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.85
2015-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.98
2015-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.55
2015-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.36
2015-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.41
2015-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.36
2015-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.56
2015-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.38
2015-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.11
2015-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.94
2015-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.48
2015-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.07
2015-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.47
2015-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.51
2015-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.62
2015-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.65
2015-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.94
2015-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.65
2015-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.12
2015-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.05
2015-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.19
2015-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.33
2015-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.98
2015-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.7
2015-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.23
2015-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.19
2015-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.45
2015-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.02
2015-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.07
2015-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.55
2015-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.08
2015-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.76
2015-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.44
2015-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.84
2015-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.51
2015-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.62
2015-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.33
2015-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.59
2015-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.71
2015-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.44
2015-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.44
2015-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.44
2015-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.22
2015-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.17
2015-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.96
2015-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.76
2015-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.92
2015-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.37
2015-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.38
2015-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.73
2015-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.09
2015-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.72
2015-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.41
2015-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.13
2015-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.37
2015-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.16
2015-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.82
2015-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.62
2015-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.71
2015-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.55
2015-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.31
2015-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.73
2015-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.91
2015-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.95
2015-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.05
2015-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.41
2015-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.04
2015-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.87
2015-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.08
2015-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.49
2015-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.96
2015-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.24
2015-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.82
2015-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.39
2015-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.66
2015-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.36
2015-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.13
2015-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.22
2015-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.51
2015-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.63
2015-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.14
2015-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.97
2015-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.71
2015-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.38
2015-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.3
2015-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.32
2015-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.68
2015-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.3
2015-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.43
2015-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.07
2015-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.4
2015-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.83
2015-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.39
2015-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.27
2015-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.07
2015-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.49
2015-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.74
2015-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.88
2015-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.62
2015-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.86
2015-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.65
2015-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.73
2015-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.8
2015-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.79
2015-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.67
2015-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.77
2015-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.71
2015-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.01
2015-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.08
2015-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.44
2015-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.24
2015-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.09
2015-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.68
2015-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.37
2015-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.3
2015-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.27
2015-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.04
2015-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.22
2015-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.72
2015-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.92
2015-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.49
2015-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.23
2015-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.31
2015-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.62
2015-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.5
2015-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.48
2015-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.92
2015-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.75
2015-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.33
2015-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.89
2015-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.87
2015-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.42
2015-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.14
2015-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.96
2015-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.31
2015-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.12
2015-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.09
2015-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.83
2015-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.71
2015-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.76
2015-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.56
2015-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.78
2015-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.7
2015-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.0
2015-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.29
2015-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.85
2015-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.8
2015-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.89
2015-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.86
2015-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.38
2015-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.03
2015-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.49
2015-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.15
2015-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.59
2015-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.43
2015-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.36
2015-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.15
2015-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.29
2015-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.15
2015-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.3
2015-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.7
2015-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.05
2016-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.72
2016-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.54
2016-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.33
2016-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.1
