,PDJE FP Equity_DX_SI_QTY,PDJE FP Equity_DX_SHORT_INTEREST_VALUE,PDJE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PDJE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PDJE FP Equity_DX_SI_MV,PDJE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PDJE FP Equity_DX_SUPPLY_SI_QTY,PDJE FP Equity_DX_BROKER_SI_QTY,PDJE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PDJE FP Equity_DX_BROKER_SI_QTY_ADD,PDJE FP Equity_DX_SUPPLY_SI_MV_DEC,PDJE FP Equity_DX_SUPPLY_SI_QTY_DEC,PDJE FP Equity_DX_BROKER_SI_MV_ADD,PDJE FP Equity_DX_SUPPLY_SI_QTY_ADD,PDJE FP Equity_DX_BROKER_SI_QTY_DEC,PDJE FP Equity_DX_SUPPLY_SI_MV,PDJE FP Equity_DX_BROKER_SI_MV_DEC,PDJE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PDJE FP Equity_DX_UTILIZATION_QUANTITY,PDJE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PDJE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PDJE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PDJE FP Equity_DX_ACTIVE_UTILIZATION_MV,PDJE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,PDJE FP Equity_DX_BROKER_SI_CON_RATIO,PDJE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,PDJE FP Equity_DX_DEMAND_SUPPLY_RATIO,PDJE FP Equity_PX_LAST
2014-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.27
2014-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.19
2014-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.21
2014-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2
2014-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.22
2014-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3
2014-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.32
2014-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.39
2014-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.39
2014-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.38
2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.34
2014-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.45
2014-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.44
2014-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.45
2014-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.37
2014-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.37
2014-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4
2014-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.39
2014-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.27
2014-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.12
2014-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.12
2014-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.17
2014-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.15
2014-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.13
2014-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2014-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.23
2014-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2
2014-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.28
2014-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.28
2014-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.24
2014-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.39
2014-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.47
2014-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.52
2014-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.59
2014-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.61
2014-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7
2014-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.73
2014-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7
2014-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7
2014-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.73
2014-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.74
2014-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.75
2014-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.74
2014-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9
2014-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.86
2014-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.92
2014-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9
2014-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.88
2014-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.87
2014-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.85
2014-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.84
2014-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.89
2014-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.92
2014-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.05
2014-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.14
2014-09-22,17000.0,188530.0,2.21,2.9,0.19,188530.0,0.0,17000.0,0.0,17000.0,,,0.19,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,11.09
2014-09-23,17000.0,186830.0,2.16,2.9,0.19,186830.0,0.0,17000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,10.99
2014-09-24,17000.0,188360.0,1.93,2.9,0.19,188360.0,0.0,17000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,11.08
2014-09-25,17000.0,187510.0,1.4,2.57,0.19,187510.0,0.0,17000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,11.03
2014-09-26,17000.0,188020.0,1.31,2.57,0.19,188020.0,0.0,17000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,11.06
2014-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.09
2014-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.21
2014-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.06
2014-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.91
2014-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.17
2014-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.19
2014-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.01
2014-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.91
2014-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.98
2014-10-10,10000.0,108800.0,0.6,1.34,0.11,108800.0,0.0,10000.0,0.0,10000.0,,,0.11,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,10.88
2014-10-13,10000.0,107700.0,0.58,1.34,0.11,107700.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,10.77
2014-10-14,10000.0,107100.0,0.57,1.32,0.11,107100.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,10.71
2014-10-15,10000.0,103500.0,0.57,1.27,0.11,103500.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,10.35
2014-10-16,10000.0,104400.0,0.57,1.27,0.1,104400.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,10.44
2014-10-17,10000.0,106200.0,0.57,1.27,0.1,106200.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,10.62
2014-10-20,10000.0,105500.0,0.57,1.27,0.11,105500.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,10.55
2014-10-21,10000.0,107500.0,0.57,1.27,0.11,107500.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,10.75
2014-10-22,10000.0,108700.0,0.58,1.23,0.11,108700.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,10.87
2014-10-23,10000.0,109200.0,0.59,1.23,0.11,109200.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,10.92
2014-10-24,10000.0,109200.0,0.6,1.23,0.11,109200.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,10.92
2014-10-27,10000.0,109100.0,0.63,1.23,0.11,109100.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,10.91
2014-10-28,10000.0,109500.0,0.63,1.23,0.11,109500.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,10.95
2014-10-29,10000.0,110100.0,0.64,1.23,0.11,110100.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,11.01
2014-10-30,10000.0,112100.0,0.67,1.2,0.11,112100.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,11.21
2014-10-31,10000.0,114500.0,0.7,1.2,0.11,114500.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,11.45
2014-11-03,10000.0,114800.0,0.72,1.2,0.11,114800.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,11.48
2014-11-04,10000.0,114000.0,0.73,1.2,0.11,114000.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,11.4
2014-11-05,10000.0,115600.0,0.78,1.2,0.11,115600.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,11.56
2014-11-06,10000.0,116700.0,1.06,1.2,0.12,116700.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,11.67
2014-11-07,10000.0,116900.0,1.19,1.2,0.12,116900.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,11.69
2014-11-10,10000.0,117100.0,1.28,1.2,0.12,117100.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,11.71
2014-11-11,10000.0,117100.0,1.31,1.2,0.12,117100.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,11.71
2014-11-12,10000.0,116700.0,1.33,1.2,0.12,116700.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,11.67
2014-11-13,10000.0,117000.0,1.67,1.2,0.12,117000.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,11.7
2014-11-14,10000.0,116900.0,1.81,1.2,0.12,116900.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,11.69
2014-11-17,10000.0,117000.0,1.78,1.2,0.12,117000.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,11.7
2014-11-18,10000.0,116800.0,2.1,1.2,0.12,116800.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,11.68
2014-11-19,10000.0,116500.0,2.17,1.2,0.12,116500.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,11.65
2014-11-20,10000.0,116900.0,2.47,1.2,0.12,116900.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,11.69
2014-11-21,10000.0,119100.0,2.42,1.2,0.12,119100.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,11.91
2014-11-24,10000.0,118500.0,2.84,1.2,0.12,118500.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,11.85
2014-11-25,10000.0,118300.0,3.22,1.2,0.12,118300.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,11.83
2014-11-26,10000.0,117800.0,3.28,1.2,0.12,117800.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,11.78
2014-11-27,10000.0,118400.0,3.52,1.2,0.12,118400.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,11.84
2014-11-28,10000.0,119100.0,3.64,1.2,0.12,119100.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,11.91
2014-12-01,10000.0,118100.0,3.96,1.16,0.12,118100.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,11.81
2014-12-02,10000.0,119200.0,4.66,1.16,0.12,119200.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,11.92
2014-12-03,10000.0,120300.0,4.52,1.16,0.12,120300.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,12.03
2014-12-04,10000.0,118600.0,4.59,1.16,0.12,118600.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,11.86
2014-12-05,10000.0,120900.0,4.67,1.16,0.12,120900.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,12.09
2014-12-08,10000.0,120800.0,4.78,1.16,0.12,120800.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,12.08
2014-12-09,10000.0,118100.0,5.07,1.16,0.12,118100.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,11.81
2014-12-10,10000.0,117700.0,4.85,1.16,0.12,117700.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,11.77
2014-12-11,10000.0,118700.0,4.88,1.16,0.12,118700.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,11.87
2014-12-12,10000.0,115600.0,4.48,1.16,0.12,115600.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,11.56
2014-12-15,10000.0,114300.0,4.22,1.16,0.12,114300.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,11.43
2014-12-16,10000.0,115600.0,4.24,1.16,0.11,115600.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,11.56
2014-12-17,10000.0,114700.0,4.2,1.16,0.11,114700.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,11.47
2014-12-18,10000.0,118500.0,3.7,1.16,0.11,118500.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,11.85
2014-12-19,10000.0,120500.0,3.7,1.16,0.12,120500.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,12.05
2014-12-22,6000.0,72720.0,2.18,0.69,0.07,72720.0,0.0,6000.0,0.0,,,,,,4000.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,12.12
2014-12-23,6000.0,73560.0,2.19,0.69,0.07,73560.0,0.0,6000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,12.26
2014-12-24,6000.0,73440.0,1.97,0.69,0.07,73440.0,0.0,6000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,12.24
2014-12-25,6000.0,73440.0,1.97,0.69,0.07,73440.0,0.0,6000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,
2014-12-26,6000.0,73440.0,1.97,0.69,0.07,73440.0,0.0,6000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,
2014-12-29,6000.0,73620.0,1.97,0.69,0.07,73620.0,0.0,6000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,12.27
2014-12-30,6000.0,73320.0,1.87,0.69,0.07,73320.0,0.0,6000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,12.22
2014-12-31,6000.0,73680.0,1.94,0.69,0.07,73680.0,0.0,6000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,12.28
2015-01-01,6000.0,73680.0,1.94,0.69,0.07,73680.0,0.0,6000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,
2015-01-02,6000.0,73680.0,1.94,0.69,0.07,73680.0,0.0,6000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,12.28
2015-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2
2015-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.07
2015-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.27
2015-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.54
2015-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.42
2015-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.39
2015-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.55
2015-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.18
2015-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.43
2015-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.48
2015-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.46
2015-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.47
2015-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.56
2015-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.82
2015-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.05
2015-01-26,5000.0,64800.0,1.25,0.55,0.06,64800.0,0.0,5000.0,0.0,5000.0,,,0.06,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,12.96
2015-01-27,5000.0,63200.0,1.2,0.55,0.07,63200.0,0.0,5000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,12.64
2015-01-28,5000.0,63650.0,1.19,0.55,0.06,63650.0,0.0,5000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,12.73
2015-01-29,5000.0,63100.0,1.23,0.55,0.06,63100.0,0.0,5000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,12.62
2015-01-30,5000.0,63400.0,1.26,0.55,0.06,63400.0,0.0,5000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,12.68
2015-02-02,5000.0,63000.0,1.25,0.55,0.06,63000.0,0.0,5000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,12.6
2015-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.65
2015-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.87
2015-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.94
2015-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.11
2015-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.01
2015-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.03
2015-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.09
2015-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.05
2015-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1
2015-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.13
2015-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.11
2015-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.17
2015-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.13
2015-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.15
2015-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.25
2015-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.34
2015-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.31
2015-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5
2015-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.47
2015-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.56
2015-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.46
2015-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.58
2015-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.66
2015-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.73
2015-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.75
2015-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.75
2015-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9
2015-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.97
2015-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.98
2015-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.07
2015-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.99
2015-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.86
2015-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.03
2015-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.92
