,ATLD FP Equity_DX_SI_QTY,ATLD FP Equity_DX_SHORT_INTEREST_VALUE,ATLD FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ATLD FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ATLD FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ATLD FP Equity_DX_SI_MV,ATLD FP Equity_DX_DSS,ATLD FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ATLD FP Equity_DX_SUPPLY_SI_QTY,ATLD FP Equity_DX_BROKER_SI_QTY,ATLD FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ATLD FP Equity_DX_SUPPLY_SI_QTY_INC_x,ATLD FP Equity_DX_BROKER_SI_QTY_ADD,ATLD FP Equity_DX_SUPPLY_SI_MV_DEC,ATLD FP Equity_DX_SUPPLY_SI_QTY_DEC,ATLD FP Equity_DX_SUPPLY_SI_QTY_INC_y,ATLD FP Equity_DX_BROKER_SI_MV_ADD,ATLD FP Equity_DX_BROKER_SI_QTY_DEC,ATLD FP Equity_DX_SUPPLY_SI_MV,ATLD FP Equity_DX_BROKER_SI_MV_DEC,ATLD FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ATLD FP Equity_DX_UTILIZATION_QUANTITY,ATLD FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ATLD FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ATLD FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ATLD FP Equity_DX_ACTIVE_UTILIZATION_MV,ATLD FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ATLD FP Equity_DX_BROKER_SI_CON_RATIO,ATLD FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ATLD FP Equity_DX_DEMAND_SUPPLY_RATIO,ATLD FP Equity_PX_LAST
1992-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.8148
1992-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.6621
1992-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.1684
1992-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.6747
1992-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.3572
1992-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.8998
1992-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.2663
1992-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.8453
1992-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.8453
1992-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.8453
1992-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.9306
1992-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.9306
1992-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.8453
1992-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.8453
1992-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.9306
1992-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.9306
1992-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.9306
1992-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.9306
1992-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.9306
1992-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.9306
1992-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.9306
1992-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.9306
1992-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.9306
1992-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.8816
1992-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.8816
1992-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.5096
1992-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.8998
1992-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.8998
1992-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5949
1992-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5949
1992-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.8327
1992-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.8327
1992-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6984
1992-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7837
1992-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7837
1992-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.9361
1992-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.2102
1992-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5641
1992-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0214
1992-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5641
1992-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5641
1992-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5641
1992-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4207
1992-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4207
1992-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0396
1992-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7347
1992-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.9725
1992-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.2102
1992-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.8382
1992-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.9235
1992-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1612
