,ABLD FP Equity_PX_LAST
2023-08-16,8.8
2023-08-17,8.8
2023-08-18,8.8
2023-08-21,9.7
2023-08-22,9.7
2023-08-23,9.7
2023-08-24,9.7
2023-08-25,9.7
2023-08-28,9.7
2023-08-29,9.7
2023-08-30,9.7
2023-08-31,9.7
2023-09-01,9.7
2023-09-04,9.7
2023-09-05,9.7
2023-09-06,9.7
2023-09-07,9.7
2023-09-08,9.7
2023-09-11,9.7
2023-09-12,9.7
2023-09-13,9.7
2023-09-14,9.7
2023-09-15,9.7
2023-09-18,9.7
2023-09-19,9.7
2023-09-20,9.7
2023-09-21,9.7
2023-09-22,9.7
2023-09-25,9.7
2023-09-26,9.7
2023-09-27,9.7
2023-09-28,9.7
2023-09-29,9.7
2023-10-02,9.7
2023-10-03,9.7
2023-10-04,9.7
2023-10-05,9.7
2023-10-06,9.7
2023-10-09,9.7
2023-10-10,9.7
2023-10-11,9.7
2023-10-12,9.7
2023-10-13,9.7
2023-10-16,9.7
2023-10-17,9.7
2023-10-18,9.7
2023-10-19,9.7
2023-10-20,9.7
2023-10-23,9.7
2023-10-24,9.7
2023-10-25,9.7
2023-10-26,9.7
2023-10-27,9.7
2023-10-30,9.7
2023-10-31,9.7
2023-11-01,9.7
2023-11-02,9.7
2023-11-03,9.7
2023-11-06,9.7
2023-11-07,9.7
2023-11-08,9.7
2023-11-09,9.7
2023-11-10,9.7
2023-11-13,9.7
2023-11-14,9.7
2023-11-15,9.7
2023-11-16,9.7
2023-11-17,9.7
2023-11-20,9.7
2023-11-21,9.7
2023-11-22,9.7
2023-11-23,9.7
2023-11-24,9.7
2023-11-27,9.7
2023-11-28,9.7
2023-11-29,9.7
2023-11-30,9.7
2023-12-01,9.7
2023-12-04,9.7
2023-12-05,9.7
2023-12-06,9.7
2023-12-07,9.7
2023-12-08,9.7
2023-12-11,9.7
2023-12-12,9.7
2023-12-13,9.7
2023-12-14,9.7
2023-12-15,9.7
2023-12-18,9.7
2023-12-19,9.7
2023-12-20,9.7
2023-12-21,9.7
2023-12-22,9.7
2023-12-27,9.7
2023-12-28,9.7
2023-12-29,9.7
2024-01-02,9.7
2024-01-03,9.7
2024-01-04,9.7
2024-01-05,9.7
2024-01-08,9.7
2024-01-09,9.7
2024-01-10,9.7
2024-01-11,9.7
2024-01-12,9.7
2024-01-15,9.7
2024-01-16,9.7
2024-01-17,9.7
2024-01-18,9.7
2024-01-19,9.7
2024-01-22,9.7
2024-01-23,9.7
2024-01-24,9.7
2024-01-25,9.7
2024-01-26,9.7
2024-01-29,9.7
2024-01-30,9.7
2024-01-31,9.7
2024-02-01,9.7
2024-02-02,9.7
2024-02-05,9.7
2024-02-06,9.7
2024-02-07,9.7
2024-02-08,9.7
2024-02-09,9.7
2024-02-12,9.7
2024-02-13,9.7
2024-02-14,9.7
2024-02-15,9.7
2024-02-16,9.7
2024-02-19,9.7
2024-02-20,9.7
2024-02-21,9.7
2024-02-22,9.7
2024-02-23,9.7
2024-02-26,9.7
2024-02-27,9.7
2024-02-28,9.7
2024-02-29,9.7
2024-03-01,9.7
2024-03-04,9.7
2024-03-05,9.7
2024-03-06,9.7
2024-03-07,9.7
2024-03-08,9.7
2024-03-11,9.7
2024-03-12,9.7
2024-03-13,3.18
2024-03-14,3.18
2024-03-15,3.18
2024-03-18,3.18
2024-03-19,3.18
2024-03-20,3.18
2024-03-21,3.18
2024-03-22,3.18
2024-03-25,3.18
2024-03-26,3.18
2024-03-27,3.18
2024-03-28,3.18
2024-04-02,3.18
2024-04-03,3.18
2024-04-04,3.18
2024-04-05,3.18
2024-04-08,3.18
2024-04-09,3.18
2024-04-10,3.18
2024-04-11,3.18
2024-04-12,3.18
2024-04-15,3.18
2024-04-16,3.18
2024-04-17,3.18
2024-04-18,3.18
2024-04-19,3.18
2024-04-22,3.18
2024-04-23,3.18
2024-04-24,2.9
2024-04-25,2.9
2024-04-26,3.06
2024-04-29,3.06
2024-04-30,3.06
2024-05-02,3.1
2024-05-03,3.14
2024-05-06,3.06
2024-05-07,3.06
2024-05-08,3.06
2024-05-09,3.06
2024-05-10,3.06
2024-05-13,3.06
2024-05-14,3.06
2024-05-15,3.04
2024-05-16,3.02
2024-05-17,3.04
2024-05-20,3.04
2024-05-21,3.04
2024-05-22,3.04
2024-05-23,3.04
2024-05-24,3.04
2024-05-27,3.04
2024-05-28,3.04
2024-05-29,3.04
2024-05-30,3.04
2024-05-31,3.04
2024-06-03,3.04
2024-06-04,3.04
2024-06-05,3.04
2024-06-06,3.04
2024-06-07,3.04
2024-06-10,3.0
2024-06-11,3.0
2024-06-12,3.0
2024-06-13,3.0
2024-06-14,3.0
2024-06-17,3.0
2024-06-18,3.0
2024-06-19,3.0
2024-06-20,3.0
2024-06-21,3.0
2024-06-24,2.8
2024-06-25,2.8
2024-06-26,2.8
2024-06-27,2.8
2024-06-28,2.8
2024-07-01,2.8
2024-07-02,2.9
2024-07-03,2.9
2024-07-04,2.8
2024-07-05,2.8
2024-07-08,2.8
2024-07-09,2.76
2024-07-10,2.76
2024-07-11,2.76
2024-07-12,2.8
2024-07-15,2.8
2024-07-16,2.8
2024-07-17,2.8
2024-07-18,2.76
2024-07-19,2.8
2024-07-22,2.8
2024-07-23,2.8
2024-07-24,2.76
2024-07-25,2.8
2024-07-26,2.74
2024-07-29,2.7
2024-07-30,2.8
2024-07-31,2.76
2024-08-01,2.76
2024-08-02,2.7
2024-08-05,2.7
2024-08-06,2.7
2024-08-07,2.7
2024-08-08,2.7
2024-08-09,2.7
2024-08-12,2.7
2024-08-13,2.78
2024-08-14,2.78
2024-08-15,2.78
2024-08-16,2.78
2024-08-19,2.78
2024-08-20,2.78
2024-08-21,2.76
2024-08-22,2.76
2024-08-23,2.76
2024-08-26,2.76
2024-08-27,2.76
2024-08-28,2.78
2024-08-29,2.78
2024-08-30,2.78
2024-09-02,2.78
2024-09-03,2.78
2024-09-04,2.76
2024-09-05,2.76
2024-09-06,2.76
2024-09-09,2.76
2024-09-10,2.72
2024-09-11,2.78
2024-09-12,2.76
2024-09-13,2.76
2024-09-16,2.78
2024-09-17,2.78
2024-09-18,2.78
2024-09-19,2.76
2024-09-20,2.8
2024-09-23,2.8
2024-09-24,2.8
2024-09-25,2.8
2024-09-26,2.8
2024-09-27,2.9
2024-09-30,2.9
2024-10-01,2.9
2024-10-02,2.88
2024-10-03,2.84
2024-10-04,2.84
2024-10-07,2.84
2024-10-08,2.84
2024-10-09,2.84
2024-10-10,2.84
2024-10-11,2.86
2024-10-14,2.86
2024-10-15,2.86
2024-10-16,2.86
2024-10-17,2.86
2024-10-18,2.86
2024-10-21,2.86
2024-10-22,2.86
2024-10-23,2.86
2024-10-24,2.86
2024-10-25,2.86
2024-10-28,2.86
2024-10-29,2.86
2024-10-30,2.86
2024-10-31,2.86
2024-11-01,2.86
2024-11-04,2.84
2024-11-05,2.84
2024-11-06,2.84
2024-11-07,2.84
2024-11-08,2.84
2024-11-11,2.84
2024-11-12,2.84
2024-11-13,2.84
2024-11-14,2.86
2024-11-15,2.86
2024-11-18,2.86
2024-11-19,2.86
2024-11-20,2.86
2024-11-21,2.86
2024-11-22,2.86
2024-11-25,2.84
2024-11-26,2.84
2024-11-27,2.84
2024-11-28,2.84
2024-11-29,2.84
2024-12-02,2.84
2024-12-03,2.8
2024-12-04,2.86
2024-12-05,2.86
2024-12-06,2.86
2024-12-09,2.86
2024-12-10,2.8
2024-12-11,2.8
2024-12-12,2.8
2024-12-13,2.52
2024-12-16,2.52
2024-12-17,2.5
2024-12-18,2.5
2024-12-19,2.5
2024-12-20,2.5
2024-12-23,2.4
2024-12-24,2.4
2024-12-27,2.4
2024-12-30,2.46
2024-12-31,2.46
2025-01-02,2.46
2025-01-03,2.46
2025-01-06,2.46
2025-01-07,2.46
2025-01-08,2.46
2025-01-09,2.46
2025-01-10,2.46
2025-01-13,2.46
2025-01-14,2.66
2025-01-15,2.78
2025-01-16,2.78
2025-01-17,2.94
2025-01-20,2.98
2025-01-21,3.0
2025-01-22,3.0
2025-01-23,3.0
2025-01-24,3.0
2025-01-27,3.04
2025-01-28,3.04
2025-01-29,3.16
2025-01-30,3.16
2025-01-31,3.16
2025-02-03,3.28
2025-02-04,3.58
2025-02-05,3.66
2025-02-06,3.66
2025-02-07,3.7
2025-02-10,3.84
2025-02-11,3.98
2025-02-12,4.4
2025-02-13,4.42
2025-02-14,4.44
2025-02-17,4.5
2025-02-18,4.5
2025-02-19,4.66
2025-02-20,5.1
2025-02-21,5.3
2025-02-24,5.5
2025-02-25,5.8
2025-02-26,5.8
2025-02-27,6.35
2025-02-28,6.35
2025-03-03,6.5
2025-03-04,7.25
2025-03-05,8.0
2025-03-06,8.1
2025-03-07,8.1
2025-03-10,7.25
2025-03-11,7.25
2025-03-12,7.25
2025-03-13,7.25
2025-03-14,5.6
2025-03-17,5.05
2025-03-18,5.05
2025-03-19,5.15
2025-03-20,5.15
2025-03-21,5.15
2025-03-24,5.1
2025-03-25,5.05
2025-03-26,5.05
2025-03-27,4.8
2025-03-28,5.25
2025-03-31,5.45
2025-04-01,5.45
2025-04-02,5.5
2025-04-03,5.5
2025-04-04,5.4
2025-04-07,5.5
2025-04-08,5.45
2025-04-09,5.5
2025-04-10,5.55
2025-04-11,5.55
2025-04-14,5.55
2025-04-15,5.55
2025-04-16,5.55
2025-04-17,5.55
2025-04-22,5.5
2025-04-23,5.55
2025-04-24,5.5
2025-04-25,5.5
2025-04-28,5.55
2025-04-29,5.5
2025-04-30,5.55
2025-05-02,5.55
2025-05-05,5.55
2025-05-06,5.55
2025-05-07,5.5
2025-05-08,5.5
2025-05-09,5.5
2025-05-12,5.5
2025-05-13,5.55
2025-05-14,5.5
2025-05-15,5.45
2025-05-16,5.45
2025-05-19,5.5
2025-05-20,5.4
2025-05-21,5.45
2025-05-22,5.4
2025-05-23,5.4
2025-05-26,5.45
2025-05-27,5.45
2025-05-28,5.4
2025-05-29,5.45
2025-05-30,5.45
2025-06-02,5.45
2025-06-03,5.45
2025-06-04,5.4
2025-06-05,5.4
2025-06-06,5.4
2025-06-09,5.4
2025-06-10,5.4
2025-06-11,5.4
2025-06-12,5.4
2025-06-13,5.45
2025-06-16,5.45
2025-06-17,5.4
2025-06-18,5.45
2025-06-19,5.45
2025-06-20,5.45
2025-06-23,5.45
2025-06-24,5.4
2025-06-25,5.45
2025-06-26,5.45
2025-06-27,5.4
2025-06-30,5.35
2025-07-01,5.4
2025-07-02,5.4
2025-07-03,5.4
2025-07-04,5.4
2025-07-07,5.35
2025-07-08,5.35
2025-07-09,5.4
2025-07-10,5.4
2025-07-11,5.45
2025-07-14,5.45
2025-07-15,5.45
2025-07-16,5.45
2025-07-17,5.45
2025-07-18,5.45
2025-07-21,5.55
2025-07-22,5.6
2025-07-23,5.65
2025-07-24,5.65
2025-07-25,5.4
2025-07-28,5.3
2025-07-29,5.0
2025-07-30,5.25
2025-07-31,4.9
2025-08-01,5.1
2025-08-04,4.86
2025-08-05,4.5
2025-08-06,4.38
2025-08-07,4.5
2025-08-08,4.5
2025-08-11,4.5
2025-08-12,4.5
2025-08-13,4.5
2025-08-14,4.5
2025-08-15,4.5
2025-08-18,4.5
2025-08-19,4.38
2025-08-20,4.5
2025-08-21,4.5
2025-08-22,4.48
2025-08-25,4.48
2025-08-26,4.48
2025-08-27,4.48
2025-08-28,4.5
2025-08-29,4.6
