,ALTRO FP Equity_PX_LAST
2015-02-12,13.2
2015-02-13,16.17
2015-02-16,17.99
2015-02-17,18.75
2015-02-18,18.59
2015-02-19,17.43
2015-02-20,16.76
2015-02-23,17.5
2015-02-24,17.7
2015-02-25,17.99
2015-02-26,18.08
2015-02-27,18.05
2015-03-02,17.99
2015-03-03,18.07
2015-03-04,18.2
2015-03-05,18.3
2015-03-06,18.2
2015-03-09,18.14
2015-03-10,17.85
2015-03-11,17.85
2015-03-12,17.84
2015-03-13,17.49
2015-03-16,16.8
2015-03-17,16.2
2015-03-18,16.29
2015-03-19,16.3
2015-03-20,16.25
2015-03-23,16.16
2015-03-24,16.21
2015-03-25,16.19
2015-03-26,16.2
2015-03-27,16.44
2015-03-30,16.2
2015-03-31,16.21
2015-04-01,16.21
2015-04-02,16.15
2015-04-07,16.14
2015-04-08,16.11
2015-04-09,16.24
2015-04-10,16.3
2015-04-13,16.37
2015-04-14,16.5
2015-04-15,16.5
2015-04-16,16.49
2015-04-17,16.5
2015-04-20,16.5
2015-04-21,16.4
2015-04-22,16.4
2015-04-23,16.45
2015-04-24,16.45
2015-04-27,16.54
2015-04-28,16.54
2015-04-29,16.53
2015-04-30,16.49
2015-05-04,16.5
2015-05-05,16.46
2015-05-06,16.58
2015-05-07,16.5
2015-05-08,16.54
2015-05-11,16.4
2015-05-12,16.4
2015-05-13,16.52
2015-05-14,16.53
2015-05-15,16.52
2015-05-18,16.75
2015-05-19,16.89
2015-05-20,17.09
2015-05-21,17.51
2015-05-22,17.59
2015-05-25,17.7
2015-05-26,17.69
2015-05-27,17.66
2015-05-28,17.43
2015-05-29,17.45
2015-06-01,17.55
2015-06-02,17.65
2015-06-03,17.69
2015-06-04,17.62
2015-06-05,17.36
2015-06-08,17.48
2015-06-09,17.69
2015-06-10,17.75
2015-06-11,17.85
2015-06-12,17.78
2015-06-15,17.67
2015-06-16,17.55
2015-06-17,17.52
2015-06-18,17.5
2015-06-19,17.57
2015-06-22,17.8
2015-06-23,18.6
2015-06-24,18.68
2015-06-25,18.75
2015-06-26,18.67
2015-06-29,18.21
2015-06-30,17.96
2015-07-01,18.1
2015-07-02,18.0
2015-07-03,17.6
2015-07-06,17.65
2015-07-07,17.42
2015-07-08,17.54
2015-07-09,17.61
2015-07-10,17.8
2015-07-13,17.7
2015-07-14,17.65
2015-07-15,17.65
2015-07-16,18.1
2015-07-17,17.93
2015-07-20,17.88
2015-07-21,17.89
2015-07-22,17.89
2015-07-23,17.25
2015-07-24,16.39
2015-07-27,15.99
2015-07-28,16.22
2015-07-29,16.2
2015-07-30,15.9
2015-07-31,15.71
2015-08-03,15.54
2015-08-04,15.38
2015-08-05,15.24
2015-08-06,15.35
2015-08-07,15.16
2015-08-10,14.23
2015-08-11,14.0
2015-08-12,14.0
2015-08-13,13.77
2015-08-14,12.75
2015-08-17,12.8
2015-08-18,12.77
2015-08-19,12.61
2015-08-20,12.14
2015-08-21,11.27
2015-08-24,11.0
2015-08-25,11.4
2015-08-26,11.7
2015-08-27,12.36
2015-08-28,12.16
2015-08-31,12.16
2015-09-01,11.58
2015-09-02,11.58
2015-09-03,11.0
2015-09-04,10.99
2015-09-07,11.0
2015-09-08,11.0
2015-09-09,10.59
2015-09-10,10.92
2015-09-11,11.61
2015-09-14,11.3
2015-09-15,10.99
2015-09-16,11.41
2015-09-17,11.33
2015-09-18,11.39
2015-09-21,11.44
2015-09-22,11.16
2015-09-23,11.16
2015-09-24,11.25
2015-09-25,11.35
2015-09-28,11.13
2015-09-29,10.85
2015-09-30,10.8
2015-10-01,10.8
2015-10-02,10.76
2015-10-05,10.65
2015-10-06,10.63
2015-10-07,10.63
2015-10-08,10.65
2015-10-09,10.9
2015-10-12,11.15
2015-10-13,11.0
2015-10-14,11.01
2015-10-15,11.1
2015-10-16,11.1
2015-10-19,11.1
2015-10-20,11.1
2015-10-21,11.11
2015-10-22,11.09
2015-10-23,11.07
2015-10-26,11.07
2015-10-27,11.04
2015-10-28,11.05
2015-10-29,11.01
2015-10-30,11.0
2015-11-02,10.99
2015-11-03,10.9
2015-11-04,10.91
2015-11-05,10.92
2015-11-06,10.9
2015-11-09,10.9
2015-11-10,10.86
2015-11-11,10.87
2015-11-12,10.82
2015-11-13,10.68
2015-11-16,10.18
2015-11-17,9.97
2015-11-18,9.96
2015-11-19,9.96
2015-11-20,9.81
2015-11-23,9.45
2015-11-24,9.34
2015-11-25,9.42
2015-11-26,9.5
2015-11-27,9.45
2015-11-30,9.45
2015-12-01,9.55
2015-12-02,9.55
2015-12-03,9.4
2015-12-04,9.37
2015-12-07,9.39
2015-12-08,9.37
2015-12-09,9.3
2015-12-10,9.27
2015-12-11,9.08
2015-12-14,9.07
2015-12-15,8.96
2015-12-16,8.95
2015-12-17,8.85
2015-12-18,8.64
2015-12-21,8.65
2015-12-22,8.65
2015-12-23,8.61
2015-12-24,8.6
2015-12-28,8.35
2015-12-29,8.27
2015-12-30,8.2
2015-12-31,8.2
2016-01-04,8.01
2016-01-05,8.2
