,FIPP FP Equity_DX_SI_QTY,FIPP FP Equity_DX_SHORT_INTEREST_VALUE,FIPP FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,FIPP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,FIPP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,FIPP FP Equity_DX_SI_MV,FIPP FP Equity_DX_DSS,FIPP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,FIPP FP Equity_DX_SUPPLY_SI_QTY,FIPP FP Equity_DX_BROKER_SI_QTY,FIPP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,FIPP FP Equity_DX_SUPPLY_SI_QTY_INC_x,FIPP FP Equity_DX_BROKER_SI_MV_INC_x,FIPP FP Equity_DX_BROKER_SI_QTY_ADD,FIPP FP Equity_DX_SUPPLY_SI_MV_DEC,FIPP FP Equity_DX_BROKER_SI_QTY_INC,FIPP FP Equity_DX_SUPPLY_SI_QTY_DEC,FIPP FP Equity_DX_BROKER_SI_MV_INC_y,FIPP FP Equity_DX_SUPPLY_SI_QTY_INC_y,FIPP FP Equity_DX_BROKER_SI_MV_ADD,FIPP FP Equity_DX_SUPPLY_SI_QTY_ADD,FIPP FP Equity_DX_BROKER_SI_QTY_DEC,FIPP FP Equity_DX_SUPPLY_SI_MV,FIPP FP Equity_DX_BROKER_SI_MV_DEC,FIPP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,FIPP FP Equity_DX_UTILIZATION_QUANTITY,FIPP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,FIPP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,FIPP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,FIPP FP Equity_DX_ACTIVE_UTILIZATION_MV,FIPP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,FIPP FP Equity_DX_BROKER_SI_CON_RATIO,FIPP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,FIPP FP Equity_DX_DEMAND_SUPPLY_RATIO,FIPP FP Equity_PX_LAST
1991-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1382
1992-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6533
1992-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6533
1992-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6533
1992-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6533
1992-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6533
1992-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2631
1992-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6046
1992-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7876
1992-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0558
1992-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7571
1992-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7876
1992-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3469
1992-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9582
1992-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9582
1992-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2845
1992-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8972
1992-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2569
1992-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0678
1992-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.519
1992-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6714
1992-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7614
1992-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9582
1992-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2845
1992-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.94
1992-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.94
1992-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4841
1992-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1959
1992-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4337
1992-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6714
1992-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6714
1992-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6028
1992-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5738
1992-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6515
1992-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.813
1992-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4243
1992-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0097
1992-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9321
1992-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9458
1992-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8239
1992-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6714
