,LOCAL FP Equity_DX_SI_QTY,LOCAL FP Equity_DX_SHORT_INTEREST_VALUE,LOCAL FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,LOCAL FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,LOCAL FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,LOCAL FP Equity_DX_SI_MV,LOCAL FP Equity_DX_DSS,LOCAL FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,LOCAL FP Equity_DX_SUPPLY_SI_QTY,LOCAL FP Equity_DX_BROKER_SI_QTY,LOCAL FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,LOCAL FP Equity_DX_BROKER_SI_MV_NEW_x,LOCAL FP Equity_DX_SUPPLY_SI_QTY_NEW_x,LOCAL FP Equity_DX_SUPPLY_SI_QTY_INC_x,LOCAL FP Equity_DX_BROKER_SI_MV_INC_x,LOCAL FP Equity_DX_SUPPLY_SI_MV_NEW,LOCAL FP Equity_DX_BROKER_SI_QTY_ADD,LOCAL FP Equity_DX_BROKER_SI_QTY_NEW,LOCAL FP Equity_DX_SUPPLY_SI_MV_DEC,LOCAL FP Equity_DX_BROKER_SI_QTY_INC,LOCAL FP Equity_DX_SUPPLY_SI_QTY_DEC,LOCAL FP Equity_DX_BROKER_SI_MV_NEW_y,LOCAL FP Equity_DX_SUPPLY_SI_QTY_NEW_y,LOCAL FP Equity_DX_BROKER_SI_MV_INC_y,LOCAL FP Equity_DX_SUPPLY_SI_QTY_INC_y,LOCAL FP Equity_DX_BROKER_SI_MV_ADD,LOCAL FP Equity_DX_SUPPLY_SI_QTY_ADD,LOCAL FP Equity_DX_BROKER_SI_QTY_DEC,LOCAL FP Equity_DX_SUPPLY_SI_MV,LOCAL FP Equity_DX_BROKER_SI_MV_DEC,LOCAL FP Equity_DX_SUPPLY_SI_MV_RMV,LOCAL FP Equity_DX_BROKER_SI_MV_RMV,LOCAL FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,LOCAL FP Equity_DX_UTILIZATION_QUANTITY,LOCAL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,LOCAL FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,LOCAL FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,LOCAL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,LOCAL FP Equity_DX_ACTIVE_UTILIZATION_MV,LOCAL FP Equity_DX_BROKER_SI_MARKET_SHARE_2,LOCAL FP Equity_DX_BROKER_SI_CON_RATIO,LOCAL FP Equity_DX_BROKER_SI_MARKET_SHARE_1,LOCAL FP Equity_DX_DEMAND_SUPPLY_RATIO,LOCAL FP Equity_PX_LAST
2004-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1
2004-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.15
2004-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.22
2004-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.27
2004-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.25
2004-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.23
2004-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.23
2004-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3
2004-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.35
2004-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.45
2004-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.42
2004-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.35
2004-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.37
2004-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4
2004-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.41
2004-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.41
2004-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.44
2004-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.47
2004-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5
2004-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5
2004-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.53
2004-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5
2004-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4
2004-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.38
2004-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.39
2004-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.33
2004-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.45
2004-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.45
2004-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.49
2004-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.48
2004-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.47
2004-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.49
2004-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.36
2004-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4
2004-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4
2004-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.56
2004-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6
2004-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.65
2004-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7
2004-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.66
