,ALPLA FP Equity_DX_SI_QTY,ALPLA FP Equity_DX_SHORT_INTEREST_VALUE,ALPLA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALPLA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALPLA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALPLA FP Equity_DX_SI_MV,ALPLA FP Equity_DX_DSS,ALPLA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALPLA FP Equity_DX_SUPPLY_SI_QTY,ALPLA FP Equity_DX_BROKER_SI_QTY,ALPLA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALPLA FP Equity_DX_BROKER_SI_QTY_ADD,ALPLA FP Equity_DX_SUPPLY_SI_MV_DEC,ALPLA FP Equity_DX_SUPPLY_SI_QTY_DEC,ALPLA FP Equity_DX_BROKER_SI_MV_ADD,ALPLA FP Equity_DX_SUPPLY_SI_QTY_ADD,ALPLA FP Equity_DX_BROKER_SI_QTY_DEC,ALPLA FP Equity_DX_SUPPLY_SI_MV,ALPLA FP Equity_DX_BROKER_SI_MV_DEC,ALPLA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALPLA FP Equity_DX_UTILIZATION_QUANTITY,ALPLA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALPLA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALPLA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALPLA FP Equity_DX_ACTIVE_UTILIZATION_MV,ALPLA FP Equity_DX_BROKER_SI_CON_RATIO,ALPLA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALPLA FP Equity_DX_DEMAND_SUPPLY_RATIO,ALPLA FP Equity_PX_LAST
2005-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9
2005-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28
2005-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
2005-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75
2005-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75
2005-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2005-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.73
2005-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71
2005-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.65
2005-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51
2005-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.53
2005-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52
2005-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49
2005-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.35
2005-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75
2005-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
2005-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4
2005-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6
2005-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2005-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2005-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2005-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2005-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.85
2005-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.85
2005-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8
2005-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.56
2005-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.04
2005-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2005-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.99
2005-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.64
2005-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.64
2005-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.51
2005-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.49
2005-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4
2005-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.35
2005-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9
2005-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55
2005-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75
2005-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
2005-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.99
2005-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2005-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
2005-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2005-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.55
2005-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7
2005-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.71
2005-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.85
2005-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.89
2005-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.84
2005-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.85
2005-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75
2005-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.71
2005-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2005-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.89
2005-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56
2005-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9
2005-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.95
2005-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.89
2005-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.65
2005-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.71
2005-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2005-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2005-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
2005-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.27
2005-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29
2005-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2005-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2005-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
2005-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.05
2005-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
2005-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71
2005-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
2005-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75
2005-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9
2005-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9
2005-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95
2005-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.05
2005-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95
2005-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.94
2005-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
2005-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
2005-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75
2005-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
2005-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75
2005-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
2005-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.16
2005-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2005-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2005-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55
2005-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2005-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55
2005-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2005-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55
2005-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55
2005-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55
2005-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25
2005-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15
2005-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.31
2005-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.54
2005-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.99
2005-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2005-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.11
2005-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.62
2005-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7
