,ALNSC FP Equity_DX_SI_QTY,ALNSC FP Equity_DX_SHORT_INTEREST_VALUE,ALNSC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALNSC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALNSC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALNSC FP Equity_DX_SI_MV,ALNSC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALNSC FP Equity_DX_SUPPLY_SI_QTY,ALNSC FP Equity_DX_BROKER_SI_QTY,ALNSC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALNSC FP Equity_DX_SUPPLY_SI_MV,ALNSC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALNSC FP Equity_DX_UTILIZATION_QUANTITY,ALNSC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALNSC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALNSC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALNSC FP Equity_DX_ACTIVE_UTILIZATION_MV,ALNSC FP Equity_DX_BROKER_SI_CON_RATIO,ALNSC FP Equity_DX_DEMAND_SUPPLY_RATIO,ALNSC FP Equity_PX_LAST
1990-02-22,,,,,,,,,,,,,,,,,,,,280.5062
1990-02-23,,,,,,,,,,,,,,,,,,,,282.0307
1990-02-26,,,,,,,,,,,,,,,,,,,,274.4082
1990-02-28,,,,,,,,,,,,,,,,,,,,274.4082
1990-03-01,,,,,,,,,,,,,,,,,,,,282.0307
1990-03-02,,,,,,,,,,,,,,,,,,,,285.0797
1990-03-06,,,,,,,,,,,,,,,,,,,,279.7439
1990-03-07,,,,,,,,,,,,,,,,,,,,283.0978
1990-03-08,,,,,,,,,,,,,,,,,,,,285.0797
1990-03-09,,,,,,,,,,,,,,,,,,,,294.2266
1990-03-12,,,,,,,,,,,,,,,,,,,,301.5442
1990-03-13,,,,,,,,,,,,,,,,,,,,292.7021
1990-03-14,,,,,,,,,,,,,,,,,,,,295.7511
1990-03-15,,,,,,,,,,,,,,,,,,,,301.2393
1990-03-16,,,,,,,,,,,,,,,,,,,,301.0868
1990-03-19,,,,,,,,,,,,,,,,,,,,298.8001
1990-03-20,,,,,,,,,,,,,,,,,,,,299.4099
1990-03-21,,,,,,,,,,,,,,,,,,,,299.2574
1990-03-22,,,,,,,,,,,,,,,,,,,,299.2574
1990-03-23,,,,,,,,,,,,,,,,,,,,299.2574
1990-03-27,,,,,,,,,,,,,,,,,,,,294.2266
1990-03-28,,,,,,,,,,,,,,,,,,,,294.0742
1990-03-29,,,,,,,,,,,,,,,,,,,,291.1776
1990-03-30,,,,,,,,,,,,,,,,,,,,289.6531
1990-04-02,,,,,,,,,,,,,,,,,,,,291.9399
1990-04-03,,,,,,,,,,,,,,,,,,,,293.007
1990-04-04,,,,,,,,,,,,,,,,,,,,289.6531
1990-04-05,,,,,,,,,,,,,,,,,,,,291.9399
1990-04-06,,,,,,,,,,,,,,,,,,,,293.1595
1990-04-09,,,,,,,,,,,,,,,,,,,,293.1595
1990-04-10,,,,,,,,,,,,,,,,,,,,293.4644
1990-04-11,,,,,,,,,,,,,,,,,,,,293.007
1990-05-09,,,,,,,,,,,,,,,,,,,,318.6184
1990-05-10,,,,,,,,,,,,,,,,,,,,319.9905
1990-05-11,,,,,,,,,,,,,,,,,,,,317.094
1990-05-14,,,,,,,,,,,,,,,,,,,,312.6729
1990-05-15,,,,,,,,,,,,,,,,,,,,312.5205
1990-05-16,,,,,,,,,,,,,,,,,,,,317.8562
1990-05-17,,,,,,,,,,,,,,,,,,,,310.2338
1990-05-18,,,,,,,,,,,,,,,,,,,,314.8072
1990-05-21,,,,,,,,,,,,,,,,,,,,315.5695
1990-05-22,,,,,,,,,,,,,,,,,,,,312.5205
1990-05-23,,,,,,,,,,,,,,,,,,,,312.5205
1990-05-25,,,,,,,,,,,,,,,,,,,,309.4715
1990-05-28,,,,,,,,,,,,,,,,,,,,309.4715
1990-05-29,,,,,,,,,,,,,,,,,,,,309.4715
1990-05-30,,,,,,,,,,,,,,,,,,,,310.996
1990-05-31,,,,,,,,,,,,,,,,,,,,310.996
1990-06-01,,,,,,,,,,,,,,,,,,,,310.996
1990-06-05,,,,,,,,,,,,,,,,,,,,310.996
1990-06-06,,,,,,,,,,,,,,,,,,,,310.8435
1990-06-07,,,,,,,,,,,,,,,,,,,,309.4715
1990-06-08,,,,,,,,,,,,,,,,,,,,304.898
1990-06-11,,,,,,,,,,,,,,,,,,,,304.898
1990-06-12,,,,,,,,,,,,,,,,,,,,303.6784
1990-06-13,,,,,,,,,,,,,,,,,,,,303.3735
1990-06-14,,,,,,,,,,,,,,,,,,,,303.3735
1990-06-15,,,,,,,,,,,,,,,,,,,,301.8491
1990-06-18,,,,,,,,,,,,,,,,,,,,300.3246
1990-06-19,,,,,,,,,,,,,,,,,,,,289.6531
1990-06-20,,,,,,,,,,,,,,,,,,,,289.6531
1990-06-21,,,,,,,,,,,,,,,,,,,,289.0433
1990-06-22,,,,,,,,,,,,,,,,,,,,289.3482
1990-06-25,,,,,,,,,,,,,,,,,,,,285.6895
1990-06-26,,,,,,,,,,,,,,,,,,,,285.8419
1990-06-27,,,,,,,,,,,,,,,,,,,,285.0797
1990-06-28,,,,,,,,,,,,,,,,,,,,285.537
1990-06-29,,,,,,,,,,,,,,,,,,,,280.3537
1990-07-02,,,,,,,,,,,,,,,,,,,,280.3537
1990-07-03,,,,,,,,,,,,,,,,,,,,278.2195
1990-07-04,,,,,,,,,,,,,,,,,,,,274.2558
1990-07-05,,,,,,,,,,,,,,,,,,,,271.3593
1990-07-06,,,,,,,,,,,,,,,,,,,,274.2558
1990-07-09,,,,,,,,,,,,,,,,,,,,274.2558
1990-07-10,,,,,,,,,,,,,,,,,,,,274.2558
1990-07-11,,,,,,,,,,,,,,,,,,,,271.3593
1990-07-12,,,,,,,,,,,,,,,,,,,,272.8837
1990-07-13,,,,,,,,,,,,,,,,,,,,272.8837
1990-07-16,,,,,,,,,,,,,,,,,,,,272.8837
1990-07-17,,,,,,,,,,,,,,,,,,,,272.8837
1990-07-18,,,,,,,,,,,,,,,,,,,,266.176
1990-07-19,,,,,,,,,,,,,,,,,,,,266.6333
1990-07-20,,,,,,,,,,,,,,,,,,,,269.8348
1990-07-23,,,,,,,,,,,,,,,,,,,,265.8711
1990-07-24,,,,,,,,,,,,,,,,,,,,266.0235
1990-07-26,,,,,,,,,,,,,,,,,,,,263.7368
1990-07-27,,,,,,,,,,,,,,,,,,,,263.7368
1990-07-30,,,,,,,,,,,,,,,,,,,,263.7368
1990-07-31,,,,,,,,,,,,,,,,,,,,259.3158
1990-08-01,,,,,,,,,,,,,,,,,,,,266.7858
1990-08-02,,,,,,,,,,,,,,,,,,,,259.1633
1990-08-03,,,,,,,,,,,,,,,,,,,,259.1633
1990-08-06,,,,,,,,,,,,,,,,,,,,248.7968
1990-08-07,,,,,,,,,,,,,,,,,,,,251.5409
1990-08-08,,,,,,,,,,,,,,,,,,,,248.4919
1990-08-09,,,,,,,,,,,,,,,,,,,,238.5827
1990-08-10,,,,,,,,,,,,,,,,,,,,236.296
1990-08-13,,,,,,,,,,,,,,,,,,,,236.296
1990-08-14,,,,,,,,,,,,,,,,,,,,236.296
1990-08-16,,,,,,,,,,,,,,,,,,,,229.2833
1990-08-17,,,,,,,,,,,,,,,,,,,,228.826
1990-08-20,,,,,,,,,,,,,,,,,,,,219.679
