,ETDD FP Equity_PX_LAST
2016-01-21,42.77
2016-01-22,43.93
2016-01-25,43.61
2016-01-26,44.06
2016-01-27,44.2
2016-01-28,43.34
2016-01-29,44.28
2016-02-01,43.97
2016-02-02,42.88
2016-02-03,42.13
2016-02-04,42.28
2016-02-05,41.9
2016-02-08,40.53
2016-02-09,39.82
2016-02-10,40.56
2016-02-11,39.02
2016-02-12,40.1
2016-02-15,41.24
2016-02-16,41.06
2016-02-17,42.16
2016-02-18,42.1
2016-02-19,41.77
2016-02-22,42.68
2016-02-23,42.01
2016-02-24,41.0
2016-02-25,41.85
2016-02-26,42.61
2016-02-29,42.87
2016-03-01,43.59
2016-03-02,43.97
2016-03-03,43.82
2016-03-04,44.19
2016-03-07,43.95
2016-03-08,43.69
2016-03-09,43.83
2016-03-10,43.23
2016-03-11,44.68
2016-03-14,44.97
2016-03-15,44.64
2016-03-16,44.54
2016-03-17,44.25
2016-03-18,44.535
2016-03-21,44.355
2016-03-22,44.395
2016-03-23,44.305
2016-03-24,43.495
2016-03-29,43.745
2016-03-30,44.295
2016-03-31,43.78
2016-04-01,42.995
2016-04-04,43.105
2016-04-05,42.095
2016-04-06,42.36
2016-04-07,41.855
2016-04-08,42.455
2016-04-11,42.645
2016-04-12,42.945
2016-04-13,44.355
2016-04-14,44.665
2016-04-15,44.575
2016-04-18,44.755
2016-04-19,45.44
2016-04-20,45.87
2016-04-21,46.045
2016-04-22,45.84
2016-04-25,45.525
2016-04-26,45.62
2016-04-27,45.765
2016-04-28,45.745
2016-04-29,44.38
2016-05-02,44.53
2016-05-03,43.695
2016-05-04,43.14
2016-05-05,43.265
2016-05-06,43.29
2016-05-09,43.55
2016-05-10,43.99
2016-05-11,43.66
2016-05-12,43.365
2016-05-13,43.71
2016-05-16,43.625
2016-05-17,43.505
2016-05-18,43.77
2016-05-19,43.245
2016-05-20,43.885
2016-05-23,43.575
2016-05-24,44.7
2016-05-25,45.485
2016-05-26,45.655
2016-05-27,45.785
2016-05-30,45.96
2016-05-31,45.54
2016-06-01,45.16
2016-06-02,45.16
2016-06-03,44.615
2016-06-06,44.755
2016-06-07,45.315
2016-06-08,45.005
2016-06-09,44.585
2016-06-10,43.405
2016-06-13,42.56
2016-06-14,41.71
2016-06-15,42.16
2016-06-16,42.015
2016-06-17,42.485
2016-06-20,43.915
2016-06-21,44.29
2016-06-22,44.435
2016-06-23,45.34
2016-06-24,41.43
2016-06-27,40.27
2016-06-28,41.175
2016-06-29,42.27
2016-06-30,42.76
2016-07-01,43.045
2016-07-04,42.74
2016-07-05,41.995
2016-07-06,41.24
2016-07-07,41.54
2016-07-08,42.38
2016-07-11,43.115
2016-07-12,43.81
2016-07-13,43.72
2016-07-14,44.265
2016-07-15,44.205
2016-07-18,44.065
2016-07-19,43.79
2016-07-20,44.325
2016-07-21,44.39
2016-07-22,44.4
2016-07-25,44.42
2016-07-26,44.5
2016-07-27,44.815
2016-07-28,44.34
2016-07-29,44.63
2016-08-01,44.345
2016-08-02,43.43
2016-08-03,43.495
2016-08-04,43.805
2016-08-05,44.505
2016-08-08,44.625
2016-08-09,45.32
2016-08-10,45.13
2016-08-11,45.59
2016-08-12,45.54
2016-08-15,45.55
2016-08-16,45.1
2016-08-17,44.56
2016-08-18,44.805
2016-08-19,44.42
2016-08-22,44.265
2016-08-23,44.755
2016-08-24,44.99
2016-08-25,44.705
2016-08-26,45.04
2016-08-29,44.855
2016-08-30,45.36
2016-08-31,45.215
2016-09-01,45.125
2016-09-02,46.06
2016-09-05,46.045
2016-09-06,45.9
2016-09-07,46.225
2016-09-08,46.1
2016-09-09,45.63
2016-09-12,45.0
2016-09-13,44.455
2016-09-14,44.31
2016-09-15,44.455
2016-09-16,43.85
2016-09-19,44.415
2016-09-20,44.36
2016-09-21,44.585
2016-09-22,45.635
2016-09-23,45.355
2016-09-26,44.53
2016-09-27,44.455
2016-09-28,44.735
2016-09-29,44.765
2016-09-30,44.96
2016-10-03,44.78
2016-10-04,45.31
2016-10-05,45.285
2016-10-06,45.24
2016-10-07,44.89
2016-10-10,45.42
2016-10-11,45.21
2016-10-12,45.035
2016-10-13,44.545
2016-10-14,45.27
2016-10-17,45.02
2016-10-18,45.61
2016-10-19,45.76
2016-10-20,46.055
2016-10-21,46.04
2016-10-24,46.33
2016-10-25,46.235
2016-10-26,46.165
2016-10-27,46.195
2016-10-28,46.11
2016-10-31,45.76
2016-11-01,45.275
2016-11-02,44.63
2016-11-03,44.52
2016-11-04,44.295
2016-11-07,45.095
2016-11-08,45.34
2016-11-09,45.81
2016-11-10,45.66
2016-11-11,45.375
2016-11-14,45.555
2016-11-15,45.775
2016-11-16,45.405
2016-11-17,45.61
2016-11-18,45.31
2016-11-21,45.51
2016-11-22,45.65
2016-11-23,45.47
2016-11-24,45.6
2016-11-25,45.71
2016-11-28,45.23
2016-11-29,45.61
2016-11-30,45.76
2016-12-01,45.45
2016-12-02,45.245
2016-12-05,45.815
2016-12-06,46.56
2016-12-07,47.15
2016-12-08,47.795
2016-12-09,47.99
2016-12-12,47.99
2016-12-13,48.56
2016-12-14,48.22
2016-12-15,48.755
2016-12-16,48.88
2016-12-19,48.9
2016-12-20,49.225
2016-12-21,49.11
2016-12-22,49.085
2016-12-23,49.145
2016-12-27,49.225
2016-12-28,49.215
2016-12-29,49.105
2016-12-30,49.33
2017-01-02,49.64
2017-01-03,49.78
2017-01-04,49.765
2017-01-05,49.8
2017-01-06,49.915
2017-01-09,49.735
2017-01-10,49.71
2017-01-11,49.77
2017-01-12,49.425
2017-01-13,49.96
2017-01-16,49.52
2017-01-17,49.38
2017-01-18,49.505
2017-01-19,49.43
2017-01-20,49.58
2017-01-23,49.14
2017-01-24,49.295
2017-01-25,49.985
2017-01-26,49.86
2017-01-27,49.66
2017-01-30,49.045
2017-01-31,48.595
2017-02-01,48.99
2017-02-02,48.985
2017-02-03,49.31
2017-02-06,48.74
2017-02-07,48.695
2017-02-08,48.71
2017-02-09,49.34
2017-02-10,49.23
2017-02-13,49.76
2017-02-14,49.79
2017-02-15,50.025
2017-02-16,49.815
2017-02-17,49.76
2017-02-20,49.85
2017-02-21,50.23
2017-02-22,50.27
2017-02-23,50.16
2017-02-24,49.735
2017-02-27,49.795
2017-02-28,49.935
2017-03-01,50.985
2017-03-02,50.915
2017-03-03,51.2
2017-03-06,50.94
2017-03-07,50.895
2017-03-08,50.985
2017-03-09,51.295
2017-03-10,51.385
2017-03-13,51.375
2017-03-14,51.155
2017-03-15,51.29
2017-03-16,51.75
2017-03-17,51.865
2017-03-20,51.745
2017-03-21,51.61
2017-03-22,51.495
2017-03-23,51.95
2017-03-24,51.885
2017-03-27,51.79
2017-03-28,52.215
2017-03-29,52.35
2017-03-30,52.53
2017-03-31,52.785
2017-04-03,52.445
2017-04-04,52.52
2017-04-05,52.385
2017-04-06,52.655
2017-04-07,52.745
2017-04-10,52.53
2017-04-11,52.365
2017-04-12,52.345
2017-04-13,52.005
2017-04-18,51.46
2017-04-19,51.63
2017-04-20,51.92
2017-04-21,51.87
2017-04-24,53.985
2017-04-25,54.125
2017-04-26,54.03
2017-04-27,53.81
2017-04-28,53.805
2017-05-02,54.18
2017-05-03,54.29
2017-05-04,55.0
2017-05-05,55.525
2017-05-08,55.32
2017-05-09,55.43
2017-05-10,55.45
2017-05-11,55.1
2017-05-12,55.385
2017-05-15,55.53
2017-05-16,55.59
2017-05-17,54.7
2017-05-18,54.34
2017-05-19,54.755
2017-05-22,54.65
2017-05-23,54.93
2017-05-24,54.79
2017-05-25,54.785
2017-05-26,54.695
2017-05-29,54.69
2017-05-30,54.46
2017-05-31,54.385
2017-06-01,54.65
2017-06-02,55.02
2017-06-05,54.775
2017-06-06,54.48
2017-06-07,54.395
2017-06-08,54.62
2017-06-09,54.96
2017-06-12,54.37
2017-06-13,54.56
2017-06-14,54.45
2017-06-15,54.08
2017-06-16,54.37
2017-06-19,54.98
2017-06-20,54.67
2017-06-21,54.54
2017-06-22,54.59
2017-06-23,54.385
2017-06-26,54.65
2017-06-27,54.3
2017-06-28,54.26
2017-06-29,53.25
2017-06-30,52.8
2017-07-03,53.605
2017-07-04,53.43
2017-07-05,53.415
2017-07-06,53.125
2017-07-07,53.17
2017-07-10,53.385
2017-07-11,53.195
2017-07-12,54.0
2017-07-13,54.16
2017-07-14,54.13
2017-07-17,54.02
2017-07-18,53.41
2017-07-19,53.745
2017-07-20,53.73
2017-07-21,52.975
2017-07-24,52.995
2017-07-25,53.34
2017-07-26,53.595
2017-07-27,53.63
2017-07-28,53.23
2017-07-31,52.96
2017-08-01,53.39
2017-08-02,53.12
2017-08-03,53.24
2017-08-04,53.89
2017-08-07,53.865
2017-08-08,54.03
2017-08-09,53.29
2017-08-10,52.745
2017-08-11,52.33
2017-08-14,53.08
2017-08-15,53.28
2017-08-16,53.58
2017-08-17,53.245
2017-08-18,53.01
2017-08-21,52.615
2017-08-22,53.1
2017-08-23,52.855
2017-08-24,52.95
2017-08-25,52.8
2017-08-28,52.57
2017-08-29,52.09
2017-08-30,52.28
2017-08-31,52.595
2017-09-01,52.93
2017-09-04,52.7
2017-09-05,52.56
2017-09-06,52.805
2017-09-07,52.995
2017-09-08,52.99
2017-09-11,53.68
2017-09-12,53.97
2017-09-13,54.15
2017-09-14,54.23
2017-09-15,53.99
2017-09-18,54.23
2017-09-19,54.24
2017-09-20,54.19
2017-09-21,54.38
2017-09-22,54.43
2017-09-25,54.37
2017-09-26,54.3
2017-09-27,54.68
2017-09-28,54.735
2017-09-29,55.225
2017-10-02,55.41
2017-10-03,55.49
2017-10-04,55.27
2017-10-05,55.555
2017-10-06,55.425
2017-10-09,55.53
2017-10-10,55.34
2017-10-11,55.47
2017-10-12,55.45
2017-10-13,55.46
2017-10-16,55.51
2017-10-17,55.49
2017-10-18,55.695
2017-10-19,55.4
2017-10-20,55.49
2017-10-23,55.535
2017-10-24,55.575
2017-10-25,55.225
2017-10-26,56.01
2017-10-27,56.27
2017-10-30,56.33
2017-10-31,56.67
2017-11-01,56.95
2017-11-02,56.77
2017-11-03,56.79
2017-11-06,56.71
2017-11-07,56.31
2017-11-08,56.245
2017-11-09,55.66
2017-11-10,55.305
2017-11-13,55.03
2017-11-14,54.72
2017-11-15,54.555
2017-11-16,54.86
2017-11-17,54.62
2017-11-20,54.78
2017-11-21,55.09
2017-11-22,54.85
2017-11-23,55.005
2017-11-24,55.16
2017-11-27,54.89
2017-11-28,55.175
2017-11-29,55.34
2017-11-30,54.98
2017-12-01,54.255
2017-12-04,55.02
2017-12-05,54.975
2017-12-06,54.78
2017-12-07,55.005
2017-12-08,55.315
2017-12-11,55.18
2017-12-12,55.42
2017-12-13,55.15
2017-12-14,54.745
2017-12-15,54.855
2017-12-18,55.635
2017-12-19,55.185
2017-12-20,54.72
2017-12-21,55.01
2017-12-22,54.74
2017-12-27,54.72
2017-12-28,54.305
2017-12-29,53.96
2018-01-02,53.83
2018-01-03,54.1
2018-01-04,55.03
2018-01-05,55.66
2018-01-08,55.79
2018-01-09,55.86
2018-01-10,55.64
2018-01-11,55.42
2018-01-12,55.71
2018-01-15,55.67
2018-01-16,55.8
2018-01-17,55.66
2018-01-18,55.79
2018-01-19,56.25
2018-01-22,56.46
2018-01-23,56.61
2018-01-24,56.17
2018-01-25,55.95
2018-01-26,56.22
2018-01-29,56.15
2018-01-30,55.59
2018-01-31,55.65
2018-02-01,55.18
2018-02-02,54.4
2018-02-05,53.72
2018-02-06,52.23
2018-02-07,53.31
2018-02-08,52.08
2018-02-09,51.22
2018-02-12,52.04
2018-02-13,51.64
2018-02-14,52.04
2018-02-15,52.4
2018-02-16,52.97
2018-02-19,52.62
2018-02-20,53.03
2018-02-21,53.01
2018-02-22,53.08
2018-02-23,53.17
2018-02-26,53.51
2018-02-27,53.41
2018-02-28,53.14
2018-03-01,52.45
2018-03-02,51.3
2018-03-05,51.82
2018-03-06,51.84
2018-03-07,52.16
2018-03-08,52.72
2018-03-09,52.82
2018-03-12,53.04
2018-03-13,52.47
2018-03-14,52.37
2018-03-15,52.75
2018-03-16,53.07
2018-03-19,52.42
2018-03-20,52.7
2018-03-21,52.53
2018-03-22,51.69
2018-03-23,50.88
2018-03-26,50.64
2018-03-27,51.26
2018-03-28,51.41
2018-03-29,51.95
2018-04-03,51.73
2018-04-04,51.6
2018-04-05,53.0
2018-04-06,52.76
2018-04-09,52.86
2018-04-10,53.21
2018-04-11,52.95
2018-04-12,53.29
2018-04-13,53.4
2018-04-16,53.32
2018-04-17,53.92
2018-04-18,54.12
2018-04-19,54.05
2018-04-20,54.18
2018-04-23,54.45
2018-04-24,54.42
2018-04-25,54.11
2018-04-26,54.49
2018-04-27,54.68
2018-04-30,55.0
2018-05-02,55.3
2018-05-03,54.96
2018-05-04,55.34
2018-05-07,55.65
2018-05-08,55.57
2018-05-09,55.73
2018-05-10,55.83
2018-05-11,55.85
2018-05-14,55.84
2018-05-15,55.82
2018-05-16,55.81
2018-05-17,56.22
2018-05-18,56.05
2018-05-21,56.18
2018-05-22,56.39
2018-05-23,55.61
2018-05-24,55.27
2018-05-25,55.19
2018-05-28,54.78
2018-05-29,53.91
2018-05-30,54.27
2018-05-31,53.74
2018-06-01,54.47
2018-06-04,54.71
2018-06-05,54.57
2018-06-06,54.6
2018-06-07,54.61
2018-06-08,54.37
2018-06-11,54.96
2018-06-12,54.9
2018-06-13,54.95
2018-06-14,55.77
2018-06-15,55.37
2018-06-18,54.73
2018-06-19,54.23
2018-06-20,54.34
2018-06-21,53.75
2018-06-22,54.39
2018-06-25,53.21
2018-06-26,53.17
2018-06-27,53.65
2018-06-28,53.15
2018-06-29,53.64
2018-07-02,53.24
2018-07-03,53.81
2018-07-06,9.076
2018-07-09,9.118
2018-07-10,9.15
2018-07-11,9.017
2018-07-12,9.076
2018-07-13,9.098
2018-07-16,9.085
2018-07-17,9.108
2018-07-18,9.182
2018-07-19,9.147
2018-07-20,9.115
2018-07-23,9.102
2018-07-24,9.18
2018-07-25,9.135
2018-07-26,9.253
2018-07-27,9.291
2018-07-30,9.258
2018-07-31,9.297
2018-08-01,9.25
2018-08-02,9.14
2018-08-03,9.188
2018-08-06,9.193
2018-08-07,9.241
2018-08-08,9.217
2018-08-09,9.217
2018-08-10,9.037
2018-08-13,8.998
2018-08-14,8.995
2018-08-15,8.842
2018-08-16,8.912
2018-08-17,8.894
2018-08-20,8.955
2018-08-21,9.004
2018-08-22,9.027
2018-08-23,9.024
2018-08-24,9.048
2018-08-27,9.12
2018-08-28,9.105
2018-08-29,9.114
2018-08-30,9.054
2018-08-31,8.958
2018-09-03,8.957
2018-09-04,8.861
2018-09-05,8.748
2018-09-06,8.699
2018-09-07,8.684
2018-09-10,8.731
2018-09-11,8.737
2018-09-12,8.778
2018-09-13,8.801
2018-09-14,8.822
2018-09-17,8.83
2018-09-18,8.858
2018-09-19,8.885
2018-09-20,8.988
2018-09-21,9.049
2018-09-24,8.994
2018-09-25,9.03
2018-09-26,9.064
2018-09-27,9.106
2018-09-28,8.972
2018-10-01,9.014
2018-10-02,8.951
2018-10-03,9.008
2018-10-04,8.911
2018-10-05,8.823
2018-10-08,8.733
2018-10-09,8.772
2018-10-10,8.629
2018-10-11,8.475
2018-10-12,8.437
2018-10-15,8.478
2018-10-16,8.601
2018-10-17,8.566
2018-10-18,8.489
2018-10-19,8.48
2018-10-22,8.425
2018-10-23,8.297
2018-10-24,8.265
2018-10-25,8.354
2018-10-26,8.281
2018-10-29,8.33
2018-10-30,8.308
2018-10-31,8.445
2018-11-01,8.463
2018-11-02,8.483
2018-11-05,8.501
2018-11-06,8.472
2018-11-07,8.577
2018-11-08,8.553
2018-11-09,8.532
2018-11-12,8.435
2018-11-13,8.518
2018-11-14,8.467
2018-11-15,8.43
2018-11-16,8.405
2018-11-19,8.347
2018-11-20,8.229
2018-11-21,8.332
2018-11-22,8.258
2018-11-23,8.287
2018-11-26,8.385
2018-11-27,8.369
2018-11-28,8.374
2018-11-29,8.39
2018-11-30,8.382
2018-12-03,8.495
2018-12-04,8.432
2018-12-05,8.326
2018-12-06,8.051
2018-12-07,8.094
2018-12-10,7.973
2018-12-11,8.083
2018-12-12,8.221
2018-12-13,8.227
2018-12-14,8.18
2018-12-17,8.1
2018-12-18,8.052
2018-12-19,8.083
2018-12-20,7.942
2018-12-21,7.95
2018-12-24,7.807
2018-12-27,7.795
2018-12-28,7.915
2018-12-31,7.996
2019-01-02,7.92
2019-01-03,7.816
2019-01-04,8.06
2019-01-07,8.022
2019-01-08,8.081
2019-01-09,8.14
2019-01-10,8.147
2019-01-11,8.127
2019-01-14,8.094
2019-01-15,8.119
2019-01-16,8.159
2019-01-17,8.133
2019-01-18,8.298
2019-01-21,8.281
2019-01-22,8.247
2019-01-23,8.239
2019-01-24,8.277
2019-01-25,8.386
2019-01-28,8.307
2019-01-29,8.347
2019-01-30,8.382
2019-01-31,8.385
2019-02-01,8.411
2019-02-04,8.394
2019-02-05,8.537
2019-02-06,8.531
2019-02-07,8.379
2019-02-08,8.323
2019-02-11,8.403
2019-02-12,8.475
2019-02-13,8.501
2019-02-14,8.448
2019-02-15,8.595
2019-02-18,8.617
2019-02-19,8.605
2019-02-20,8.658
2019-02-21,8.658
2019-02-22,8.675
2019-02-25,8.701
2019-02-26,8.724
2019-02-27,8.706
2019-02-28,8.756
2019-03-01,8.782
2019-03-04,8.813
2019-03-05,8.843
2019-03-06,8.829
2019-03-07,8.791
2019-03-08,8.724
2019-03-11,8.772
2019-03-12,8.761
2019-03-13,8.819
2019-03-14,8.872
2019-03-15,8.99
2019-03-18,8.99
2019-03-19,9.053
2019-03-20,8.949
2019-03-21,8.944
2019-03-22,8.777
2019-03-25,8.765
2019-03-26,8.816
2019-03-27,8.832
2019-03-28,8.826
2019-03-29,8.901
2019-04-01,8.999
2019-04-02,9.037
2019-04-03,9.157
2019-04-04,9.158
2019-04-05,9.175
2019-04-08,9.151
2019-04-09,9.103
2019-04-10,9.119
2019-04-11,9.145
2019-04-12,9.182
2019-04-15,9.187
2019-04-16,9.228
2019-04-17,9.26
2019-04-18,9.315
2019-04-23,9.331
2019-04-24,9.323
2019-04-25,9.326
2019-04-26,9.341
2019-04-29,9.359
2019-04-30,9.385
2019-05-02,9.341
2019-05-03,9.377
2019-05-06,9.284
2019-05-07,9.12
2019-05-08,9.154
2019-05-09,9.015
2019-05-10,9.034
2019-05-13,8.936
2019-05-14,9.05
2019-05-15,9.133
2019-05-16,9.27
2019-05-17,9.242
2019-05-20,9.118
2019-05-21,9.158
2019-05-22,9.168
2019-05-23,9.011
2019-05-24,9.09
2019-05-27,9.121
2019-05-28,9.057
2019-05-29,8.93
2019-05-30,9.011
2019-05-31,8.9
2019-06-03,8.946
2019-06-04,9.051
2019-06-05,9.065
2019-06-06,9.067
2019-06-07,9.182
2019-06-10,9.202
2019-06-11,9.225
2019-06-12,9.209
2019-06-13,9.217
2019-06-14,9.184
2019-06-17,9.198
2019-06-18,9.384
2019-06-19,9.374
2019-06-20,9.411
2019-06-21,9.409
2019-06-24,9.379
2019-06-25,9.355
2019-06-26,9.345
2019-06-27,9.345
2019-06-28,9.425
2019-07-01,9.491
2019-07-02,9.533
2019-07-03,9.612
2019-07-04,9.639
2019-07-05,9.596
2019-07-08,9.583
2019-07-09,9.541
2019-07-10,9.519
2019-07-11,9.511
2019-07-12,9.505
2019-07-15,9.52
2019-07-16,9.576
2019-07-17,9.514
2019-07-18,9.463
2019-07-19,9.456
2019-07-22,9.503
2019-07-23,9.621
2019-07-24,9.611
2019-07-25,9.546
2019-07-26,9.592
2019-07-29,9.578
2019-07-30,9.422
2019-07-31,9.42
2019-08-01,9.494
2019-08-02,9.174
2019-08-05,9.008
2019-08-06,8.947
2019-08-07,8.992
2019-08-08,9.193
2019-08-09,9.062
2019-08-12,9.05
2019-08-13,9.132
2019-08-14,8.943
2019-08-15,8.916
2019-08-16,9.058
2019-08-19,9.171
2019-08-20,9.117
2019-08-21,9.237
2019-08-22,9.178
2019-08-23,9.065
2019-08-26,9.111
2019-08-27,9.141
2019-08-28,9.161
2019-08-29,9.276
2019-08-30,9.331
2019-09-02,9.342
2019-09-03,9.279
2019-09-04,9.381
2019-09-05,9.48
2019-09-06,9.503
2019-09-09,9.503
2019-09-10,9.513
2019-09-11,9.572
2019-09-12,9.631
2019-09-13,9.656
2019-09-16,9.57
2019-09-17,9.577
2019-09-18,9.602
2019-09-19,9.661
2019-09-20,9.715
2019-09-23,9.631
2019-09-24,9.611
2019-09-25,9.553
2019-09-26,9.611
2019-09-27,9.655
2019-09-30,9.728
2019-10-01,9.586
2019-10-02,9.292
2019-10-03,9.307
2019-10-04,9.383
2019-10-07,9.464
2019-10-08,9.359
2019-10-09,9.428
2019-10-10,9.516
2019-10-11,9.721
2019-10-14,9.685
2019-10-15,9.816
2019-10-16,9.807
2019-10-17,9.784
2019-10-18,9.75
2019-10-21,9.812
2019-10-22,9.822
2019-10-23,9.83
2019-10-24,9.862
2019-10-25,9.88
2019-10-28,9.888
2019-10-29,9.874
2019-10-30,9.876
2019-10-31,9.834
2019-11-01,9.883
2019-11-04,9.997
2019-11-05,10.024
2019-11-06,10.064
2019-11-07,10.116
2019-11-08,10.092
2019-11-11,10.096
2019-11-12,10.13
2019-11-13,10.096
2019-11-14,10.062
2019-11-15,10.124
2019-11-18,10.108
2019-11-19,10.086
2019-11-20,10.052
2019-11-21,10.052
2019-11-22,10.056
2019-11-25,10.11
2019-11-26,10.106
2019-11-27,10.126
2019-11-28,10.1
2019-11-29,10.1
2019-12-02,9.896
2019-12-03,9.853
2019-12-04,10.004
2019-12-05,9.962
2019-12-06,10.086
2019-12-09,10.024
2019-12-10,10.028
2019-12-11,10.068
2019-12-12,10.124
2019-12-13,10.19
2019-12-16,10.304
2019-12-17,10.23
2019-12-18,10.21
2019-12-19,10.214
2019-12-20,10.298
2019-12-23,10.316
2019-12-24,10.338
2019-12-27,10.33
2019-12-30,10.204
2019-12-31,10.208
2020-01-02,10.356
2020-01-03,10.298
2020-01-06,10.254
2020-01-07,10.264
2020-01-08,10.3
2020-01-09,10.368
2020-01-10,10.35
2020-01-13,10.328
2020-01-14,10.308
2020-01-15,10.296
2020-01-16,10.31
2020-01-17,10.398
2020-01-20,10.382
2020-01-21,10.352
2020-01-22,10.316
2020-01-23,10.21
2020-01-24,10.32
2020-01-27,10.046
2020-01-28,10.164
2020-01-29,10.212
2020-01-30,10.078
2020-01-31,9.959
2020-02-03,10.002
2020-02-04,10.196
2020-02-05,10.324
2020-02-06,10.402
2020-02-07,10.388
2020-02-10,10.374
2020-02-11,10.464
2020-02-12,10.538
2020-02-13,10.518
2020-02-14,10.504
2020-02-17,10.534
2020-02-18,10.492
2020-02-19,10.566
2020-02-20,10.466
2020-02-21,10.394
2020-02-24,9.982
2020-02-25,9.779
2020-02-26,9.79
2020-02-27,9.454
2020-02-28,9.083
2020-03-02,9.134
2020-03-03,9.242
2020-03-04,9.373
2020-03-05,9.218
2020-03-06,8.849
2020-03-09,8.109
2020-03-10,7.97
2020-03-11,7.947
2020-03-12,6.985
2020-03-13,7.074
2020-03-16,6.712
2020-03-17,6.921
2020-03-18,6.547
2020-03-19,6.723
2020-03-20,6.984
2020-03-23,6.805
2020-03-24,7.477
2020-03-25,7.704
2020-03-26,7.786
2020-03-27,7.491
2020-03-30,7.572
2020-03-31,7.649
2020-04-01,7.352
2020-04-02,7.361
2020-04-03,7.305
2020-04-06,7.669
2020-04-07,7.85
2020-04-08,7.82
2020-04-09,7.926
2020-04-14,8.022
2020-04-15,7.7
2020-04-16,7.708
2020-04-17,7.905
2020-04-20,7.976
2020-04-21,7.653
2020-04-22,7.781
2020-04-23,7.825
2020-04-24,7.704
2020-04-27,7.903
2020-04-28,8.038
2020-04-29,8.221
2020-04-30,8.043
2020-05-04,7.746
2020-05-05,7.931
2020-05-06,7.843
2020-05-07,7.946
2020-05-08,8.022
2020-05-11,7.974
2020-05-12,7.966
2020-05-13,7.758
2020-05-14,7.627
2020-05-15,7.663
2020-05-18,8.05
2020-05-19,8.036
2020-05-20,8.141
2020-05-21,8.044
2020-05-22,8.037
2020-05-25,8.229
2020-05-26,8.301
2020-05-27,8.438
2020-05-28,8.57
2020-05-29,8.441
2020-06-01,8.591
2020-06-02,8.728
2020-06-03,9.05
2020-06-04,9.03
2020-06-05,9.364
2020-06-08,9.325
2020-06-09,9.192
2020-06-10,9.119
2020-06-11,8.708
2020-06-12,8.729
2020-06-15,8.693
2020-06-16,8.967
2020-06-17,9.04
2020-06-18,8.993
2020-06-19,9.056
2020-06-22,8.989
2020-06-23,9.154
2020-06-24,8.862
2020-06-25,8.933
2020-06-26,8.895
2020-06-29,8.984
2020-06-30,8.977
2020-07-01,8.961
2020-07-02,9.22
2020-07-03,9.16
2020-07-06,9.317
2020-07-07,9.247
2020-07-08,9.148
2020-07-09,9.085
2020-07-10,9.17
2020-07-13,9.331
2020-07-14,9.245
2020-07-15,9.412
2020-07-16,9.375
