,ALEXA FP Equity_DX_SI_QTY,ALEXA FP Equity_DX_SHORT_INTEREST_VALUE,ALEXA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALEXA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALEXA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALEXA FP Equity_DX_SI_MV,ALEXA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALEXA FP Equity_DX_SUPPLY_SI_QTY,ALEXA FP Equity_DX_BROKER_SI_QTY,ALEXA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALEXA FP Equity_DX_SUPPLY_SI_MV,ALEXA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALEXA FP Equity_DX_UTILIZATION_QUANTITY,ALEXA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALEXA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALEXA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALEXA FP Equity_DX_ACTIVE_UTILIZATION_MV,ALEXA FP Equity_DX_BROKER_SI_CON_RATIO,ALEXA FP Equity_DX_DEMAND_SUPPLY_RATIO,ALEXA FP Equity_PX_LAST
1992-03-02,,,,,,,,,,,,,,,,,,,,527.626
1992-03-06,,,,,,,,,,,,,,,,,,,,541.194
1992-03-10,,,,,,,,,,,,,,,,,,,,545.7675
1992-03-16,,,,,,,,,,,,,,,,,,,,534.1814
1992-03-18,,,,,,,,,,,,,,,,,,,,533.724
1992-03-26,,,,,,,,,,,,,,,,,,,,533.8765
1992-03-31,,,,,,,,,,,,,,,,,,,,567.2628
1992-04-08,,,,,,,,,,,,,,,,,,,,545.7675
1992-04-09,,,,,,,,,,,,,,,,,,,,545.7675
1992-04-10,,,,,,,,,,,,,,,,,,,,544.5479
1992-04-13,,,,,,,,,,,,,,,,,,,,545.9199
1992-04-14,,,,,,,,,,,,,,,,,,,,545.9199
1992-04-15,,,,,,,,,,,,,,,,,,,,570.1593
1992-04-16,,,,,,,,,,,,,,,,,,,,567.1103
1992-04-23,,,,,,,,,,,,,,,,,,,,548.8165
1992-04-28,,,,,,,,,,,,,,,,,,,,548.8165
1992-04-29,,,,,,,,,,,,,,,,,,,,548.664
1992-04-30,,,,,,,,,,,,,,,,,,,,534.4863
1992-05-04,,,,,,,,,,,,,,,,,,,,534.4863
1992-05-14,,,,,,,,,,,,,,,,,,,,536.4681
1992-05-19,,,,,,,,,,,,,,,,,,,,536.6205
1992-05-20,,,,,,,,,,,,,,,,,,,,536.4681
1992-05-21,,,,,,,,,,,,,,,,,,,,548.8165
1992-05-25,,,,,,,,,,,,,,,,,,,,548.9689
1992-05-26,,,,,,,,,,,,,,,,,,,,576.2573
1992-05-27,,,,,,,,,,,,,,,,,,,,548.8165
1992-06-01,,,,,,,,,,,,,,,,,,,,548.8165
1992-06-02,,,,,,,,,,,,,,,,,,,,548.8165
1992-06-03,,,,,,,,,,,,,,,,,,,,548.8165
1992-06-09,,,,,,,,,,,,,,,,,,,,533.5716
1992-06-11,,,,,,,,,,,,,,,,,,,,525.9491
1992-06-16,,,,,,,,,,,,,,,,,,,,525.7967
1992-06-22,,,,,,,,,,,,,,,,,,,,475.0311
1992-06-23,,,,,,,,,,,,,,,,,,,,523.5099
1992-06-24,,,,,,,,,,,,,,,,,,,,525.6442
1992-06-25,,,,,,,,,,,,,,,,,,,,475.6409
1992-06-26,,,,,,,,,,,,,,,,,,,,477.4703
1992-06-29,,,,,,,,,,,,,,,,,,,,524.4246
1992-06-30,,,,,,,,,,,,,,,,,,,,524.4246
1992-07-20,,,,,,,,,,,,,,,,,,,,490.1236
1992-07-21,,,,,,,,,,,,,,,,,,,,490.1236
1992-07-22,,,,,,,,,,,,,,,,,,,,490.1236
1992-07-24,,,,,,,,,,,,,,,,,,,,490.1236
1992-07-28,,,,,,,,,,,,,,,,,,,,490.1236
1992-07-29,,,,,,,,,,,,,,,,,,,,475.7934
1992-07-30,,,,,,,,,,,,,,,,,,,,487.9893
1992-07-31,,,,,,,,,,,,,,,,,,,,487.8369
1992-08-03,,,,,,,,,,,,,,,,,,,,463.445
1992-08-13,,,,,,,,,,,,,,,,,,,,460.7009
1992-08-14,,,,,,,,,,,,,,,,,,,,487.8369
1992-08-28,,,,,,,,,,,,,,,,,,,,486.1599
1992-09-03,,,,,,,,,,,,,,,,,,,,484.7879
1992-09-04,,,,,,,,,,,,,,,,,,,,484.7879
1992-09-08,,,,,,,,,,,,,,,,,,,,471.0675
1992-09-09,,,,,,,,,,,,,,,,,,,,471.0675
1992-09-15,,,,,,,,,,,,,,,,,,,,451.2491
1992-09-16,,,,,,,,,,,,,,,,,,,,449.4197
1992-09-17,,,,,,,,,,,,,,,,,,,,434.4797
1992-09-21,,,,,,,,,,,,,,,,,,,,449.4197
1992-09-22,,,,,,,,,,,,,,,,,,,,437.5287
1992-09-29,,,,,,,,,,,,,,,,,,,,437.5287
1992-10-01,,,,,,,,,,,,,,,,,,,,442.407
1992-10-02,,,,,,,,,,,,,,,,,,,,442.407
1992-10-05,,,,,,,,,,,,,,,,,,,,440.5777
1992-10-06,,,,,,,,,,,,,,,,,,,,443.6266
1992-10-07,,,,,,,,,,,,,,,,,,,,442.1021
1992-10-08,,,,,,,,,,,,,,,,,,,,457.3471
1992-10-15,,,,,,,,,,,,,,,,,,,,442.1021
1992-10-19,,,,,,,,,,,,,,,,,,,,439.0532
1992-10-20,,,,,,,,,,,,,,,,,,,,442.1021
1992-10-23,,,,,,,,,,,,,,,,,,,,442.1021
1992-10-27,,,,,,,,,,,,,,,,,,,,439.0532
1992-10-28,,,,,,,,,,,,,,,,,,,,442.1021
1992-10-30,,,,,,,,,,,,,,,,,,,,437.5287
1992-11-03,,,,,,,,,,,,,,,,,,,,472.592
1992-11-05,,,,,,,,,,,,,,,,,,,,449.7246
1992-11-10,,,,,,,,,,,,,,,,,,,,450.1819
1992-11-12,,,,,,,,,,,,,,,,,,,,434.4797
1992-11-16,,,,,,,,,,,,,,,,,,,,396.5199
1992-11-17,,,,,,,,,,,,,,,,,,,,437.0713
1992-11-18,,,,,,,,,,,,,,,,,,,,442.1021
1992-11-19,,,,,,,,,,,,,,,,,,,,450.1819
1992-11-23,,,,,,,,,,,,,,,,,,,,442.1021
1992-11-24,,,,,,,,,,,,,,,,,,,,457.3471
1992-11-26,,,,,,,,,,,,,,,,,,,,457.3471
1992-11-27,,,,,,,,,,,,,,,,,,,,450.9442
1992-11-30,,,,,,,,,,,,,,,,,,,,457.3471
1992-12-01,,,,,,,,,,,,,,,,,,,,434.4797
1992-12-07,,,,,,,,,,,,,,,,,,,,435.3944
1992-12-08,,,,,,,,,,,,,,,,,,,,456.5848
1992-12-11,,,,,,,,,,,,,,,,,,,,445.9134
1992-12-17,,,,,,,,,,,,,,,,,,,,434.6321
1992-12-18,,,,,,,,,,,,,,,,,,,,442.1021
1992-12-31,,,,,,,,,,,,,,,,,,,,442.407
1993-01-06,,,,,,,,,,,,,,,,,,,,456.7373
1993-01-08,,,,,,,,,,,,,,,,,,,,442.1021
1993-01-11,,,,,,,,,,,,,,,,,,,,456.7373
1993-01-13,,,,,,,,,,,,,,,,,,,,434.0224
1993-01-14,,,,,,,,,,,,,,,,,,,,442.1021
1993-01-15,,,,,,,,,,,,,,,,,,,,442.1021
1993-01-27,,,,,,,,,,,,,,,,,,,,442.407
1993-02-02,,,,,,,,,,,,,,,,,,,,399.4164
1993-02-03,,,,,,,,,,,,,,,,,,,,432.9552
1993-02-08,,,,,,,,,,,,,,,,,,,,457.3471
1993-02-10,,,,,,,,,,,,,,,,,,,,457.3471
1993-02-16,,,,,,,,,,,,,,,,,,,,451.2491
1993-02-17,,,,,,,,,,,,,,,,,,,,451.2491
1993-02-18,,,,,,,,,,,,,,,,,,,,457.3471
1993-02-19,,,,,,,,,,,,,,,,,,,,451.2491
1993-02-22,,,,,,,,,,,,,,,,,,,,451.2491
1993-02-23,,,,,,,,,,,,,,,,,,,,454.2981
1993-02-26,,,,,,,,,,,,,,,,,,,,457.3471
1993-03-03,,,,,,,,,,,,,,,,,,,,455.8226
1993-03-04,,,,,,,,,,,,,,,,,,,,455.8226
1993-03-05,,,,,,,,,,,,,,,,,,,,456.5848
1993-03-08,,,,,,,,,,,,,,,,,,,,456.5848
1993-03-16,,,,,,,,,,,,,,,,,,,,432.9552
1993-03-17,,,,,,,,,,,,,,,,,,,,432.9552
1993-03-19,,,,,,,,,,,,,,,,,,,,462.2254
1993-03-22,,,,,,,,,,,,,,,,,,,,461.9205
1993-03-25,,,,,,,,,,,,,,,,,,,,458.1093
1993-03-26,,,,,,,,,,,,,,,,,,,,456.7373
1993-03-29,,,,,,,,,,,,,,,,,,,,462.6828
1993-04-02,,,,,,,,,,,,,,,,,,,,480.2144
1993-04-05,,,,,,,,,,,,,,,,,,,,480.2144
1993-04-08,,,,,,,,,,,,,,,,,,,,487.8369
1993-04-14,,,,,,,,,,,,,,,,,,,,537.3828
1993-04-15,,,,,,,,,,,,,,,,,,,,536.6205
1993-04-16,,,,,,,,,,,,,,,,,,,,536.6205
1993-04-20,,,,,,,,,,,,,,,,,,,,495.4593
1993-04-21,,,,,,,,,,,,,,,,,,,,495.4593
1993-04-27,,,,,,,,,,,,,,,,,,,,458.8715
1993-04-30,,,,,,,,,,,,,,,,,,,,459.6338
1993-05-04,,,,,,,,,,,,,,,,,,,,472.592
1993-05-05,,,,,,,,,,,,,,,,,,,,472.592
1993-05-07,,,,,,,,,,,,,,,,,,,,460.396
1993-05-13,,,,,,,,,,,,,,,,,,,,460.396
1993-05-14,,,,,,,,,,,,,,,,,,,,471.8297
1993-05-17,,,,,,,,,,,,,,,,,,,,472.592
1993-05-18,,,,,,,,,,,,,,,,,,,,472.592
1993-05-19,,,,,,,,,,,,,,,,,,,,495.4593
1993-05-24,,,,,,,,,,,,,,,,,,,,494.6971
1993-05-26,,,,,,,,,,,,,,,,,,,,469.543
1993-05-27,,,,,,,,,,,,,,,,,,,,458.8715
1993-06-02,,,,,,,,,,,,,,,,,,,,457.3471
1993-06-03,,,,,,,,,,,,,,,,,,,,464.9695
1993-06-07,,,,,,,,,,,,,,,,,,,,464.9695
1993-06-09,,,,,,,,,,,,,,,,,,,,457.3471
1993-06-10,,,,,,,,,,,,,,,,,,,,457.3471
1993-06-14,,,,,,,,,,,,,,,,,,,,457.3471
1993-06-15,,,,,,,,,,,,,,,,,,,,457.3471
1993-06-25,,,,,,,,,,,,,,,,,,,,471.0675
1993-06-29,,,,,,,,,,,,,,,,,,,,457.3471
1993-06-30,,,,,,,,,,,,,,,,,,,,457.3471
1993-07-01,,,,,,,,,,,,,,,,,,,,457.1946
1993-07-02,,,,,,,,,,,,,,,,,,,,457.3471
1993-07-05,,,,,,,,,,,,,,,,,,,,434.4797
1993-07-06,,,,,,,,,,,,,,,,,,,,434.4797
1993-07-12,,,,,,,,,,,,,,,,,,,,445.1511
1993-07-13,,,,,,,,,,,,,,,,,,,,433.1077
1993-07-16,,,,,,,,,,,,,,,,,,,,453.5358
1993-07-19,,,,,,,,,,,,,,,,,,,,457.3471
1993-07-20,,,,,,,,,,,,,,,,,,,,457.4995
1993-07-23,,,,,,,,,,,,,,,,,,,,457.3471
1993-07-26,,,,,,,,,,,,,,,,,,,,457.3471
1993-07-27,,,,,,,,,,,,,,,,,,,,457.3471
1993-07-29,,,,,,,,,,,,,,,,,,,,457.4995
1993-07-30,,,,,,,,,,,,,,,,,,,,458.1093
1993-08-03,,,,,,,,,,,,,,,,,,,,472.7444
1993-08-04,,,,,,,,,,,,,,,,,,,,465.7317
1993-08-05,,,,,,,,,,,,,,,,,,,,465.8842
1993-08-06,,,,,,,,,,,,,,,,,,,,458.2617
1993-08-09,,,,,,,,,,,,,,,,,,,,472.592
1993-08-10,,,,,,,,,,,,,,,,,,,,466.3415
1993-08-11,,,,,,,,,,,,,,,,,,,,472.592
1993-08-12,,,,,,,,,,,,,,,,,,,,466.494
1993-08-13,,,,,,,,,,,,,,,,,,,,466.494
1993-08-17,,,,,,,,,,,,,,,,,,,,466.494
1993-08-18,,,,,,,,,,,,,,,,,,,,466.494
1993-08-19,,,,,,,,,,,,,,,,,,,,472.592
1993-08-20,,,,,,,,,,,,,,,,,,,,472.592
1993-08-23,,,,,,,,,,,,,,,,,,,,472.7444
1993-08-25,,,,,,,,,,,,,,,,,,,,473.0493
1993-08-26,,,,,,,,,,,,,,,,,,,,487.8369
1993-08-27,,,,,,,,,,,,,,,,,,,,537.8401
1993-08-30,,,,,,,,,,,,,,,,,,,,536.6205
1993-09-03,,,,,,,,,,,,,,,,,,,,489.3613
1993-09-14,,,,,,,,,,,,,,,,,,,,493.1726
1993-09-15,,,,,,,,,,,,,,,,,,,,493.9348
1993-09-20,,,,,,,,,,,,,,,,,,,,495.4593
1993-09-23,,,,,,,,,,,,,,,,,,,,495.4593
1993-09-27,,,,,,,,,,,,,,,,,,,,503.0818
1993-09-28,,,,,,,,,,,,,,,,,,,,503.0818
1993-09-29,,,,,,,,,,,,,,,,,,,,512.2287
1993-09-30,,,,,,,,,,,,,,,,,,,,518.3267
1993-10-01,,,,,,,,,,,,,,,,,,,,103.8178
1993-10-05,,,,,,,,,,,,,,,,,,,,106.7143
1993-10-06,,,,,,,,,,,,,,,,,,,,96.3478
1993-10-07,,,,,,,,,,,,,,,,,,,,96.6527
1993-10-08,,,,,,,,,,,,,,,,,,,,103.6653
1993-10-11,,,,,,,,,,,,,,,,,,,,99.0919
1993-10-13,,,,,,,,,,,,,,,,,,,,99.0919
1993-10-14,,,,,,,,,,,,,,,,,,,,99.0919
1993-10-15,,,,,,,,,,,,,,,,,,,,99.0919
1993-10-18,,,,,,,,,,,,,,,,,,,,99.0919
1993-10-19,,,,,,,,,,,,,,,,,,,,99.3968
1993-10-20,,,,,,,,,,,,,,,,,,,,96.9576
1993-10-22,,,,,,,,,,,,,,,,,,,,105.6472
1993-10-25,,,,,,,,,,,,,,,,,,,,109.4584
1993-10-27,,,,,,,,,,,,,,,,,,,,109.7633
1993-10-28,,,,,,,,,,,,,,,,,,,,114.3368
1993-10-29,,,,,,,,,,,,,,,,,,,,118.9102
1993-11-02,,,,,,,,,,,,,,,,,,,,122.7215
1993-11-03,,,,,,,,,,,,,,,,,,,,127.9047
1993-11-04,,,,,,,,,,,,,,,,,,,,124.2459
1993-11-05,,,,,,,,,,,,,,,,,,,,126.5327
1993-11-08,,,,,,,,,,,,,,,,,,,,124.7033
1993-11-09,,,,,,,,,,,,,,,,,,,,126.5327
1993-11-10,,,,,,,,,,,,,,,,,,,,125.7704
1993-11-11,,,,,,,,,,,,,,,,,,,,125.7704
1993-11-12,,,,,,,,,,,,,,,,,,,,129.5817
1993-11-15,,,,,,,,,,,,,,,,,,,,135.9845
1993-11-17,,,,,,,,,,,,,,,,,,,,152.449
1993-11-18,,,,,,,,,,,,,,,,,,,,152.2966
1993-11-19,,,,,,,,,,,,,,,,,,,,150.9245
1993-11-23,,,,,,,,,,,,,,,,,,,,144.8266
1993-11-24,,,,,,,,,,,,,,,,,,,,148.7902
1993-11-25,,,,,,,,,,,,,,,,,,,,148.7902
1993-11-26,,,,,,,,,,,,,,,,,,,,149.4
1993-11-29,,,,,,,,,,,,,,,,,,,,149.2476
1993-12-01,,,,,,,,,,,,,,,,,,,,141.7776
1993-12-02,,,,,,,,,,,,,,,,,,,,137.2041
1993-12-03,,,,,,,,,,,,,,,,,,,,137.2041
1993-12-06,,,,,,,,,,,,,,,,,,,,140.2531
1993-12-07,,,,,,,,,,,,,,,,,,,,139.186
1993-12-08,,,,,,,,,,,,,,,,,,,,139.4909
1993-12-09,,,,,,,,,,,,,,,,,,,,144.8266
1993-12-10,,,,,,,,,,,,,,,,,,,,142.5398
1993-12-13,,,,,,,,,,,,,,,,,,,,149.4
1993-12-14,,,,,,,,,,,,,,,,,,,,152.2966
1993-12-15,,,,,,,,,,,,,,,,,,,,152.2966
1993-12-16,,,,,,,,,,,,,,,,,,,,151.6868
1993-12-17,,,,,,,,,,,,,,,,,,,,150.1623
1993-12-20,,,,,,,,,,,,,,,,,,,,149.7049
1993-12-21,,,,,,,,,,,,,,,,,,,,150.9245
1993-12-22,,,,,,,,,,,,,,,,,,,,152.2966
1993-12-23,,,,,,,,,,,,,,,,,,,,152.449
1993-12-24,,,,,,,,,,,,,,,,,,,,152.449
1993-12-27,,,,,,,,,,,,,,,,,,,,151.6868
1993-12-28,,,,,,,,,,,,,,,,,,,,153.2113
1993-12-29,,,,,,,,,,,,,,,,,,,,150.1623
1993-12-30,,,,,,,,,,,,,,,,,,,,153.2113
1993-12-31,,,,,,,,,,,,,,,,,,,,156.2602
1994-01-03,,,,,,,,,,,,,,,,,,,,148.9427
1994-01-04,,,,,,,,,,,,,,,,,,,,152.1441
1994-01-05,,,,,,,,,,,,,,,,,,,,152.2966
1994-01-06,,,,,,,,,,,,,,,,,,,,149.4
1994-01-07,,,,,,,,,,,,,,,,,,,,151.077
1994-01-10,,,,,,,,,,,,,,,,,,,,152.449
1994-01-11,,,,,,,,,,,,,,,,,,,,153.2113
1994-01-12,,,,,,,,,,,,,,,,,,,,152.449
1994-01-13,,,,,,,,,,,,,,,,,,,,152.449
1994-01-14,,,,,,,,,,,,,,,,,,,,152.449
1994-01-17,,,,,,,,,,,,,,,,,,,,154.126
1994-01-18,,,,,,,,,,,,,,,,,,,,155.498
1994-01-19,,,,,,,,,,,,,,,,,,,,157.0225
1994-01-20,,,,,,,,,,,,,,,,,,,,156.2602
1994-01-21,,,,,,,,,,,,,,,,,,,,157.0225
1994-01-24,,,,,,,,,,,,,,,,,,,,156.2602
1994-01-25,,,,,,,,,,,,,,,,,,,,157.7847
1994-01-26,,,,,,,,,,,,,,,,,,,,157.9372
1994-01-27,,,,,,,,,,,,,,,,,,,,156.2602
