DATE,TRACT FP Equity_DX_SI_QTY,TRACT FP Equity_DX_SHORT_INTEREST_VALUE,TRACT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,TRACT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,TRACT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,TRACT FP Equity_DX_SI_MV,TRACT FP Equity_DX_DSS,TRACT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,TRACT FP Equity_DX_SUPPLY_SI_QTY,TRACT FP Equity_DX_BROKER_SI_QTY,TRACT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,TRACT FP Equity_DX_SUPPLY_SI_QTY_INC_x,TRACT FP Equity_DX_BROKER_SI_MV_INC_x,TRACT FP Equity_DX_BROKER_SI_QTY_ADD,TRACT FP Equity_DX_SUPPLY_SI_MV_DEC,TRACT FP Equity_DX_BROKER_SI_QTY_INC,TRACT FP Equity_DX_SUPPLY_SI_QTY_DEC,TRACT FP Equity_DX_BROKER_SI_MV_INC_y,TRACT FP Equity_DX_SUPPLY_SI_QTY_INC_y,TRACT FP Equity_DX_BROKER_SI_MV_ADD,TRACT FP Equity_DX_SUPPLY_SI_QTY_ADD,TRACT FP Equity_DX_BROKER_SI_QTY_DEC,TRACT FP Equity_DX_SUPPLY_SI_MV,TRACT FP Equity_DX_BROKER_SI_MV_DEC,TRACT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,TRACT FP Equity_DX_UTILIZATION_QUANTITY,TRACT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,TRACT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,TRACT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,TRACT FP Equity_DX_ACTIVE_UTILIZATION_MV,TRACT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,TRACT FP Equity_DX_BROKER_SI_CON_RATIO,TRACT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,TRACT FP Equity_DX_DEMAND_SUPPLY_RATIO,TRACT FP Equity_PX_LAST
2020-12-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2020-12-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.55
2020-12-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.45
2020-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.448
2020-12-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.304
2020-12-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.446
2020-12-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.452
2020-12-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.45
2020-12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.45
2020-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.354
